Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-02-10 10:30:00,False,7.50%,7.50%,7.50%,0.0
2022-12-16 10:30:00,False,7.50%,7.50%,7.50%,0.0
2022-10-28 10:30:00,False,7.50%,7.50%,8.00%,0.0
2022-10-28 10:30:00,False,7.50%,7.50%,7.50%,0.0
2022-07-22 10:30:00,False,8.00%,9.00%,9.50%,-1.0
2022-06-10 10:30:00,False,9.50%,10.00%,11.00%,-0.5
2022-05-26 07:30:00,False,11.00%,20.00%,14.00%,-9.0
2022-04-29 10:30:00,False,14.00%,15.00%,17.00%,-1.0
2022-04-08 08:40:00,False,17.00%,20.00%,20.00%,-3.0
2022-03-18 10:30:00,False,20.00%,20.00%,20.00%,0.0
2022-02-28 07:00:00,False,20.00%, ,9.50%,
2022-02-11 10:30:00,False,9.50%,9.50%,8.50%,0.0
2021-12-17 10:30:00,False,8.50%,8.50%,7.50%,0.0
2021-10-22 10:30:00,False,7.50%,7.25%,6.75%,0.25
2021-09-10 10:30:00,False,6.75%,7.00%,6.50%,-0.25
2021-07-23 10:30:00,False,6.50%,6.50%,5.50%,0.0
2021-06-11 10:30:00,False,5.50%,5.50%,5.00%,0.0
2021-04-23 10:30:00,False,5.00%,4.75%,4.50%,0.25
2021-03-19 10:30:00,False,4.50%,4.25%,4.25%,0.25
2021-02-12 10:30:00,False,4.25%,4.25%,4.25%,0.0
2020-12-18 10:30:00,False,4.25%,4.25%,4.25%,0.0
2020-10-23 10:30:00,False,4.25%,4.25%,4.25%,0.0
2020-09-18 10:30:00,False,4.25%,4.25%,4.25%,0.0
2020-07-24 10:30:00,False,4.25%,4.25%,4.50%,0.0
2020-06-19 10:30:00,False,4.50%,4.50%,5.50%,0.0
2020-04-24 10:30:00,False,5.50%,5.50%,6.00%,0.0
2020-03-20 10:30:00,False,6.00%,6.00%,6.00%,0.0
2020-02-07 10:30:00,False,6.00%,6.00%,6.25%,0.0
2019-12-13 10:30:00,False,6.25%,6.25%,6.50%,0.0
2019-10-25 10:30:00,False,6.50%,6.75%,7.00%,-0.25
2019-09-06 10:30:00,False,7.00%,7.00%,7.25%,0.0
2019-07-26 10:30:00,False,7.25%,7.25%,7.50%,0.0
2019-06-14 10:30:00,False,7.50%,7.50%,7.75%,0.0
2019-04-26 10:30:00,False,7.75%,7.75%,7.75%,0.0
2019-03-22 10:30:00,False,7.75%,7.75%,7.75%,0.0
2019-02-08 10:30:00,False,7.75%,7.75%,7.75%,0.0
2018-12-14 10:30:00,False,7.75%,7.50%,7.50%,0.25
2018-10-26 10:30:00,False,7.50%,7.50%,7.50%,0.0
2018-09-14 10:30:00,False,7.50%,7.25%,7.25%,0.25
2018-07-27 10:30:00,False,7.25%,7.25%,7.25%,0.0
2018-06-15 10:30:00,False,7.25%,7.25%,7.25%,0.0
2018-04-27 10:30:00,False,7.25%,7.25%,7.25%,0.0
2018-03-23 10:30:00,False,7.25%,7.25%,7.50%,0.0
2018-02-09 10:30:00,False,7.50%,7.50%,7.75%,0.0
2017-12-15 10:30:00,False,7.75%,8.00%,8.25%,-0.25
2017-10-27 10:30:00,False,8.25%,8.25%,8.50%,0.0
2017-09-15 10:30:00,False,8.50%,8.50%,9.00%,0.0
2017-07-28 10:30:00,False,9.00%,9.00%,9.00%,0.0
2017-06-16 10:30:00,False,9.00%,8.75%,9.25%,0.25
2017-04-28 10:30:00,False,9.25%,9.50%,9.75%,-0.25
2017-03-24 10:30:00,False,9.75%,10.00%,10.00%,-0.25
2017-02-03 10:30:00,False,10.00%,9.50%,10.00%,0.5
