Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-03-23 12:00:00,False,8.50%,8.50%,8.50%,0.0
2023-02-23 12:00:00,False,8.50%,8.50%,9.00%,0.0
2023-02-23 11:00:00,False,8.50%,8.50%,9.00%,0.0
2023-01-19 11:00:00,False,9.00%,9.00%,9.00%,0.0
2022-12-22 11:00:00,False,9.00%,9.00%,9.00%,0.0
2022-11-24 11:00:00,False,9.00%,9.00%,10.50%,0.0
2022-10-20 11:00:00,False,10.50%,11.00%,12.00%,-0.5
2022-09-22 11:00:00,False,12.00%,13.00%,13.00%,-1.0
2022-08-18 11:00:00,False,13.00%,14.00%,14.00%,-1.0
2022-07-21 11:00:00,False,14.00%,14.00%,14.00%,0.0
2022-06-23 11:00:00,False,14.00%,14.00%,14.00%,0.0
2022-05-26 11:00:00,False,14.00%,14.00%,14.00%,0.0
2022-04-14 11:00:00,False,14.00%,14.00%,14.00%,0.0
2022-03-17 11:00:00,False,14.00%,14.00%,14.00%,0.0
2022-02-17 11:00:00,False,14.00%,14.00%,14.00%,0.0
2022-01-20 11:00:00,False,14.00%,14.00%,14.00%,0.0
2021-12-16 11:00:00,False,14.00%,14.00%,15.00%,0.0
2021-11-18 11:00:00,False,15.00%,15.00%,16.00%,0.0
2021-10-21 11:00:00,False,16.00%,17.50%,18.00%,-1.5
2021-09-23 11:00:00,False,18.00%,19.00%,19.00%,-1.0
2021-08-12 11:00:00,False,19.00%,19.00%,19.00%,0.0
2021-07-14 11:00:00,False,19.00%,19.00%,19.00%,0.0
2021-06-17 11:00:00,False,19.00%,19.00%,19.00%,0.0
2021-05-06 11:00:00,False,19.00%,19.00%,19.00%,0.0
2021-04-15 11:00:00,False,19.00%,19.00%,19.00%,0.0
2021-03-18 11:00:00,False,19.00%,18.00%,17.00%,1.0
2021-02-18 11:00:00,False,17.00%,17.00%,17.00%,0.0
2021-01-21 11:00:00,False,17.00%,17.00%,17.00%,0.0
2020-12-24 11:00:00,False,17.00%,16.50%,15.00%,0.5
2020-11-19 11:00:00,False,15.00%,15.00%,10.25%,0.0
2020-10-22 11:00:00,False,10.25%,12.00%,10.25%,-1.75
2020-09-24 11:00:00,False,10.25%,8.25%,8.25%,2.0
2020-08-20 11:00:00,False,8.25%,8.25%,8.25%,0.0
2020-07-23 11:00:00,False,8.25%,8.25%,8.25%,0.0
2020-06-25 11:00:00,False,8.25%,8.00%,8.25%,0.25
2020-05-21 11:00:00,False,8.25%,8.25%,8.75%,0.0
2020-04-22 11:00:00,False,8.75%,9.25%,9.75%,-0.5
2020-03-17 11:00:00,False,9.75%, ,10.75%,
2020-02-19 11:00:00,False,10.75%,10.75%,11.25%,0.0
2020-01-16 11:00:00,False,11.25%,11.50%,12.00%,-0.25
2019-12-12 11:00:00,False,12.00%,12.50%,14.00%,-0.5
2019-10-24 11:00:00,False,14.00%,15.50%,16.50%,-1.5
2019-09-12 11:00:00,False,16.50%,17.25%,19.75%,-0.75
2019-07-25 11:00:00,False,19.75%,21.50%,24.00%,-1.75
2019-06-12 11:00:00,False,24.00%,24.00%,24.00%,0.0
2019-04-25 11:00:00,False,24.00%,24.00%,24.00%,0.0
2019-03-06 11:00:00,False,24.00%,24.00%,24.00%,0.0
2019-01-16 11:00:00,False,24.00%,24.00%,24.00%,0.0
2018-12-13 11:00:00,False,24.00%,24.00%,24.00%,0.0
2018-10-25 11:00:00,False,24.00%,24.00%,24.00%,0.0
2018-09-13 11:00:00,False,24.00%,22.00%,17.75%,2.0
2018-07-24 11:00:00,False,17.75%,18.75%,17.75%,-1.0
2018-06-07 11:00:00,False,17.75%,16.75%,16.50%,1.0
2018-04-25 11:00:00,False,8.00%,8.00%,8.00%,0.0
2018-03-07 11:00:00,False,8.00%,8.00%,8.00%,0.0
2018-01-18 11:00:00,False,8.00%,8.00%,8.00%,0.0
2017-12-14 11:00:00,False,8.00%,8.00%,8.00%,0.0
2017-10-26 11:00:00,False,8.00%,8.00%,8.00%,0.0
2017-09-14 11:00:00,False,8.00%,8.00%,8.00%,0.0
2017-07-27 11:00:00,False,8.00%,8.00%,8.00%,0.0
2017-06-15 11:00:00,False,8.00%,8.00%,8.00%,0.0
2017-04-26 11:00:00,False,8.00%,8.00%,8.00%,0.0
2017-03-16 11:00:00,False,8.00%,8.00%,8.00%,0.0
2017-01-24 11:00:00,False,8.00%,8.50%,8.00%,-0.5
