Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-12-14 09:00:00,False,4.50%,4.25%,4.25%,0.25
2023-11-02 09:00:00,False,4.25%,4.25%,4.25%,0.0
2023-09-21 08:00:00,False,4.25%,4.25%,4.00%,0.0
2023-08-17 08:00:00,False,4.00%,4.00%,3.75%,0.0
2023-06-22 08:00:00,False,3.75%,3.50%,3.25%,0.25
2023-05-04 08:00:00,False,3.25%,3.25%,3.00%,0.0
2023-03-23 09:00:00,False,3.00%,3.00%,2.75%,0.0
2023-01-19 09:00:00,False,2.75%,2.75%,2.75%,0.0
2022-12-15 09:00:00,False,2.75%,2.75%,2.50%,0.0
2022-11-03 09:00:00,False,2.50%,2.75%,2.25%,-0.25
2022-09-22 08:00:00,False,2.25%,2.25%,1.75%,0.0
2022-08-18 08:00:00,False,1.75%,1.75%,1.25%,0.0
2022-06-23 08:00:00,False,1.25%,1.00%,0.75%,0.25
2022-05-05 08:00:00,False,0.75%,0.75%,0.75%,0.0
2022-03-24 09:00:00,False,0.75%,0.75%,0.50%,0.0
2022-01-20 09:00:00,False,0.50%,0.50%,0.50%,0.0
2021-12-16 09:00:00,False,0.50%,0.50%,0.25%,0.0
2021-11-04 09:00:00,False,0.25%,0.25%,0.25%,0.0
2021-09-23 08:00:00,False,0.25%,0.25%,0.00%,0.0
2021-08-19 08:00:00,False,0.00%, ,0.00%,
2021-06-17 08:00:00,False,0.00%,0.00%,0.00%,0.0
2021-05-06 08:00:00,False,0.00%,0.00%,0.00%,0.0
2021-03-18 09:00:00,False,0.00%, ,0.00%,
2021-01-21 09:00:00,False,0.00%, , ,
2020-12-17 09:00:00,False,0.00%, ,0.00%,
2020-11-05 09:00:00,False,0.00%, ,0.00%,
2020-09-24 08:00:00,False,0.00%,0.00%,0.00%,0.0
2020-08-20 08:00:00,False,0.00%,0.00%,0.00%,0.0
2020-06-18 08:00:00,False,0.00%,0.00%,0.00%,0.0
2020-05-07 08:00:00,False,0.00%,0.25%,0.25%,-0.25
2020-03-20 07:30:00,False,0.25%,1.00%,1.00%,-0.75
2020-03-13 07:30:00,False,1.00%,1.00%,1.50%,0.0
2020-01-23 09:00:00,False,1.50%,1.50%,1.50%,0.0
2019-12-19 09:00:00,False,1.50%,1.50%,1.50%,0.0
2019-10-24 08:00:00,False,1.50%,1.50%,1.50%,0.0
2019-09-19 08:00:00,False,1.50%,1.50%,1.25%,0.0
2019-08-15 08:00:00,False,1.25%,1.25%,1.25%,0.0
2019-06-20 08:00:00,False,1.25%,1.25%,1.00%,0.0
2019-05-09 08:00:00,False,1.00%,1.00%,1.00%,0.0
2019-03-21 09:00:00,False,1.00%,1.00%,0.75%,0.0
2019-01-24 09:00:00,False,0.75%,0.75%,0.75%,0.0
2018-12-13 09:00:00,False,0.75%,0.75%,0.75%,0.0
2018-10-25 08:00:00,False,0.75%,0.75%,0.75%,0.0
2018-09-20 08:00:00,False,0.75%,0.75%,0.50%,0.0
2018-08-16 08:00:00,False,0.50%,0.50%,0.50%,0.0
2018-06-21 08:00:00,False,0.50%,0.50%,0.50%,0.0
2018-05-03 08:00:00,False,0.50%,0.50%,0.50%,0.0
2018-03-15 09:00:00,False,0.50%,0.50%,0.50%,0.0
2018-01-25 09:00:00,False,0.50%,0.50%,0.50%,0.0
2017-12-14 09:00:00,False,0.50%,0.50%,0.50%,0.0
2017-10-26 08:00:00,False,0.50%,0.50%,0.50%,0.0
2017-09-21 08:00:00,False,0.50%,0.50%,0.50%,0.0
2017-06-22 08:00:00,False,0.50%,0.50%,0.50%,0.0
2017-05-04 08:00:00,False,0.50%,0.50%,0.50%,0.0
2017-03-16 09:00:00,False,0.50%,0.50%,0.50%,0.0
