Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-04-11 07:00:00,False,0.8%,0.8%,0.4%,0.0
2023-03-10 08:00:00,False,0.4%,0.8%,0.2%,-0.4
2023-02-10 08:00:00,False,0.2%,-0.2%,0.1%,0.4
2023-02-10 07:00:00,False,0.2%,-0.2%,0.1%,0.4
2023-01-10 07:00:00,False,0.1%,0.3%,-0.2%,-0.2
2022-12-09 07:00:00,False,-0.2%,0.1%,0.3%,-0.3
2022-11-10 07:00:00,False,0.3%,-0.2%,1.4%,0.5
2022-10-10 06:00:00,False,1.4%,0.5%,-0.2%,0.9
2022-09-09 06:00:00,False,-0.2%,0.5%,1.3%,-0.7
2022-08-10 06:00:00,False,1.3%,0.9%,0.9%,0.4
2022-07-11 06:00:00,False,0.9%,0.6%,0.2%,0.3
2022-06-10 06:00:00,False,0.2%,0.6%,1.2%,-0.4
2022-05-10 06:00:00,False,1.2%,0.6%,0.6%,0.6
2022-04-11 06:00:00,False,0.6%,1.1%,1.1%,-0.5
2022-03-10 07:00:00,False,1.1%,0.6%,-0.9%,0.5
2022-02-10 07:00:00,False,-0.9%,-0.1%,0.7%,-0.8
2022-01-10 07:00:00,False,0.7%, ,0.8%,
2021-12-10 07:00:00,False,0.8%,0.5%,-0.3%,0.3
2021-11-10 07:00:00,False,-0.3%,0.1%,1.0%,-0.4
2021-10-11 06:00:00,False,1.0%,-0.3%,0.9%,1.3
2021-09-10 06:00:00,False,0.0%,-0.3%,0.9%,0.3
2021-08-10 06:00:00,False,0.9%,0.8%,0.3%,0.1
2021-07-09 06:00:00,False,0.3%,0.4%,-0.1%,-0.1
2021-06-10 06:00:00,False,-0.1%,0.1%,0.3%,-0.2
2021-05-10 06:00:00,False,0.3%,0.5%,-0.3%,-0.2
2021-04-09 06:00:00,False,-0.3%,0.6%,0.7%,-0.9
2021-03-10 07:00:00,False,0.7%,0.6%,1.1%,0.1
2021-02-10 07:00:00,False,1.1%,0.9%,0.4%,0.2
2021-01-11 07:00:00,False,0.4%, ,-0.7%,
2020-12-10 07:00:00,False,-0.7%, ,0.3%,
2020-11-10 07:00:00,False,0.3%, ,0.4%,
2020-10-09 06:00:00,False,0.4%, ,-0.4%,
2020-09-10 06:00:00,False,-0.4%,-0.4%,0.7%,0.0
2020-08-10 06:00:00,False,0.7%, ,0.2%,
2020-07-10 06:00:00,False,0.2%,0.3%,0.2%,-0.1
2020-06-10 06:00:00,False,0.2%,0.1%,0.4%,0.1
2020-05-11 06:00:00,False,0.4%,0.1%,0.0%,0.3
2020-04-08 06:00:00,False,0.0%,0.1%,-0.1%,-0.1
2020-03-10 07:00:00,False,-0.1%, ,0.0%,
2020-02-10 07:00:00,False,0.0%,-0.7%,-0.3%,0.7
2020-01-10 07:00:00,False,-0.3%,-0.1%,0.3%,-0.2
2019-12-10 07:00:00,False,0.3%,0.3%,0.2%,0.0
2019-11-11 07:00:00,False,0.2%,0.2%,0.5%,0.0
2019-10-10 06:00:00,False,0.5%,0.5%,-0.7%,0.0
2019-09-10 06:00:00,False,-0.7%,-0.5%,0.7%,-0.2
2019-08-09 06:00:00,False,0.7%,0.6%,0.1%,0.1
2019-07-10 06:00:00,False,0.1%,0.2%,-0.3%,-0.1
2019-06-11 06:00:00,False,-0.3%,0.1%,0.4%,-0.4
2019-05-10 06:00:00,False,0.4%,0.4%,0.2%,0.0
2019-04-10 06:00:00,False,0.2%,0.7%,0.8%,-0.5
2019-03-11 07:00:00,False,0.8%,0.7%,-0.5%,0.1
2019-02-11 07:00:00,False,-0.5%,-0.3%,0.0%,-0.2
2019-01-10 07:00:00,False,0.0%,-0.1%,0.5%,0.1
2018-12-10 07:00:00,False,0.5%,0.1%,-0.2%,0.4
2018-11-09 07:00:00,False,-0.2%,0.1%,0.6%,-0.3
2018-10-10 06:00:00,False,0.6%,0.4%,-0.4%,0.2
2018-09-10 06:00:00,False,-0.4%,-0.6%,0.7%,0.2
2018-08-10 06:00:00,False,0.7%,0.3%,0.6%,0.4
2018-07-10 06:00:00,False,0.6%,0.5%,0.1%,0.1
2018-06-11 06:00:00,False,0.1%,0.2%,0.4%,-0.1
2018-05-09 06:00:00,False,0.4%,0.4%,0.3%,0.0
2018-04-10 06:00:00,False,0.3%,0.5%,0.9%,-0.2
2018-03-09 07:00:00,False,0.9%,0.7%,-0.1%,0.2
2018-02-09 07:00:00,False,-0.1%,-0.1%,0.1%,0.0
2018-01-10 07:00:00,False,0.0%,-0.1%,0.1%,0.1
2017-12-11 07:00:00,False,0.1%,0.2%,0.1%,-0.1
2017-11-10 07:00:00,False,0.1%,0.3%,0.6%,-0.2
2017-10-10 06:00:00,False,0.6%,0.7%,-0.8%,-0.1
2017-09-11 06:00:00,False,-0.8%,-0.4%,0.3%,-0.4
2017-08-10 06:00:00,False,0.3%, ,0.4%,
2017-07-10 06:00:00,False,0.4%,0.2%,0.2%,0.2
2017-06-09 06:00:00,False,0.2%,0.2%,0.2%,0.0
2017-05-10 06:00:00,False,0.2%,0.4%,0.3%,-0.2
2017-04-10 06:00:00,False,0.3%,0.4%,0.4%,-0.1
2017-03-10 07:00:00,False,0.4%,0.7%,-0.1%,-0.3
2017-02-10 07:00:00,False,-0.1%,0.2%,-0.5%,-0.3
2017-01-10 07:00:00,False,-0.5%,-0.1%,0.2%,-0.4
