Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-03-10 08:00:00,False,6.3%,6.8%,7.0%,-0.5
2023-02-10 08:00:00,False,7.0%,6.5%,5.9%,0.5
2023-02-10 07:00:00,False,7.0%,6.5%,5.9%,0.5
2023-01-10 07:00:00,False,5.9%,6.1%,6.5%,-0.2
2022-12-09 07:00:00,False,6.5%,7.0%,7.5%,-0.5
2022-11-10 07:00:00,False,7.5%,7.1%,6.9%,0.4
2022-10-10 06:00:00,False,6.9%,6.2%,6.5%,0.7
2022-09-09 06:00:00,False,6.5%,7.1%,6.8%,-0.6
2022-08-10 06:00:00,False,6.8%,6.3%,6.3%,0.5
2022-07-11 06:00:00,False,6.3%,5.9%,5.7%,0.4
2022-06-10 06:00:00,False,5.7%,5.6%,5.4%,0.1
2022-05-10 06:00:00,False,5.4%,4.7%,4.5%,0.7
2022-04-11 06:00:00,False,4.5%,5.0%,3.7%,-0.5
2022-03-10 07:00:00,False,3.7%,3.2%,3.2%,0.5
2022-02-10 07:00:00,False,3.2%,4.2%,5.3%,-1.0
2022-01-10 07:00:00,False,5.3%, ,5.1%,
2021-12-10 07:00:00,False,5.1%,4.6%,3.5%,0.5
2021-11-10 07:00:00,False,3.5%,3.9%,4.1%,-0.4
2021-10-11 06:00:00,False,4.1%,4.0%,3.4%,0.1
2021-09-10 06:00:00,False,3.4%,3.1%,3.0%,0.3
2021-08-10 06:00:00,False,3.0%,2.9%,2.9%,0.1
2021-07-09 06:00:00,False,2.9%,2.9%,2.7%,0.0
2021-06-10 06:00:00,False,2.7%,2.9%,3.0%,-0.2
2021-05-10 06:00:00,False,3.0%,3.0%,3.1%,0.0
2021-04-09 06:00:00,False,3.1%,3.5%,3.3%,-0.4
2021-03-10 07:00:00,False,3.3%,3.0%,2.5%,0.3
2021-02-10 07:00:00,False,2.5%,1.7%,1.4%,0.8
2021-01-11 07:00:00,False,1.4%,1.2%,0.7%,0.2
2020-12-10 07:00:00,False,0.7%,1.8%,1.7%,-1.1
2020-11-10 07:00:00,False,1.7%,1.7%,1.6%,0.0
2020-10-09 06:00:00,False,1.6%,2.0%,1.7%,-0.4
2020-09-10 06:00:00,False,1.7%,1.7%,1.3%,0.0
2020-08-10 06:00:00,False,1.3%,1.4%,1.4%,-0.1
2020-07-10 06:00:00,False,1.4%,1.4%,1.3%,0.0
2020-06-10 06:00:00,False,1.3%,1.1%,0.8%,0.2
2020-05-11 06:00:00,False,0.8%,0.4%,0.7%,0.4
2020-04-08 06:00:00,False,0.7%,0.8%,0.9%,-0.1
2020-03-10 07:00:00,False,0.9%,1.6%,1.8%,-0.7
2020-02-10 07:00:00,False,1.8%,1.2%,1.4%,0.6
2020-01-10 07:00:00,False,1.4%,1.5%,1.6%,-0.1
2019-12-10 07:00:00,False,1.6%,1.6%,1.8%,0.0
2019-11-11 07:00:00,False,1.8%,1.8%,1.5%,0.0
2019-10-10 06:00:00,False,1.5%,1.5%,1.6%,0.0
2019-09-10 06:00:00,False,1.6%,1.8%,1.9%,-0.2
2019-08-09 06:00:00,False,1.9%,1.8%,1.9%,0.1
2019-07-10 06:00:00,False,1.9%,2.1%,2.5%,-0.2
2019-06-11 06:00:00,False,2.5%,2.9%,2.9%,-0.4
2019-05-10 06:00:00,False,2.9%,2.8%,2.9%,0.1
2019-04-10 06:00:00,False,2.9%,2.8%,3.0%,0.1
2019-03-11 07:00:00,False,3.0%,2.8%,3.1%,0.2
2019-02-11 07:00:00,False,3.1%,3.3%,3.5%,-0.2
2019-01-10 07:00:00,False,3.5%,3.4%,3.5%,0.1
2018-12-10 07:00:00,False,3.5%,3.1%,3.1%,0.4
2018-11-09 07:00:00,False,3.1%,3.4%,3.4%,-0.3
2018-10-10 06:00:00,False,3.4%,3.2%,3.4%,0.2
2018-09-10 06:00:00,False,3.4%,3.2%,3.0%,0.2
2018-08-10 06:00:00,False,3.0%,2.6%,2.6%,0.4
2018-07-10 06:00:00,False,2.6%,2.4%,2.3%,0.2
2018-06-11 06:00:00,False,2.3%,2.5%,2.4%,-0.2
2018-05-09 06:00:00,False,2.4%,2.3%,2.2%,0.1
2018-04-10 06:00:00,False,2.2%,2.4%,2.2%,-0.2
2018-03-09 07:00:00,False,2.2%,1.8%,1.6%,0.4
2018-02-09 07:00:00,False,1.6%,1.6%,1.6%,0.0
2018-01-10 07:00:00,False,1.6%,1.5%,1.1%,0.1
2017-12-11 07:00:00,False,1.1%,1.2%,1.2%,-0.1
2017-11-10 07:00:00,False,1.2%,1.4%,1.6%,-0.2
2017-10-10 06:00:00,False,1.6%,1.7%,1.3%,-0.1
2017-09-11 06:00:00,False,1.3%,1.7%,1.5%,-0.4
2017-08-10 06:00:00,False,1.5%,1.4%,1.9%,0.1
2017-07-10 06:00:00,False,1.9%,1.7%,2.1%,0.2
2017-06-09 06:00:00,False,2.1%,2.1%,2.2%,0.0
2017-05-10 06:00:00,False,2.2%,2.5%,2.4%,-0.3
2017-04-10 06:00:00,False,2.4%,2.6%,2.5%,-0.2
2017-03-10 07:00:00,False,2.5%,2.8%,2.8%,-0.3
2017-02-10 07:00:00,False,2.8%,3.0%,3.5%,-0.2
2017-01-10 07:00:00,False,3.5%,3.8%,3.5%,-0.3
