Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-01-27 07:00:00,False,-3.6%,-0.7%,0.8%,-2.9
2022-12-27 07:00:00,False,0.9%, ,-0.2%,
2022-11-28 07:00:00,False,-0.3%, ,0.1%,
2022-10-28 06:00:00,False,0.1%, ,0.6%,
2022-09-28 06:00:00,False,0.7%,-0.5%,-2.0%,1.2
2022-08-26 06:00:00,False,-2.1%,-0.5%,0.1%,-1.6
2022-07-29 06:00:00,False,0.0%, ,-0.9%,
2022-06-27 06:00:00,False,-0.9%, ,-1.3%,
2022-05-30 06:00:00,False,-0.9%, ,3.0%,
2022-04-29 06:00:00,False,3.3%, ,-1.1%,
2022-03-28 06:00:00,False,-1.1%,1.5%,0.4%,-2.6
2022-02-28 07:00:00,False,0.4%,1.5%,-3.1%,-1.1
2022-01-28 07:00:00,False,-3.1%,-0.8%,0.9%,-2.3
2021-12-27 07:00:00,False,0.9%,-0.8%,0.9%,1.7
2021-11-26 07:00:00,False,1.0%,-1.0%,0.4%,2.0
2021-10-28 06:00:00,False,0.5%,-1.0%,-3.9%,1.5
2021-09-28 06:00:00,False,-3.8%, ,-3.1%,
2021-08-27 06:00:00,False,-3.1%, ,-0.1%,
2021-07-28 06:00:00,False,-0.1%, ,5.8%,
2021-06-28 06:00:00,False,5.8%, ,0.4%,
2021-05-28 06:00:00,False,0.3%, ,0.0%,
2021-04-28 06:00:00,False,0.0%,-0.9%,-0.3%,0.9
2021-03-30 06:00:00,False,-0.3%,-0.9%,-0.1%,0.6
2021-03-01 07:00:00,False,-0.1%,-2.0%,-5.7%,1.9
2021-01-28 07:00:00,False,-5.7%,-2.0%,2.9%,-3.7
2020-12-28 07:00:00,False,2.9%, ,1.2%,
2020-11-27 07:00:00,False,1.2%,-0.1%,0.3%,1.3
2020-10-28 07:00:00,False,0.3%,1.0%,-4.8%,-0.7
2020-09-28 06:00:00,False,-4.9%,-1.5%,0.6%,-3.4
2020-08-27 06:00:00,False,0.6%,-1.5%,5.7%,2.1
2020-07-28 06:00:00,False,5.7%, ,2.8%,
2020-06-26 06:00:00,False,2.8%, ,4.8%,
2020-05-27 06:00:00,False,4.8%,-2.5%,-0.9%,7.3
2020-04-28 06:00:00,False,-0.9%,-10.0%,2.0%,9.1
2020-03-27 07:00:00,False,2.0%,0.2%,0.5%,1.8
2020-02-27 07:00:00,False,0.5%,1.1%,-2.1%,-0.6
2020-01-30 07:00:00,False,-2.0%,-0.6%,1.0%,-1.4
2019-12-30 07:00:00,False,1.0%,0.7%,-0.7%,0.3
2019-11-29 07:00:00,False,-0.8%,0.3%,-0.1%,-1.1
2019-10-30 07:00:00,False,-0.1%,0.2%,0.1%,-0.3
2019-09-30 06:00:00,False,0.0%,-0.2%,0.8%,0.2
2019-08-30 06:00:00,False,0.8%,0.5%,-0.3%,0.3
2019-07-30 06:00:00,False,-0.4%, ,-1.4%,
2019-06-27 06:00:00,False,-1.3%,-0.9%,1.9%,-0.4
2019-05-29 06:00:00,False,1.8%,0.3%,0.7%,1.5
2019-04-30 06:00:00,False,0.6%,0.6%,-1.2%,0.0
2019-03-29 07:00:00,False,-1.3%,-0.3%,1.5%,-1.0
2019-02-27 07:00:00,False,1.6%,0.9%,-1.9%,0.7
2019-01-30 07:00:00,False,-1.8%,-0.4%,1.1%,-1.4
2018-12-28 07:00:00,False,0.9%,0.1%,-0.2%,0.8
2018-11-30 07:00:00,False,-0.2%,0.1%,-0.6%,-0.3
2018-10-30 07:00:00,False,-0.7%,0.2%,0.4%,-0.9
2018-09-28 06:00:00,False,0.6%,0.5%,0.5%,0.1
2018-08-30 06:00:00,False,0.7%,1.0%,-2.9%,-0.3
2018-07-30 06:00:00,False,-2.9%,0.3%,2.0%,-3.2
2018-06-29 06:00:00,False,1.8%,0.3%,0.7%,1.5
2018-05-30 06:00:00,False,0.6%,0.2%,0.4%,0.4
2018-04-30 06:00:00,False,1.1%,0.6%,-0.8%,0.5
2018-03-28 06:00:00,False,-0.6%,0.7%,-0.3%,-1.3
2018-02-28 07:00:00,False,-0.4%,0.3%,-1.1%,-0.7
2018-01-30 07:00:00,False,-1.0%,-0.5%,2.3%,-0.5
2017-12-28 07:00:00,False,2.1%,0.6%,-0.2%,1.5
2017-11-30 07:00:00,False,-0.2%,0.6%,-1.0%,-0.8
2017-10-30 07:00:00,False,-0.8%,0.5%,-0.8%,-1.3
2017-09-29 06:00:00,False,-0.6%,0.1%,0.4%,-0.7
2017-08-30 06:00:00,False,0.4%,0.3%,-0.6%,0.1
2017-07-28 06:00:00,False,-0.6%, ,1.3%,
2017-06-30 06:00:00,False,1.3%,0.1%,0.2%,1.2
2017-05-30 06:00:00,False,0.2%,0.1%,0.1%,0.1
2017-04-28 06:00:00,False,0.1%,-0.1%,1.0%,0.2
2017-03-30 06:00:00,False,1.0%,0.2%,1.4%,0.8
2017-03-02 07:00:00,False,1.4%,1.4%,-2.1%,0.0
2017-01-30 07:00:00,False,-2.1%,-0.1%,0.2%,-2.0
