Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-01-26 07:00:00,False,3.4%,3.2%,3.1%,0.2
2022-12-22 07:00:00,False,3.1%, ,3.2%,
2022-11-24 07:00:00,False,3.3%, ,3.6%,
2022-10-27 06:00:00,False,3.2%,3.3%,3.1%,-0.1
2022-09-22 06:00:00,False,3.1%,3.3%,3.2%,-0.2
2022-08-25 06:00:00,False,3.2%,3.2%,3.2%,0.0
2022-07-28 06:00:00,False,3.2%,2.9%,3.2%,0.3
2022-06-23 06:00:00,False,3.2%,2.9%,3.1%,0.3
2022-05-25 06:00:00,False,2.9%,3.0%,3.1%,-0.1
2022-04-28 06:00:00,False,3.1%,3.1%,3.1%,0.0
2022-03-24 07:00:00,False,3.2%,3.3%,3.3%,-0.1
2022-02-24 07:00:00,False,3.3%,3.5%,3.5%,-0.2
2022-01-27 07:00:00,False,3.5%, ,3.6%,
2021-12-23 07:00:00,False,3.6%, ,3.6%,
2021-11-25 07:00:00,False,3.6%,3.9%,4.0%,-0.3
2021-10-28 06:00:00,False,4.0%,4.7%,4.3%,-0.7
2021-09-23 06:00:00,False,4.2%,4.7%,4.8%,-0.5
2021-09-01 06:00:00,False,4.8%,4.8%,5.0%,0.0
2021-08-05 06:00:00,False,5.1%, ,5.0%,
2021-05-05 06:00:00,False,5.0%,5.2%,4.8%,-0.2
2021-01-28 07:00:00,False,5.0%,5.2%,5.2%,-0.2
2020-12-22 07:00:00,False,5.2%,5.2%,5.2%,0.0
2020-11-25 07:00:00,False,5.2%,5.3%,5.3%,-0.1
2020-10-22 06:00:00,False,5.3%,5.1%,5.2%,0.2
2020-09-23 06:00:00,False,5.2%,5.3%,5.2%,-0.1
2020-08-26 06:00:00,False,5.2%,4.7%,4.6%,0.5
2020-07-23 06:00:00,False,4.6%,4.3%,4.2%,0.3
2020-06-24 06:00:00,False,4.2%,3.8%,3.6%,0.4
2020-05-27 06:00:00,False,3.6%,4.0%,3.5%,-0.4
2020-04-23 06:00:00,False,3.5%,4.0%,3.7%,-0.5
2020-03-25 07:00:00,False,3.8%,3.9%,3.9%,-0.1
2020-02-26 07:00:00,False,3.9%,4.0%,4.0%,-0.1
2020-01-23 07:00:00,False,4.0%,3.8%,3.8%,0.2
2020-01-03 07:00:00,False,3.8%,3.9%,3.9%,-0.1
2019-11-27 07:00:00,False,3.9%,3.7%,3.7%,0.2
2019-10-24 06:00:00,False,3.7%,3.7%,3.8%,0.0
2019-09-25 06:00:00,False,3.8%,3.6%,3.6%,0.2
2019-08-21 06:00:00,False,3.6%,3.4%,3.4%,0.2
2019-07-25 06:00:00,False,3.4%,3.3%,3.3%,0.1
2019-06-26 06:00:00,False,3.2%,3.5%,3.5%,-0.3
2019-05-23 06:00:00,False,3.5%,3.7%,3.8%,-0.2
2019-04-30 06:00:00,False,3.8%,3.8%,3.8%,0.0
2019-03-27 07:00:00,False,3.9%,3.7%,3.7%,0.2
2019-02-27 07:00:00,False,3.7%,3.8%,3.8%,-0.1
2019-01-24 07:00:00,False,3.8%,4.0%,4.0%,-0.2
2019-01-03 07:00:00,False,4.0%,4.0%,4.0%,0.0
2018-11-21 07:00:00,False,4.0%,4.0%,4.0%,0.0
2018-10-25 06:00:00,False,4.0%,4.0%,4.0%,0.0
2018-09-26 06:00:00,False,4.0%,3.8%,3.9%,0.2
2018-08-24 06:00:00,False,3.9%,3.8%,3.8%,0.1
2018-07-26 06:00:00,False,3.8%,3.7%,3.7%,0.1
2018-06-27 06:00:00,False,3.7%,3.8%,3.9%,-0.1
2018-05-25 06:00:00,False,3.9%,3.9%,3.9%,0.0
2018-04-26 06:00:00,False,3.9%,4.0%,4.0%,-0.1
2018-03-21 07:00:00,False,4.0%,4.0%,4.1%,0.0
2018-02-21 07:00:00,False,4.1%,4.0%,4.1%,0.1
2018-01-25 07:00:00,False,4.1%,4.0%,4.0%,0.1
2018-01-03 07:00:00,False,4.0%,4.0%,4.0%,0.0
2017-11-22 07:00:00,False,4.0%,4.1%,4.1%,-0.1
2017-10-26 06:00:00,False,4.1%,4.2%,4.2%,-0.1
2017-09-27 06:00:00,False,4.2%,4.2%,4.3%,0.0
2017-08-23 06:00:00,False,4.3%,4.3%,4.3%,0.0
2017-07-27 06:00:00,False,4.3%,4.5%,4.6%,-0.2
2017-06-21 06:00:00,False,4.6%,4.4%,4.5%,0.2
2017-05-24 06:00:00,False,4.5%,4.3%,4.3%,0.2
2017-04-27 06:00:00,False,4.3%,4.3%,4.2%,0.0
2017-03-22 07:00:00,False,4.2%,4.5%,4.4%,-0.3
2017-02-22 07:00:00,False,4.4%,4.7%,4.7%,-0.3
2017-01-26 07:00:00,False,4.7%,4.8%,4.8%,-0.1
