Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-03-15 08:00:00,False,12.0%,11.7%,11.7%,0.3
2023-02-20 08:00:00,False,11.7%,11.8%,12.3%,-0.1
2023-02-20 07:00:00,False,11.7%,11.8%,12.3%,-0.1
2023-01-13 07:00:00,False,12.3%,12.0%,11.5%,0.3
2022-12-14 07:00:00,False,11.5%,11.5%,10.9%,0.0
2022-11-15 07:00:00,False,10.9%,11.1%,10.8%,-0.2
2022-10-13 06:00:00,False,10.8%,10.5%,9.8%,0.3
2022-09-14 06:00:00,False,9.8%,9.6%,8.5%,0.2
2022-08-12 06:00:00,False,8.5%,8.7%,8.7%,-0.2
2022-07-14 06:00:00,False,8.7%,8.3%,7.3%,0.4
2022-06-14 06:00:00,False,7.3%,7.0%,6.4%,0.3
2022-05-12 06:00:00,False,6.4%,6.1%,6.0%,0.3
2022-04-14 06:00:00,False,6.0%,5.6%,4.3%,0.4
2022-03-14 07:00:00,False,4.3%,3.9%,3.7%,0.4
2022-02-18 07:00:00,False,3.7%,3.6%,3.9%,0.1
2022-01-14 08:30:00,False,3.9%,3.8%,3.3%,0.1
2021-12-14 08:30:00,False,3.3%,3.2%,2.8%,0.1
2021-11-15 08:30:00,False,2.8%,2.7%,2.5%,0.1
2021-10-14 07:30:00,False,2.5%,1.7%,2.1%,0.8
2021-09-14 07:30:00,False,2.1%,1.7%,1.4%,0.4
2021-08-13 07:30:00,False,1.4%,1.3%,1.3%,0.1
2021-07-14 07:30:00,False,1.3%,1.3%,1.8%,0.0
2021-06-10 07:30:00,False,1.8%,2.0%,2.2%,-0.2
2021-05-12 07:30:00,False,2.2%,2.2%,1.7%,0.0
2021-04-14 07:30:00,False,1.7%,1.7%,1.4%,0.0
2021-03-15 08:30:00,False,1.4%,1.6%,1.6%,-0.2
2021-02-18 08:30:00,False,1.6%,1.5%,0.5%,0.1
2021-01-15 08:30:00,False,0.5%,0.4%,0.2%,0.1
2020-12-10 08:30:00,False,0.2%,0.2%,0.3%,0.0
2020-11-12 08:30:00,False,0.3%,0.4%,0.4%,-0.1
2020-10-13 07:30:00,False,0.4%,0.6%,0.8%,-0.2
2020-09-10 07:30:00,False,0.8%,0.9%,0.5%,-0.1
2020-08-12 07:30:00,False,0.5%,0.3%,0.7%,0.2
2020-07-14 07:30:00,False,0.7%,0.5%,0.0%,0.2
2020-06-11 07:30:00,False,0.0%,-0.4%,-0.4%,0.4
2020-05-13 07:30:00,False,-0.4%,0.1%,0.6%,-0.5
2020-04-15 07:30:00,False,0.6%,0.6%,1.0%,0.0
2020-03-12 08:30:00,False,1.0%,1.3%,1.3%,-0.3
2020-02-19 08:30:00,False,1.3%,1.7%,1.8%,-0.4
2020-01-15 08:30:00,False,1.8%,1.8%,1.8%,0.0
2019-12-11 08:30:00,False,1.8%,1.7%,1.6%,0.1
2019-11-13 08:30:00,False,1.6%,1.6%,1.5%,0.0
2019-10-10 07:30:00,False,1.5%,1.3%,1.4%,0.2
2019-09-10 07:30:00,False,1.4%,1.7%,1.7%,-0.3
2019-08-14 07:30:00,False,1.7%,1.5%,1.8%,0.2
2019-07-11 07:30:00,False,1.8%,1.9%,2.2%,-0.1
2019-06-14 07:30:00,False,2.2%,2.0%,2.1%,0.2
2019-05-14 07:30:00,False,2.1%,2.1%,1.9%,0.0
2019-04-11 07:30:00,False,1.9%,1.8%,1.9%,0.1
2019-03-12 08:30:00,False,1.9%,2.0%,1.9%,-0.1
2019-02-19 08:30:00,False,1.9%,2.2%,2.0%,-0.3
2019-01-14 08:30:00,False,2.0%,2.0%,2.0%,0.0
2018-12-12 08:30:00,False,2.0%,2.0%,2.3%,0.0
2018-11-14 08:30:00,False,2.3%,2.4%,2.3%,-0.1
2018-10-11 07:30:00,False,2.3%,2.2%,2.0%,0.1
2018-09-14 07:30:00,False,2.0%,2.1%,2.1%,-0.1
2018-08-10 07:30:00,False,2.1%,2.0%,2.1%,0.1
2018-07-12 07:30:00,False,2.1%,2.1%,1.9%,0.0
2018-06-14 07:30:00,False,1.9%,1.9%,1.7%,0.0
2018-05-09 07:30:00,False,1.7%,1.7%,1.9%,0.0
2018-04-12 07:30:00,False,1.9%,2.0%,1.6%,-0.1
2018-03-14 08:30:00,False,1.6%,1.6%,1.6%,0.0
2018-02-20 08:30:00,False,1.6%,1.8%,1.7%,-0.2
2018-01-12 08:30:00,False,1.7%,1.8%,1.9%,-0.1
2017-12-12 08:30:00,False,1.9%,1.7%,1.7%,0.2
2017-11-14 08:30:00,False,1.7%,1.8%,2.1%,-0.1
2017-10-12 07:30:00,False,2.1%,2.4%,2.1%,-0.3
2017-09-12 07:30:00,False,2.1%,2.2%,2.2%,-0.1
2017-08-15 07:30:00,False,2.2%,1.9%,1.7%,0.3
2017-07-13 07:30:00,False,1.7%,1.6%,1.7%,0.1
2017-06-13 07:30:00,False,1.7%,1.7%,1.9%,0.0
2017-05-11 07:30:00,False,1.9%,1.7%,1.3%,0.2
2017-04-11 07:30:00,False,1.3%,1.5%,1.8%,-0.2
2017-03-14 08:30:00,False,1.8%,1.7%,1.4%,0.1
2017-02-17 08:30:00,False,1.4%,1.5%,1.7%,-0.1
2017-01-12 08:30:00,False,1.7%,1.6%,1.4%,0.1
