Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2024-01-10 07:00:00,False,-0.5%, ,1.4%,
2023-11-29 07:00:00,False,1.4%, ,-1.4%,
2023-10-27 06:00:00,False,-1.4%, ,0.0%,
2023-09-29 06:00:00,False,0.2%, ,0.7%,
2023-08-29 06:00:00,False,1.0%,0.2%,-0.2%,0.8
2023-07-28 06:00:00,False,-0.3%,-0.2%,0.1%,-0.1
2023-06-29 06:00:00,False,0.3%,0.3%,1.1%,0.0
2023-05-26 06:00:00,False,2.8%,-0.4%,-1.5%,3.2
2023-04-28 06:00:00,False,-1.6%,0.7%,-1.7%,-2.3
2023-03-29 07:00:00,False,-1.2%, ,-0.2%,
2023-02-27 08:00:00,False,-0.1%, ,-1.0%,
2023-01-27 08:00:00,False,-1.8%, ,1.5%,
2023-01-27 07:00:00,False,-1.8%, ,1.5%,
2022-12-22 07:00:00,False,2.2%, ,-2.1%,
2022-11-29 07:00:00,False,-1.3%, ,-0.6%,
2022-10-28 06:00:00,False,-0.4%, ,-0.4%,
2022-09-28 06:00:00,False,-0.4%, ,-0.2%,
2022-08-29 06:00:00,False,-0.6%,0.6%,-1.5%,-1.2
2022-07-28 06:00:00,False,-1.2%, ,-0.7%,
2022-06-28 06:00:00,False,-0.6%, ,0.4%,
2022-05-27 06:00:00,False,0.4%, ,0.6%,
2022-04-28 06:00:00,False,0.2%, ,-0.1%,
2022-03-30 06:00:00,False,-0.1%, ,3.7%,
2022-02-28 07:00:00,False,4.5%, ,-4.4%,
2022-01-28 07:00:00,False,-4.4%, ,0.8%,
2021-12-22 08:30:00,False,0.9%, ,0.5%,
2021-11-26 08:30:00,False,0.4%, ,-0.2%,
2021-10-28 07:30:00,False,-0.3%, ,0.5%,
2021-09-28 07:30:00,False,0.7%, ,-1.2%,
2021-08-27 07:30:00,False,-1.2%, ,-0.7%,
2021-07-28 07:30:00,False,-0.3%, ,2.4%,
2021-06-28 07:30:00,False,2.3%, ,-0.4%,
2021-05-28 07:30:00,False,-1.4%, ,2.7%,
2021-04-28 07:30:00,False,2.6%, ,1.7%,
2021-03-26 08:30:00,False,0.7%, ,4.3%,
2021-02-26 08:30:00,False,3.4%, ,-4.0%,
2021-01-28 08:30:00,False,-4.9%, ,1.9%,
2020-12-22 08:30:00,False,0.8%, ,0.9%,
2020-11-27 08:30:00,False,0.5%,-0.1%,0.7%,0.6
2020-10-28 08:30:00,False,0.8%, ,-0.2%,
2020-09-28 07:30:00,False,-0.3%,1.0%,1.9%,-1.3
2020-08-27 07:30:00,False,1.9%,1.0%,1.3%,0.9
2020-08-03 07:30:00,False,1.2%, ,0.9%,
2020-07-28 07:30:00,False,1.0%, ,0.8%,
2020-06-26 07:30:00,False,0.5%,-2.1%,0.4%,2.6
2020-05-28 07:30:00,False,0.2%,-2.1%,-1.5%,2.3
2020-04-28 07:30:00,False,-1.7%, ,0.2%,
2020-03-27 08:30:00,False,0.2%, ,0.9%,
2020-02-27 08:30:00,False,0.9%,-0.9%,-0.9%,1.8
2020-01-28 08:30:00,False,0.5%,-0.9%,-0.3%,1.4
2020-01-08 08:30:00,False,-0.4%,0.2%,0.2%,-0.6
2019-12-20 08:30:00,False,0.0%,0.2%,0.2%,-0.2
2019-11-28 08:30:00,False,0.2%,0.1%,0.5%,0.1
2019-10-25 07:30:00,False,0.3%,0.4%,0.0%,-0.1
2019-09-27 07:30:00,False,0.0%,0.2%,0.3%,-0.2
2019-08-28 07:30:00,False,0.4%, ,1.2%,
2019-07-26 07:30:00,False,1.0%,-0.8%,-1.9%,1.8
2019-06-28 07:30:00,False,-2.0%,-0.8%,1.9%,-1.2
2019-06-03 07:30:00,False,1.9%,0.4%,0.3%,1.5
2019-04-26 07:30:00,False,0.5%,0.2%,0.3%,0.3
2019-03-28 08:30:00,False,0.2%,0.2%,0.7%,0.0
2019-02-28 08:30:00,False,0.8%,0.7%,-0.9%,0.1
2019-01-25 08:30:00,False,-1.4%,0.2%,1.0%,-1.6
2018-12-21 08:30:00,False,0.8%,0.6%,-1.1%,0.2
2018-11-28 08:30:00,False,-1.1%,0.2%,0.5%,-1.3
2018-10-26 07:30:00,False,0.5%,0.5%,0.9%,0.0
2018-09-28 07:30:00,False,0.8%,1.0%,-1.0%,-0.2
2018-08-28 07:30:00,False,-1.0%,0.6%,-1.3%,-1.6
2018-07-27 07:30:00,False,-1.8%,0.1%,-0.1%,-1.9
2018-06-28 07:30:00,False,0.2%,0.3%,0.6%,-0.1
2018-05-28 07:30:00,False,0.6%,-0.1%,1.7%,0.7
2018-04-27 07:30:00,False,1.2%,0.5%,-0.1%,0.7
2018-03-28 07:30:00,False,0.3%,0.3%,0.1%,0.0
2018-02-28 08:30:00,False,0.1%,0.5%,-1.1%,-0.4
2018-01-26 08:30:00,False,-1.4%,-0.5%,1.7%,-0.9
2017-12-22 08:30:00,False,0.9%,0.2%,0.5%,0.7
