Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-01-27 07:00:00,False,-8.0%, ,-7.0%,
2022-12-22 07:00:00,False,-6.3%, ,-8.4%,
2022-11-29 07:00:00,False,-7.7%, ,-5.4%,
2022-10-28 06:00:00,False,-5.9%, ,-5.4%,
2022-09-28 06:00:00,False,-5.1%, ,-3.8%,
2022-08-29 06:00:00,False,-3.9%,-3.4%,-4.1%,-0.5
2022-07-28 06:00:00,False,-3.6%, ,-2.0%,
2022-06-28 06:00:00,False,-2.3%, ,2.4%,
2022-05-27 06:00:00,False,2.4%, ,1.8%,
2022-04-28 06:00:00,False,1.2%, ,2.7%,
2022-03-30 06:00:00,False,2.9%, ,4.2%,
2022-02-28 07:00:00,False,5.1%, ,3.3%,
2022-01-28 07:00:00,False,3.3%, ,6.1%,
2021-12-22 08:30:00,False,6.0%, ,5.2%,
2021-11-26 08:30:00,False,5.2%, ,4.9%,
2021-10-28 07:30:00,False,4.8%, ,6.0%,
2021-09-28 07:30:00,False,6.6%, ,5.3%,
2021-08-27 07:30:00,False,5.4%, ,8.5%,
2021-07-28 07:30:00,False,8.5%, ,10.7%,
2021-06-28 07:30:00,False,10.3%, ,7.0%,
2021-05-28 07:30:00,False,7.2%, ,8.1%,
2021-04-28 07:30:00,False,9.1%, ,5.4%,
2021-03-26 08:30:00,False,4.6%, ,3.8%,
2021-02-26 08:30:00,False,3.1%, ,-0.9%,
2021-01-28 08:30:00,False,-0.6%, ,6.7%,
2020-12-22 08:30:00,False,5.7%, ,4.2%,
2020-11-27 08:30:00,False,3.6%,1.6%,2.7%,2.0
2020-10-28 08:30:00,False,3.9%, ,3.0%,
2020-09-28 07:30:00,False,3.0%, ,4.8%,
2020-08-27 07:30:00,False,4.8%, ,2.9%,
2020-08-03 07:30:00,False,3.9%, ,2.7%,
2020-07-28 07:30:00,False,3.5%, ,2.7%,
2020-06-26 07:30:00,False,2.4%, ,-1.4%,
2020-05-28 07:30:00,False,-1.3%, ,1.1%,
2020-04-28 07:30:00,False,0.6%, ,3.7%,
2020-03-27 08:30:00,False,2.8%, ,2.7%,
2020-02-27 08:30:00,False,2.7%,1.8%,2.8%,0.9
2020-01-28 08:30:00,False,3.4%, ,1.8%,
2020-01-08 08:30:00,False,1.3%, ,3.5%,
2019-12-20 08:30:00,False,0.0%, ,3.3%,
2019-11-28 08:30:00,False,3.3%,3.1%,2.5%,0.2
2019-10-25 07:30:00,False,2.6%,2.5%,2.5%,0.1
2019-09-27 07:30:00,False,2.7%,3.0%,3.9%,-0.3
2019-08-28 07:30:00,False,4.3%, ,3.4%,
2019-07-26 07:30:00,False,3.8%, ,-0.5%,
2019-06-28 07:30:00,False,-0.5%, ,3.7%,
2019-06-03 07:30:00,False,3.9%, ,1.9%,
2019-04-26 07:30:00,False,1.9%,2.8%,3.2%,-0.9
2019-03-28 08:30:00,False,3.0%,2.8%,1.7%,0.2
2019-02-28 08:30:00,False,2.2%, ,-1.1%,
2019-01-25 08:30:00,False,-1.1%, ,1.4%,
2018-12-21 08:30:00,False,1.1%, ,-0.1%,
2018-11-28 08:30:00,False,-0.1%, ,2.1%,
2018-10-26 07:30:00,False,2.1%,0.5%,1.9%,1.6
2018-09-28 07:30:00,False,2.0%,0.5%,-0.1%,1.5
2018-08-28 07:30:00,False,-1.2%,0.5%,0.4%,-1.7
2018-07-27 07:30:00,False,0.2%,2.9%,3.1%,-2.7
2018-06-28 07:30:00,False,3.1%, ,3.3%,
2018-05-28 07:30:00,False,3.6%,2.0%,2.7%,1.6
2018-04-27 07:30:00,False,2.9%,2.0%,0.5%,0.9
2018-03-28 07:30:00,False,1.5%,1.7%,1.1%,-0.2
2018-02-28 08:30:00,False,1.2%,2.9%,2.7%,-1.7
2018-01-26 08:30:00,False,3.3%,4.0%,4.1%,-0.7
2017-12-22 08:30:00,False,3.8%,3.4%,2.8%,0.4
2017-11-28 08:30:00,False,2.6%,3.4%,3.2%,-0.8
2017-10-27 07:30:00,False,4.6%,3.2%,2.9%,1.4
2017-09-28 07:30:00,False,2.8%,3.7%,4.0%,-0.9
2017-08-28 07:30:00,False,3.7%,3.7%,1.8%,0.0
2017-07-28 07:30:00,False,3.5%,3.0%,2.4%,0.5
2017-06-29 07:30:00,False,2.4%, ,3.4%,
2017-05-30 07:30:00,False,4.5%,2.8%,2.5%,1.7
2017-04-28 07:30:00,False,1.9%,3.7%,2.6%,-1.8
2017-03-28 07:30:00,False,2.7%,2.4%,2.7%,0.3
2017-02-28 08:30:00,False,2.2%,1.6%,1.0%,0.6
2017-01-27 08:30:00,False,0.6%, ,3.8%,
