Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-03-17 08:00:00,False,8.2%, ,7.6%,
2023-02-17 08:00:00,False,7.6%, ,6.9%,
2023-02-17 07:00:00,False,7.6%, ,6.9%,
2023-01-27 07:00:00,False,6.9%, ,6.4%,
2022-12-16 07:00:00,False,6.4%, ,7.1%,
2022-11-18 07:00:00,False,7.1%, ,6.5%,
2022-10-21 06:00:00,False,6.5%, ,6.6%,
2022-09-21 06:00:00,False,6.6%, ,6.4%,
2022-08-26 06:00:00,False,6.4%, ,8.6%,
2022-07-29 06:00:00,False,8.6%, ,8.5%,
2022-06-22 06:00:00,False,8.5%, ,8.2%,
2022-05-25 06:00:00,False,8.2%, ,8.2%,
2022-04-27 06:00:00,False,8.2%, ,7.9%,
2022-03-18 07:00:00,False,7.9%, ,8.3%,
2022-02-24 07:00:00,False,8.3%, ,7.3%,
2022-01-28 07:00:00,False,7.3%, ,7.5%,
2021-12-16 08:30:00,False,7.5%, ,7.6%,
2021-11-18 08:30:00,False,7.6%, ,8.2%,
2021-10-21 07:30:00,False,8.2%, ,8.5%,
2021-09-21 07:30:00,False,8.5%, ,8.0%,
2021-08-26 07:30:00,False,8.0%, ,10.3%,
2021-07-29 07:30:00,False,10.3%, ,9.8%,
2021-06-22 07:30:00,False,9.8%, ,9.4%,
2021-05-26 07:30:00,False,9.4%, ,10.0%,
2021-04-27 07:30:00,False,10.0%, ,9.7%,
2021-03-18 08:30:00,False,9.7%, ,9.3%,
2021-02-23 08:30:00,False,9.3%, ,8.2%,
2021-01-28 08:30:00,False,8.2%,8.4%,7.7%,-0.2
2020-12-17 08:30:00,False,7.7%,8.4%,7.8%,-0.7
2020-11-19 08:30:00,False,7.8%, ,8.3%,
2020-10-15 07:30:00,False,8.3%, ,8.8%,
2020-09-15 07:30:00,False,8.8%,9.8%,8.9%,-1.0
2020-08-20 07:30:00,False,8.9%,9.8%,9.8%,-0.9
2020-07-23 07:30:00,False,9.8%, ,9.0%,
2020-06-17 07:30:00,False,9.0%, ,8.2%,
2020-05-25 07:30:00,False,8.2%, ,7.1%,
2020-04-21 07:30:00,False,7.1%, ,8.2%,
2020-03-13 08:30:00,False,8.2%, ,7.5%,
2020-02-18 08:30:00,False,7.5%, ,6.0%,
2020-01-23 08:30:00,False,6.0%,6.3%,6.8%,-0.3
2019-12-12 08:30:00,False,6.8%,6.3%,6.0%,0.5
2019-11-14 08:30:00,False,6.0%,6.7%,6.0%,-0.7
2019-10-17 07:30:00,False,7.1%,6.7%,7.1%,0.4
2019-09-17 07:30:00,False,7.1%, ,6.9%,
2019-08-22 07:30:00,False,6.9%, ,7.6%,
2019-07-25 07:30:00,False,7.6%,6.5%,6.8%,1.1
2019-06-19 07:30:00,False,6.8%,6.5%,6.2%,0.3
2019-05-23 07:30:00,False,6.2%,6.8%,7.1%,-0.6
2019-04-18 07:30:00,False,7.1%,6.6%,6.6%,0.5
2019-03-14 08:30:00,False,6.6%, ,6.5%,
2019-02-14 08:30:00,False,6.5%, ,6.0%,
2019-01-24 08:30:00,False,6.0%, ,5.5%,
2018-12-13 08:30:00,False,5.5%, ,5.5%,
2018-11-15 08:30:00,False,5.5%, ,6.0%,
2018-10-18 07:30:00,False,6.0%, ,6.1%,
2018-09-18 07:30:00,False,6.1%, ,6.0%,
2018-08-23 07:30:00,False,6.0%, ,7.2%,
2018-07-26 07:30:00,False,7.2%, ,6.5%,
2018-06-19 07:30:00,False,6.5%,6.5%,6.8%,0.0
2018-05-22 07:30:00,False,6.8%,6.6%,6.5%,0.2
2018-04-24 07:30:00,False,6.5%,7.0%,6.3%,-0.5
2018-03-15 08:30:00,False,6.3%,7.0%,7.0%,-0.7
2018-02-15 08:30:00,False,7.0%,7.0%,6.0%,0.0
2018-01-25 08:30:00,False,6.0%,6.1%,5.8%,-0.1
2017-12-14 08:30:00,False,5.8%, ,6.3%,
2017-11-16 08:30:00,False,6.3%, ,6.2%,
2017-10-19 07:30:00,False,6.2%,6.0%,6.0%,0.2
2017-09-14 07:30:00,False,6.0%, ,6.6%,
2017-08-24 07:30:00,False,6.6%,5.9%,7.4%,0.7
2017-07-27 07:30:00,False,7.4%,7.6%,7.2%,-0.2
2017-06-20 07:30:00,False,7.2%,7.1%,7.2%,0.1
2017-05-23 07:30:00,False,7.2%,7.1%,6.8%,0.1
2017-04-25 07:30:00,False,6.8%,7.3%,7.4%,-0.5
2017-03-16 08:30:00,False,7.4%,7.4%,7.3%,0.0
2017-02-16 08:30:00,False,7.3%,7.3%,6.5%,0.0
2017-01-26 08:30:00,False,6.5%,6.3%,6.2%,0.2
