Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2024-01-29 07:00:00,True,0.1%,0.3%,-0.3%,-0.2
2023-11-29 07:00:00,False,-0.3%,0.0%,-0.8%,-0.3
2023-10-30 07:00:00,True,0.0%,0.4%,-0.8%,-0.4
2023-08-29 06:00:00,False,-0.8%,-1.5%,0.4%,0.7
2023-07-28 06:00:00,True,-1.5%,-0.6%,0.6%,-0.9
2023-05-30 06:00:00,False,0.6%,0.2%,-0.9%,0.4
2023-04-27 06:00:00,True,0.2%,-0.1%,-0.5%,0.3
2023-02-28 08:00:00,False,-0.9%,-0.6%,0.2%,-0.3
2023-01-30 08:00:00,True,-0.6%, ,0.6%,
2023-01-30 07:00:00,True,-0.6%, ,0.6%,
2022-11-29 07:00:00,False,0.6%,0.7%,1.4%,-0.1
2022-10-28 06:00:00,True,0.7%,-0.1%,1.4%,0.8
2022-08-29 06:00:00,False,0.9%,1.4%,-0.8%,-0.5
2022-07-28 06:00:00,True,1.4%,0.7%,-0.4%,0.7
2022-05-30 06:00:00,False,-0.8%,-0.4%,1.1%,-0.4
2022-04-28 06:00:00,True,-0.4%,-0.5%,1.1%,0.1
2022-02-28 07:00:00,False,1.1%,1.4%,2.0%,-0.3
2022-01-28 07:00:00,True,1.4%,1.0%,1.8%,0.4
2021-11-29 08:30:00,False,2.0%,1.8%,0.9%,0.2
2021-10-28 07:30:00,True,1.8%,1.3%,0.9%,0.5
2021-08-27 07:30:00,False,0.9%, ,0.9%,
2021-07-29 07:30:00,True,0.9%,0.7%,0.8%,0.2
2021-05-28 07:30:00,False,0.8%, ,-0.2%,
2021-04-29 07:30:00,True,1.1%,0.5%,-0.2%,0.6
2021-02-26 08:30:00,False,-0.2%, ,6.4%,
2021-02-01 08:30:00,True,0.5%,0.7%,4.9%,-0.2
2020-11-27 08:30:00,False,4.9%,4.4%,-8.0%,0.5
2020-11-05 08:30:00,True,4.3%, ,-8.6%,
2020-08-28 07:30:00,False,-8.3%,-8.6%,0.2%,0.3
2020-08-05 07:30:00,True,-8.6%, ,0.1%,
2020-05-29 07:30:00,False,0.1%,-0.6%,0.2%,0.7
2020-05-05 07:30:00,True,-0.3%, ,0.2%,
2020-02-28 08:30:00,False,0.2%,0.2%,0.4%,0.0
2019-11-29 08:30:00,False,0.3%,0.2%,0.2%,0.1
2019-09-13 07:30:00,False,0.1%,-0.1%,0.5%,0.2
2019-07-30 07:30:00,True,-0.1%,0.3%,0.6%,-0.4
2019-05-29 07:30:00,False,0.6%,0.2%,1.2%,0.4
2019-02-28 08:30:00,False,1.2%,0.6%,-0.1%,0.6
2018-11-29 08:30:00,False,-0.2%,0.3%,0.5%,-0.5
2018-09-13 07:30:00,False,0.8%,1.0%,1.0%,-0.2
2018-07-30 07:30:00,True,1.0%,0.5%,0.8%,0.5
2018-05-30 07:30:00,False,0.7%,0.5%,0.7%,0.2
2018-02-28 08:30:00,False,0.9%,1.0%,1.2%,-0.1
2017-11-29 08:30:00,False,0.8%,0.8%,1.2%,0.0
2017-09-13 07:30:00,False,1.3%,1.7%,1.7%,-0.4
2017-07-28 07:30:00,True,1.7%,1.0%,0.6%,0.7
2017-05-30 07:30:00,False,0.4%,0.8%,0.7%,-0.4
2017-02-28 08:30:00,False,1.0%,0.9%,0.3%,0.1
