Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-02-28 08:00:00,False,-0.9%,0.6%,2.7%,-1.5
2023-01-30 08:00:00,True,-0.6%,1.2%,2.5%,-1.8
2023-01-30 07:00:00,True,-0.6%,1.2%,2.5%,-1.8
2022-11-29 07:00:00,False,2.5%,2.6%,4.2%,-0.1
2022-10-28 06:00:00,False,2.6%,2.4%,4.2%,0.2
2022-08-29 06:00:00,False,3.8%,4.2%,3.0%,-0.4
2022-07-28 06:00:00,True,4.2%, ,3.0%,
2022-05-30 06:00:00,False,3.0%,5.2%,5.2%,-2.2
2022-04-28 06:00:00,True,3.0%,5.4%,5.2%,-2.4
2022-02-28 07:00:00,False,5.2%,6.2%,4.7%,-1.0
2022-01-28 07:00:00,True,6.2%,5.4%,4.7%,0.8
2022-01-27 07:00:00,False, , ,2.5%,
2021-11-29 08:30:00,False,4.7%,4.7%,9.7%,0.0
2021-10-28 07:30:00,True,4.7%, ,9.7%,
2021-08-27 07:30:00,False,9.7%, ,10.0%,
2021-07-29 07:30:00,True,10.0%, ,0.0%,
2021-05-28 07:30:00,False,0.0%,0.0%,-2.2%,0.0
2021-04-29 07:30:00,True,0.0%,-1.3%,-2.2%,1.3
2021-02-26 08:30:00,False,-2.2%, ,-2.4%,
2021-02-01 08:30:00,True,-2.6%,-2.3%,-2.5%,-0.3
2020-11-27 08:30:00,False,-2.5%,-3.6%,-7.5%,1.1
2020-11-05 08:30:00,True,-3.5%, ,-8.2%,
2020-08-28 07:30:00,False,-7.7%,-8.2%,0.7%,0.5
2020-08-05 07:30:00,True,-8.2%, ,0.4%,
2020-05-29 07:30:00,False,0.4%,0.5%,0.5%,-0.1
2020-05-05 07:30:00,True,0.5%, ,0.8%,
2020-02-28 08:30:00,False,0.8%,0.8%,1.8%,0.0
2019-11-29 08:30:00,False,1.6%,1.8%,1.0%,-0.2
2019-09-13 07:30:00,False,1.0%,1.4%,2.1%,-0.4
2019-07-30 07:30:00,True,1.4%,1.9%,2.1%,-0.5
2019-05-29 07:30:00,False,2.1%,1.7%,2.4%,0.4
2019-02-28 08:30:00,False,2.4%,1.5%,1.5%,0.9
2018-11-29 08:30:00,False,1.6%,2.3%,2.7%,-0.7
2018-09-13 07:30:00,False,2.5%,3.3%,3.3%,-0.8
2018-07-30 07:30:00,True,3.3%,2.6%,3.3%,0.7
2018-05-30 07:30:00,False,3.3%,3.4%,2.9%,-0.1
2018-02-28 08:30:00,False,3.3%,3.4%,2.7%,-0.1
2017-11-29 08:30:00,False,2.9%,3.5%,2.7%,-0.6
2017-09-13 07:30:00,False,3.1%,4.0%,4.0%,-0.9
2017-07-28 07:30:00,True,4.0%,2.8%,2.3%,1.2
2017-05-30 07:30:00,False,2.2%,2.9%,2.1%,-0.7
2017-02-28 08:30:00,False,2.3%,2.4%,2.4%,-0.1
