Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-02-08 14:30:00,False,6.75%,6.75%,6.75%,0.0
2023-01-04 15:00:00,False,6.75%,6.75%,6.75%,0.0
2023-01-04 13:00:00,False,6.75%,6.75%,6.75%,0.0
2022-12-07 05:00:00,False,6.75%,6.75%,6.75%,0.0
2022-11-09 17:25:00,False,6.75%,7.00%,6.75%,-0.25
2022-10-05 13:25:00,False,6.75%,7.00%,6.75%,-0.25
2022-09-07 21:49:00,False,6.75%,6.75%,6.50%,0.0
2022-07-07 13:59:00,False,6.50%,6.75%,6.00%,-0.25
2022-06-08 13:30:00,False,6.00%,6.00%,5.25%,0.0
2022-05-05 18:30:00,False,5.25%,5.50%,4.50%,-0.25
2022-04-06 12:45:00,False,4.50%,4.00%,3.50%,0.5
2022-03-08 15:10:00,False,3.50%,3.25%,2.75%,0.25
2022-02-08 14:50:00,False,2.75%,2.75%,2.25%,0.0
2022-01-04 15:00:00,False,2.25%,2.25%,1.75%,0.0
2021-12-08 15:10:00,False,1.75%,1.75%,1.25%,0.0
2021-11-03 15:08:00,False,1.25%,1.00%,0.50%,0.25
2021-10-06 13:20:00,False,0.50%,0.10%,0.10%,0.4
2021-09-08 16:05:00,False,0.10%,0.10%,0.10%,0.0
2021-07-08 16:15:00,False,0.10%,0.10%,0.10%,0.0
2021-06-09 14:35:00,False,0.10%,0.10%,0.10%,0.0
2021-05-05 15:30:00,False,0.10%,0.10%,0.10%,0.0
2021-04-07 12:25:00,False,0.10%,0.10%,0.10%,0.0
2021-03-03 14:45:00,False,0.10%,0.10%,0.10%,0.0
2021-02-03 15:00:00,False,0.10%,0.10%,0.10%,0.0
2021-01-13 13:50:00,False,0.10%,0.10%,0.10%,0.0
2020-12-02 15:15:00,False,0.10%,0.10%,0.10%,0.0
2020-11-06 14:35:00,False,0.10%,0.10%,0.10%,0.0
2020-10-07 13:10:00,False,0.10%,0.10%,0.10%,0.0
2020-09-15 12:10:00,False,0.10%,0.10%,0.10%,0.0
2020-07-14 12:49:00,False,0.10%,0.10%,0.10%,0.0
2020-06-16 12:25:00,False,0.10%,0.10%,0.10%,0.0
2020-05-28 12:50:00,False,0.10%,0.50%,0.50%,-0.4
2020-04-08 11:40:00,False,0.50%,1.00%,1.00%,-0.5
2020-03-17 14:56:00,False,1.00%,1.50%,1.50%,-0.5
2020-03-04 13:45:00,False,1.50%,1.50%,1.50%,0.0
2020-02-05 13:30:00,False,1.50%,1.50%,1.50%,0.0
2020-01-08 13:00:00,False,1.50%,1.50%,1.50%,0.0
2019-12-04 14:30:00,False,1.50%,1.50%,1.50%,0.0
2019-11-06 13:30:00,False,1.50%,1.50%,1.50%,0.0
2019-10-02 12:00:00,False,1.50%,1.50%,1.50%,0.0
2019-07-03 12:00:00,False,1.50%,1.50%,1.50%,0.0
2019-06-05 11:15:00,False,1.50%,1.50%,1.50%,0.0
2019-05-15 10:50:00,False,1.50%,1.50%,1.50%,0.0
2019-04-03 11:25:00,False,1.50%,1.50%,1.50%,0.0
2019-03-06 13:00:00,False,1.50%,1.50%,1.50%,0.0
2019-02-06 13:45:00,False,1.50%,1.50%,1.50%,0.0
2019-01-09 12:35:00,False,1.50%,1.50%,1.50%,0.0
2018-12-05 12:45:00,False,1.50%,1.50%,1.50%,0.0
2018-11-07 13:00:00,False,1.50%,1.50%,1.50%,0.0
2018-10-03 11:15:00,False,1.50%,1.50%,1.50%,0.0
2018-09-05 11:05:00,False,1.50%,1.50%,1.50%,0.0
2018-07-11 11:30:00,False,1.50%,1.50%,1.50%,0.0
2018-06-06 10:25:00,False,1.50%,1.50%,1.50%,0.0
2018-05-16 10:45:00,False,1.50%,1.50%,1.50%,0.0
2018-04-11 10:35:00,False,1.50%,1.50%,1.50%,0.0
2018-03-07 11:55:00,False,1.50%,1.50%,1.50%,0.0
2018-02-07 11:55:00,False,1.50%,1.50%,1.50%,0.0
2018-01-10 15:30:00,False,1.50%,1.50%,1.50%,0.0
2017-12-05 12:55:00,False,1.50%,1.50%,1.50%,0.0
2017-11-08 12:00:00,False,1.50%,1.50%,1.50%,0.0
2017-10-04 10:35:00,False,1.50%,1.50%,1.50%,0.0
2017-09-06 10:50:00,False,1.50%,1.50%,1.50%,0.0
2017-07-05 11:00:00,False,1.50%,1.50%,1.50%,0.0
2017-06-07 10:25:00,False,1.50%,1.50%,1.50%,0.0
2017-05-17 10:25:00,False,1.50%,1.50%,1.50%,0.0
2017-04-05 10:15:00,False,1.50%,1.50%,1.50%,0.0
2017-03-08 11:10:00,False,1.50%,1.50%,1.50%,0.0
2017-02-08 11:20:00,False,1.50%,1.50%,1.50%,0.0
2017-01-11 10:30:00,False,1.50%,1.50%,1.50%,0.0
