,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-02-03 13:30:00,False,3.4%,3.6%,3.5%
1,2023-01-06 13:30:00,False,3.5%,3.7%,3.6%
2,2022-12-02 12:30:00,False,3.7%,3.7%,3.7%
3,2022-11-04 12:30:00,False,3.7%,3.6%,3.5%
4,2022-10-07 12:30:00,False,3.5%,3.7%,3.7%
5,2022-09-02 12:30:00,False,3.7%,3.5%,3.5%
6,2022-08-05 12:30:00,False,3.5%,3.6%,3.6%
7,2022-07-08 12:30:00,False,3.6%,3.6%,3.6%
8,2022-06-03 12:30:00,False,3.6%,3.5%,3.6%
9,2022-05-06 12:30:00,False,3.6%,3.5%,3.6%
10,2022-04-01 12:30:00,False,3.6%,3.7%,3.8%
11,2022-03-04 13:30:00,False,3.8%,3.9%,4.0%
12,2022-02-04 13:30:00,False,4.0%,3.9%,3.9%
13,2022-01-07 13:30:00,False,3.9%,4.1%,4.2%
14,2021-12-03 13:30:00,False,4.2%,4.5%,4.6%
15,2021-11-05 12:30:00,False,4.6%,4.7%,4.8%
16,2021-10-08 12:30:00,False,4.8%,5.1%,5.2%
17,2021-09-03 12:30:00,False,5.2%,5.2%,5.4%
18,2021-08-06 12:30:00,False,5.4%,5.7%,5.9%
19,2021-07-02 12:30:00,False,5.9%,5.7%,5.8%
20,2021-06-04 12:30:00,False,5.8%,5.9%,6.1%
21,2021-05-07 12:30:00,False,6.1%,5.8%,6.0%
22,2021-04-02 12:30:00,False,6.0%,6.0%,6.2%
23,2021-03-05 13:30:00,False,6.2%,6.3%,6.3%
24,2021-02-05 13:30:00,False,6.3%,6.7%,6.7%
25,2021-01-08 13:30:00,False,6.7%,6.8%,6.7%
26,2020-12-04 13:30:00,False,6.7%,6.8%,6.9%
27,2020-11-06 13:30:00,False,6.9%,7.7%,7.9%
28,2020-10-02 12:30:00,False,7.9%,8.2%,8.4%
29,2020-09-04 12:30:00,False,8.4%,9.8%,10.2%
30,2020-08-07 12:30:00,False,10.2%,10.5%,11.1%
31,2020-07-02 12:30:00,False,11.1%,12.3%,13.3%
32,2020-06-05 12:30:00,False,13.3%,19.7%,14.7%
33,2020-05-08 12:30:00,False,14.7%,16.0%,4.4%
34,2020-04-03 12:30:00,False,4.4%,3.8%,3.5%
35,2020-03-06 13:30:00,False,3.5%,3.6%,3.6%
36,2020-02-07 13:30:00,False,3.6%,3.5%,3.5%
37,2020-01-10 13:30:00,False,3.5%,3.5%,3.5%
38,2019-12-06 13:30:00,False,3.5%,3.6%,3.6%
39,2019-11-01 12:30:00,False,3.6%,3.6%,3.5%
40,2019-10-04 12:30:00,False,3.5%,3.7%,3.7%
41,2019-09-06 12:30:00,False,3.7%,3.7%,3.7%
42,2019-08-02 12:30:00,False,3.7%,3.7%,3.7%
43,2019-07-05 12:30:00,False,3.7%,3.6%,3.6%
44,2019-06-07 12:30:00,False,3.6%,3.6%,3.6%
45,2019-05-03 12:30:00,False,3.6%,3.8%,3.8%
46,2019-04-05 12:30:00,False,3.8%,3.8%,3.8%
47,2019-03-08 13:30:00,False,3.8%,3.9%,4.0%
48,2019-02-01 13:30:00,False,4.0%,3.9%,3.9%
49,2019-01-04 13:30:00,False,3.9%,3.7%,3.7%
50,2018-12-07 13:30:00,False,3.7%,3.7%,3.7%
51,2018-11-02 12:30:00,False,3.7%,3.7%,3.7%
52,2018-10-05 12:30:00,False,3.7%,3.8%,3.9%
53,2018-09-07 12:30:00,False,3.9%,3.8%,3.9%
54,2018-08-03 12:30:00,False,3.9%,3.9%,4.0%
55,2018-07-06 12:30:00,False,4.0%,3.8%,3.8%
56,2018-06-01 12:30:00,False,3.8%,3.9%,3.9%
57,2018-05-04 12:30:00,False,3.9%,4.0%,4.1%
58,2018-04-06 12:30:00,False,4.1%,4.0%,4.1%
59,2018-03-09 13:30:00,False,4.1%,4.0%,4.1%
60,2018-02-02 13:30:00,False,4.1%,4.1%,4.1%
61,2018-01-05 13:30:00,False,4.1%,4.1%,4.1%
62,2017-12-08 13:30:00,False,4.1%,4.1%,4.1%
63,2017-11-03 12:30:00,False,4.1%,4.2%,4.2%
64,2017-10-06 12:30:00,False,4.2%,4.4%,4.4%
65,2017-09-01 12:30:00,False,4.4%,4.3%,4.3%
66,2017-08-04 12:30:00,False,4.3%,4.3%,4.4%
67,2017-07-07 12:30:00,False,4.4%,4.3%,4.3%
68,2017-06-02 12:30:00,False,4.3%,4.4%,4.4%
69,2017-05-05 12:30:00,False,4.4%,4.6%,4.5%
70,2017-04-07 12:30:00,False,4.5%,4.7%,4.7%
71,2017-03-10 13:30:00,False,4.7%,4.7%,4.8%
72,2017-02-03 13:30:00,False,4.8%,4.7%,4.7%
73,2017-01-06 13:30:00,False,4.7%,4.7%,4.6%
