,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-01-18 13:30:00,False,-0.5%,-0.1%,0.2%
1,2022-12-09 13:30:00,False,0.3%,0.2%,0.3%
2,2022-11-15 13:30:00,False,0.2%,0.4%,0.2%
3,2022-10-12 12:30:00,False,0.4%,0.2%,-0.2%
4,2022-09-14 12:30:00,False,-0.1%,-0.1%,-0.4%
5,2022-08-11 12:30:00,False,-0.5%,0.2%,1.0%
6,2022-07-14 12:30:00,False,1.1%,0.8%,0.9%
7,2022-06-14 12:30:00,False,0.8%,0.8%,0.4%
8,2022-05-12 12:30:00,False,0.5%,0.5%,1.6%
9,2022-04-13 12:30:00,False,1.4%,1.1%,0.9%
10,2022-03-15 12:30:00,False,0.8%,0.9%,1.2%
11,2022-02-15 13:30:00,False,1.0%,0.5%,0.4%
12,2022-01-13 13:30:00,False,0.2%,0.4%,1.0%
13,2021-12-14 13:30:00,False,0.8%,0.5%,0.6%
14,2021-11-09 13:30:00,False,0.6%,0.6%,0.5%
15,2021-10-14 12:30:00,False,0.5%,0.6%,0.7%
16,2021-09-10 12:30:00,False,0.7%,0.6%,1.0%
17,2021-08-12 12:30:00,False,1.0%,0.6%,1.0%
18,2021-07-14 12:30:00,False,1.0%,0.6%,0.8%
19,2021-06-15 12:30:00,False,0.8%,0.6%,0.6%
20,2021-05-13 12:30:00,False,0.6%,0.3%,1.0%
21,2021-04-09 12:30:00,False,1.0%,0.5%,0.5%
22,2021-03-12 13:30:00,False,0.5%,0.5%,1.3%
23,2021-02-17 13:30:00,False,1.3%,0.4%,0.3%
24,2021-01-15 13:30:00,False,0.3%,0.4%,0.1%
25,2020-12-11 13:30:00,False,0.1%,0.2%,0.3%
26,2020-11-13 13:30:00,False,0.3%,0.2%,0.4%
27,2020-10-14 12:30:00,False,0.4%,0.2%,0.3%
28,2020-09-10 12:30:00,False,0.3%,0.2%,0.6%
29,2020-08-11 12:30:00,False,0.6%,0.3%,-0.2%
30,2020-07-10 12:30:00,False,-0.2%,0.4%,0.4%
31,2020-06-11 12:30:00,False,0.4%,0.1%,-1.3%
32,2020-05-13 12:30:00,False,-1.3%,-0.5%,-0.2%
33,2020-04-09 12:30:00,False,-0.2%,-0.4%,-0.6%
34,2020-03-12 12:30:00,False,-0.6%,-0.1%,0.5%
35,2020-02-19 13:30:00,False,0.5%,0.1%,0.2%
36,2020-01-15 13:30:00,False,0.1%,0.2%,0.0%
37,2019-12-12 13:30:00,False,0.0%,0.2%,0.4%
38,2019-11-14 13:30:00,False,0.4%,0.3%,-0.3%
39,2019-10-08 12:30:00,False,-0.3%,0.1%,0.1%
40,2019-09-11 12:30:00,False,0.1%,0.1%,0.2%
41,2019-08-09 12:30:00,False,0.2%,0.2%,0.1%
42,2019-07-12 12:30:00,False,0.1%,0.1%,0.1%
43,2019-06-11 12:30:00,False,0.1%,0.1%,0.2%
44,2019-05-09 12:30:00,False,0.2%,0.2%,0.6%
45,2019-04-11 12:30:00,False,0.6%,0.3%,0.1%
46,2019-03-13 12:30:00,False,0.1%,0.2%,-0.1%
47,2019-02-14 13:30:00,False,-0.1%,0.1%,-0.1%
48,2019-01-15 13:30:00,False,-0.2%,-0.1%,0.1%
49,2018-12-11 13:30:00,False,0.1%,0.1%,0.6%
50,2018-11-09 13:30:00,False,0.6%,0.2%,0.2%
51,2018-10-10 12:30:00,False,0.2%,0.2%,-0.1%
52,2018-09-12 12:30:00,False,-0.1%,0.2%,0.0%
53,2018-08-09 12:30:00,False,0.0%,0.2%,0.3%
54,2018-07-11 12:30:00,False,0.3%,0.2%,0.5%
55,2018-06-13 12:30:00,False,0.5%,0.3%,0.1%
56,2018-05-09 12:30:00,False,0.1%,0.2%,0.3%
57,2018-04-10 12:30:00,False,0.3%,0.1%,0.2%
58,2018-03-14 12:30:00,False,0.2%,0.1%,0.4%
59,2018-02-15 13:30:00,False,0.4%,0.4%,-0.1%
60,2018-01-11 13:30:00,False,-0.1%,0.2%,0.4%
61,2017-12-12 13:30:00,False,0.4%,0.4%,0.4%
62,2017-11-14 13:30:00,False,0.4%,0.1%,0.4%
63,2017-10-12 12:30:00,False,0.4%,0.4%,0.2%
64,2017-09-13 12:30:00,False,0.2%,0.3%,-0.1%
65,2017-08-10 12:30:00,False,-0.1%,0.1%,0.1%
66,2017-07-13 12:30:00,False,0.1%,-0.1%,0.0%
67,2017-06-13 12:30:00,False,0.0%,0.1%,0.5%
68,2017-05-11 12:30:00,False,0.5%,0.2%,-0.1%
69,2017-04-13 12:30:00,False,-0.1%,0.0%,0.3%
70,2017-03-14 12:30:00,False,0.3%,0.1%,0.6%
71,2017-02-14 13:30:00,False,0.6%,0.3%,0.3%
72,2017-01-13 13:30:00,False,0.3%,0.3%,0.4%
