Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2024-01-12 13:30:00,False,0.0%,0.2%,0.0%,-0.2
2023-12-13 13:30:00,False,0.0%,0.2%,0.0%,-0.2
2023-11-15 13:30:00,False,0.0%,0.3%,0.2%,-0.3
2023-10-11 12:30:00,False,0.3%,0.2%,0.2%,0.1
2023-09-14 12:30:00,False,0.2%,0.2%,0.4%,0.0
2023-08-11 12:30:00,False,0.3%,0.2%,-0.1%,0.1
2023-07-13 12:30:00,False,0.1%,0.2%,0.1%,-0.1
2023-06-14 12:30:00,False,0.2%,0.2%,0.2%,0.0
2023-05-11 12:30:00,False,0.2%,0.2%,0.0%,0.0
2023-04-13 13:30:00,False,-0.1%,0.3%,0.2%,-0.4
2023-03-15 13:30:00,False,0.0%,0.4%,0.1%,-0.4
2023-02-16 14:30:00,False,0.5%,0.3%,0.3%,0.2
2023-02-16 13:30:00,False,0.5%,0.3%,0.3%,0.2
2023-01-18 13:30:00,False,0.1%,0.1%,0.2%,0.0
2022-12-09 13:30:00,False,0.4%,0.2%,0.1%,0.2
2022-11-15 13:30:00,False,0.0%,0.3%,0.2%,-0.3
2022-10-12 12:30:00,False,0.3%,0.3%,0.3%,0.0
2022-09-14 12:30:00,False,0.4%,0.3%,0.3%,0.1
2022-08-11 12:30:00,False,0.2%,0.4%,0.4%,-0.2
2022-07-14 12:30:00,False,0.4%,0.5%,0.6%,-0.1
2022-06-14 12:30:00,False,0.5%,0.6%,0.2%,-0.1
2022-05-12 12:30:00,False,0.4%,0.6%,1.2%,-0.2
2022-04-13 12:30:00,False,1.0%,0.5%,0.4%,0.5
2022-03-15 12:30:00,False,0.2%,0.6%,1.0%,-0.4
2022-02-15 13:30:00,False,0.8%,0.5%,0.6%,0.3
2022-01-13 13:30:00,False,0.5%,0.5%,0.9%,0.0
2021-12-14 13:30:00,False,0.7%,0.4%,0.4%,0.3
2021-11-09 13:30:00,False,0.4%,0.5%,0.2%,-0.1
2021-10-14 12:30:00,False,0.2%,0.5%,0.6%,-0.3
2021-09-10 12:30:00,False,0.6%,0.5%,1.0%,0.1
2021-08-12 12:30:00,False,1.0%,0.5%,1.0%,0.5
2021-07-14 12:30:00,False,1.0%,0.5%,0.7%,0.5
2021-06-15 12:30:00,False,0.7%,0.5%,0.7%,0.2
2021-05-13 12:30:00,False,0.7%,0.4%,0.7%,0.3
2021-04-09 12:30:00,False,0.7%,0.2%,0.2%,0.5
2021-03-12 13:30:00,False,0.2%,0.2%,1.2%,0.0
2021-02-17 13:30:00,False,1.2%,0.2%,0.1%,1.0
2021-01-15 13:30:00,False,0.1%,0.2%,0.1%,-0.1
2020-12-11 13:30:00,False,0.1%,0.2%,0.1%,-0.1
2020-11-13 13:30:00,False,0.1%,0.2%,0.4%,-0.1
2020-10-14 12:30:00,False,0.4%,0.2%,0.4%,0.2
2020-09-10 12:30:00,False,0.4%,0.2%,0.5%,0.2
2020-08-11 12:30:00,False,0.5%,0.1%,-0.3%,0.4
2020-07-10 12:30:00,False,-0.3%,0.1%,-0.1%,-0.4
2020-06-11 12:30:00,False,-0.1%,-0.1%,-0.3%,0.0
2020-05-13 12:30:00,False,-0.3%,0.0%,0.2%,-0.3
2020-04-09 12:30:00,False,0.2%,0.1%,-0.3%,0.1
2020-03-12 12:30:00,False,-0.3%,0.1%,0.5%,-0.4
2020-02-19 13:30:00,False,0.5%,0.1%,0.1%,0.4
2020-01-15 13:30:00,False,0.1%,0.2%,-0.2%,-0.1
2019-12-12 13:30:00,False,-0.2%,0.2%,0.3%,-0.4
2019-11-14 13:30:00,False,0.3%,0.2%,-0.3%,0.1
