,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-01-13 13:30:00,False,-2.6%,-0.5%,-0.4%
1,2022-12-14 13:30:00,False,-0.3%,-0.4%,-0.4%
2,2022-11-16 13:30:00,False,-0.3%,-0.4%,-1.5%
3,2022-10-14 12:30:00,False,-0.8%,-1.0%,-1.7%
4,2022-09-15 12:30:00,False,-1.6%,-1.2%,-3.7%
5,2022-08-12 12:30:00,False,-3.3%,-1.1%,0.7%
6,2022-07-15 12:30:00,False,0.7%,1.2%,2.9%
7,2022-06-15 12:30:00,False,2.8%,1.3%,0.8%
8,2022-05-13 12:30:00,False,0.6%,0.7%,4.1%
9,2022-04-14 12:30:00,False,4.5%,2.2%,3.0%
10,2022-03-16 12:30:00,False,3.0%,1.6%,2.8%
11,2022-02-16 13:30:00,False,2.9%,1.3%,-1.6%
12,2022-01-14 13:30:00,False,-1.8%,0.3%,0.8%
13,2021-12-15 13:30:00,False,1.0%,0.5%,1.6%
14,2021-11-16 13:30:00,False,1.5%,0.9%,0.4%
15,2021-10-15 12:30:00,False,0.1%,0.6%,0.4%
16,2021-09-15 12:30:00,False,0.4%,0.4%,1.1%
17,2021-08-13 12:30:00,False,1.3%,0.8%,1.2%
18,2021-07-15 12:30:00,False,1.2%,1.2%,2.2%
19,2021-06-16 12:30:00,False,2.2%,0.8%,1.1%
20,2021-05-14 12:30:00,False,0.8%,0.6%,2.4%
21,2021-04-14 12:30:00,False,2.1%,1.0%,1.6%
22,2021-03-16 12:30:00,False,1.6%,0.9%,2.5%
23,2021-02-18 13:30:00,False,2.5%,0.7%,1.3%
24,2021-01-14 13:30:00,False,1.1%,0.4%,0.7%
25,2020-12-15 13:30:00,False,0.6%,0.3%,0.2%
26,2020-11-17 13:30:00,False,0.2%,0.3%,0.6%
27,2020-10-15 12:30:00,False,0.6%,0.4%,0.5%
28,2020-09-15 12:30:00,False,0.5%,0.4%,0.9%
29,2020-08-13 12:30:00,False,0.8%,0.4%,1.2%
30,2020-07-15 12:30:00,False,1.4%,0.8%,0.4%
31,2020-06-12 12:30:00,False,0.5%,0.6%,-3.3%
32,2020-05-14 12:30:00,False,-3.3%,-2.1%,-1.7%
33,2020-04-14 12:30:00,False,-1.6%,-1.9%,-1.1%
34,2020-03-13 12:30:00,False,-1.1%,-0.4%,0.6%
35,2020-02-14 13:30:00,False,0.7%,-0.1%,-0.2%
36,2020-01-16 13:30:00,False,-0.2%,0.2%,0.2%
37,2019-12-13 13:30:00,False,0.2%,0.1%,-0.1%
38,2019-11-15 13:30:00,False,-0.1%,-0.1%,-0.2%
39,2019-10-11 12:30:00,False,-0.2%,-0.2%,-0.6%
40,2019-09-13 12:30:00,False,-0.6%,-0.2%,0.2%
41,2019-08-14 12:30:00,False,0.2%,-0.1%,-0.6%
42,2019-07-16 12:30:00,False,-0.7%,-0.2%,-0.2%
43,2019-06-13 12:30:00,False,-0.2%,-0.1%,0.1%
44,2019-05-14 12:30:00,False,0.2%,0.5%,0.6%
45,2019-04-12 12:30:00,False,0.7%,0.2%,0.7%
46,2019-03-14 12:30:00,False,0.6%,0.1%,-0.5%
47,2019-02-15 13:30:00,False,-0.6%,-0.1%,-0.6%
48,2019-01-16 13:30:00,False,-0.6%,-0.6%,-0.8%
49,2018-12-13 13:30:00,False,-0.9%,-0.1%,0.5%
50,2018-11-15 13:30:00,False,0.4%,0.1%,-0.2%
51,2018-10-12 12:30:00,False,0.0%,0.2%,-0.2%
52,2018-09-14 12:30:00,False,-0.1%,0.1%,-0.5%
53,2018-08-14 12:30:00,False,-0.5%,0.2%,0.2%
54,2018-07-13 12:30:00,False,0.3%,0.2%,0.6%
55,2018-06-14 12:30:00,False,0.6%,0.3%,0.6%
56,2018-05-11 12:30:00,False,0.6%,0.3%,0.3%
57,2018-04-12 12:30:00,False,0.3%,0.2%,0.2%
58,2018-03-15 12:30:00,False,0.2%,0.3%,0.8%
59,2018-02-16 13:30:00,False,0.8%,0.3%,0.1%
60,2018-01-10 13:30:00,False,-0.1%,0.3%,0.5%
61,2017-12-14 13:30:00,False,0.5%,0.2%,0.1%
62,2017-11-16 13:30:00,False,0.0%,0.4%,0.7%
63,2017-10-17 12:30:00,False,0.8%,0.4%,0.7%
64,2017-09-19 12:30:00,False,0.6%,0.2%,0.5%
65,2017-08-15 12:30:00,False,0.4%,0.2%,-0.2%
66,2017-07-18 12:30:00,False,-0.2%,0.0%,-0.5%
67,2017-06-15 12:30:00,False,-0.7%,0.1%,0.2%
68,2017-05-10 12:30:00,False,0.2%,0.1%,0.1%
69,2017-04-12 12:30:00,False,0.2%,0.1%,0.3%
70,2017-03-09 13:30:00,False,0.3%,0.2%,0.2%
71,2017-02-10 13:30:00,False,0.1%,0.1%,0.4%
72,2017-01-12 13:30:00,False,0.3%,0.1%,-0.1%
