Timestamp,Prelim,Actual,Forecast,Previous
2023-01-12 08:30:00,False,-0.1%,0.0%,0.1%
2022-12-13 08:30:00,False,0.1%,0.3%,0.4%
2022-11-10 08:30:00,False,0.4%,0.6%,0.4%
2022-10-13 07:30:00,False,0.4%,0.2%,0.1%
2022-09-13 07:30:00,False,0.1%,-0.1%,0.0%
2022-08-10 07:30:00,False,0.0%,0.2%,1.3%
2022-07-13 07:30:00,False,1.3%,1.1%,1.0%
2022-06-10 07:30:00,False,1.0%,0.7%,0.3%
2022-05-11 07:30:00,False,0.3%,0.2%,1.2%
2022-04-12 07:30:00,False,1.2%,1.2%,0.8%
2022-03-10 08:30:00,False,0.8%,0.8%,0.6%
2022-02-10 08:30:00,False,0.6%,0.5%,0.6%
2022-01-12 08:30:00,False,0.5%,0.4%,0.8%
2021-12-10 08:30:00,False,0.8%,0.7%,0.9%
2021-11-10 08:30:00,False,0.9%,0.6%,0.4%
2021-10-13 07:30:00,False,0.4%,0.3%,0.3%
2021-09-14 07:30:00,False,0.3%,0.4%,0.5%
2021-08-11 07:30:00,False,0.5%,0.5%,0.9%
2021-07-13 07:30:00,False,0.9%,0.5%,0.6%
2021-06-10 07:30:00,False,0.6%,0.4%,0.8%
2021-05-12 07:30:00,False,0.8%,0.2%,0.6%
2021-04-13 07:30:00,False,0.6%,0.5%,0.4%
2021-03-10 08:30:00,False,0.4%,0.4%,0.3%
2021-02-10 08:30:00,False,0.3%,0.3%,0.2%
2021-01-13 08:30:00,False,0.4%,0.4%,0.2%
2020-12-10 08:30:00,False,0.2%,0.1%,0.2%
2020-11-12 08:30:00,False,0.0%,0.1%,0.2%
2020-10-13 07:30:00,False,0.2%,0.2%,0.4%
2020-09-11 07:30:00,False,0.4%,0.3%,0.6%
2020-08-12 07:30:00,False,0.6%,0.3%,0.6%
2020-07-14 07:30:00,False,0.6%,0.5%,-0.1%
2020-06-10 07:30:00,False,-0.1%,-0.1%,-0.8%
2020-05-12 07:30:00,False,-0.8%,-0.8%,-0.4%
2020-04-10 07:30:00,False,-0.4%,-0.3%,0.1%
2020-03-11 07:30:00,False,0.1%,0.2%,0.1%
2020-02-13 08:30:00,False,0.1%,0.2%,0.2%
2020-01-14 08:30:00,False,0.2%,0.3%,0.3%
2019-12-11 08:30:00,False,0.3%,0.2%,0.4%
2019-11-13 08:30:00,False,0.4%,0.3%,0.1%
2019-10-10 07:30:00,False,0.0%,0.1%,0.1%
2019-09-12 07:30:00,False,0.1%,0.1%,0.3%
2019-08-13 07:30:00,False,0.3%,0.3%,0.1%
2019-07-11 07:30:00,False,0.1%,0.0%,0.1%
2019-06-12 07:30:00,False,0.1%,0.1%,0.3%
2019-05-10 07:30:00,False,0.3%,0.4%,0.4%
2019-04-10 07:30:00,False,0.4%,0.3%,0.2%
2019-03-12 07:30:00,False,0.2%,0.2%,0.0%
2019-02-13 08:30:00,False,0.0%,0.1%,-0.1%
2019-01-11 08:30:00,False,-0.1%,-0.1%,0.0%
2018-12-12 08:30:00,False,0.0%,0.1%,0.3%
2018-11-14 08:30:00,False,0.3%,0.3%,0.1%
2018-10-11 07:30:00,False,0.1%,0.2%,0.2%
2018-09-13 07:30:00,False,0.2%,0.3%,0.2%
2018-08-10 07:30:00,False,0.2%,0.2%,0.1%
2018-07-12 07:30:00,False,0.1%,0.2%,0.2%
2018-06-12 07:30:00,False,0.2%,0.2%,0.2%
2018-05-10 07:30:00,False,0.2%,0.3%,-0.1%
2018-04-11 07:30:00,False,-0.1%,0.0%,0.2%
2018-03-13 07:30:00,False,0.2%,0.2%,0.5%
2018-02-14 08:30:00,False,0.5%,0.3%,0.2%
2018-01-12 08:30:00,False,0.1%,0.2%,0.4%
2017-12-13 08:30:00,False,0.4%,0.4%,0.1%
2017-11-15 08:30:00,False,0.1%,0.1%,0.5%
2017-10-13 07:30:00,False,0.5%,0.6%,0.4%
2017-09-14 07:30:00,False,0.4%,0.3%,0.1%
2017-08-11 07:30:00,False,0.1%,0.2%,0.0%
2017-07-14 07:30:00,False,0.0%,0.1%,-0.1%
2017-06-14 07:30:00,False,-0.1%,0.1%,0.2%
2017-05-12 07:30:00,False,0.2%,0.2%,-0.3%
2017-04-14 07:30:00,False,-0.3%,0.1%,0.1%
2017-03-15 07:30:00,False,0.1%,0.1%,0.6%
2017-02-15 08:30:00,False,0.6%,0.3%,0.3%
2017-01-18 08:30:00,False,0.3%,0.3%,0.2%
