Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-02-14 13:30:00,False,6.4%,6.2%,6.5%,0.2
2023-01-12 13:30:00,False,6.5%,6.5%,7.1%,0.0
2022-12-13 13:30:00,False,7.1%,7.3%,7.7%,-0.2
2022-11-10 13:30:00,False,7.7%,8.0%,8.2%,-0.3
2022-10-13 12:30:00,False,8.2%,8.1%,8.3%,0.1
2022-09-13 12:30:00,False,8.3%,8.1%,8.5%,0.2
2022-08-10 12:30:00,False,8.5%,8.7%,9.1%,-0.2
2022-07-13 12:30:00,False,9.1%,8.8%,8.6%,0.3
2022-06-10 12:30:00,False,8.6%,8.3%,8.3%,0.3
2022-05-11 12:30:00,False,8.3%,8.1%,8.5%,0.2
2022-04-12 12:30:00,False,8.5%,8.4%,7.9%,0.1
2022-03-10 13:30:00,False,7.9%,7.9%,7.5%,0.0
2022-02-10 13:30:00,False,7.5%,7.3%,7.0%,0.2
2022-01-12 13:30:00,False,7.0%,7.0%,6.8%,0.0
2021-12-10 13:30:00,False,6.8%,6.8%,6.2%,0.0
2021-11-10 13:30:00,False,6.2%,5.8%,5.4%,0.4
2021-10-13 12:30:00,False,5.4%,5.3%,5.3%,0.1
2021-09-14 12:30:00,False,5.3%,5.3%,5.4%,0.0
2021-08-11 12:30:00,False,5.4%,5.3%,5.4%,0.1
2021-07-13 12:30:00,False,5.4%,4.9%,5.0%,0.5
2021-06-10 12:30:00,False,5.0%,4.7%,4.2%,0.3
2021-05-12 12:30:00,False,4.2%,3.6%,2.6%,0.6
2021-04-13 12:30:00,False,2.6%,2.5%,1.7%,0.1
2021-03-10 13:30:00,False,1.7%,1.7%,1.4%,0.0
2021-02-10 13:30:00,False,1.4%,1.5%,1.3%,-0.1
2021-01-13 13:30:00,False,1.4%,1.3%,1.2%,0.1
2020-12-10 13:30:00,False,1.2%,1.1%,1.2%,0.1
2020-11-12 13:30:00,False,1.2%,1.3%,1.4%,-0.1
2020-10-13 12:30:00,False,1.4%,1.4%,1.3%,0.0
2020-09-11 12:30:00,False,1.3%,1.2%,1.0%,0.1
2020-08-12 12:30:00,False,1.0%,0.8%,0.6%,0.2
2020-07-14 12:30:00,False,0.6%,0.6%,0.1%,0.0
2020-06-10 12:30:00,False,0.1%,0.2%,0.3%,-0.1
2020-05-12 12:30:00,False,0.3%,0.4%,1.5%,-0.1
2020-04-10 12:30:00,False,1.5%,1.6%,2.3%,-0.1
2020-03-11 12:30:00,False,2.3%,2.2%,2.5%,0.1
2020-02-13 13:30:00,False,2.5%,2.4%,2.3%,0.1
2020-01-14 13:30:00,False,2.3%,2.3%,2.1%,0.0
2019-12-11 13:30:00,False,2.1%,2.0%,1.8%,0.1
2019-11-13 13:30:00,False,1.8%,1.7%,1.7%,0.1
2019-10-10 12:30:00,False,1.7%,1.8%,1.7%,-0.1
2019-09-12 12:30:00,False,1.7%,1.8%,1.8%,-0.1
2019-08-13 12:30:00,False,1.8%,1.7%,1.6%,0.1
2019-07-11 12:30:00,False,1.6%,1.6%,1.8%,0.0
2019-06-12 12:30:00,False,1.8%,1.9%,2.0%,-0.1
2019-05-10 12:30:00,False,2.0%,2.1%,1.9%,-0.1
2019-04-10 12:30:00,False,1.9%,1.8%,1.5%,0.1
2019-03-12 12:30:00,False,1.5%,1.6%,1.6%,-0.1
2019-02-13 13:30:00,False,1.6%,1.5%,1.9%,0.1
2019-01-11 13:30:00,False,1.9%,1.9%,2.2%,0.0
2018-12-12 13:30:00,False,2.2%,2.2%,2.5%,0.0
2018-11-14 13:30:00,False,2.5%,2.5%,2.3%,0.0
2018-10-11 12:30:00,False,2.3%,2.4%,2.7%,-0.1
2018-09-13 12:30:00,False,2.7%,2.8%,2.9%,-0.1
2018-08-10 12:30:00,False,2.9%,3.0%,2.9%,-0.1
2018-07-12 12:30:00,False,2.9%,2.9%,2.8%,0.0
2018-06-12 12:30:00,False,2.8%,2.7%,2.5%,0.1
2018-05-10 12:30:00,False,2.5%,2.5%,2.4%,0.0
2018-04-11 12:30:00,False,2.4%,2.4%,2.2%,0.0
2018-03-13 12:30:00,False,2.2%,2.2%,2.1%,0.0
2018-02-14 13:30:00,False,2.1%,1.9%,2.1%,0.2
2018-01-12 13:30:00,False,2.1%,2.1%,2.2%,0.0
2017-12-13 13:30:00,False,2.2%,2.2%,2.0%,0.0
2017-11-15 13:30:00,False,2.0%,2.0%,2.2%,0.0
2017-10-13 12:30:00,False,2.2%,2.3%,1.9%,-0.1
2017-09-14 12:30:00,False,1.9%,1.8%,1.7%,0.1
2017-08-11 12:30:00,False,1.7%,1.8%,1.6%,-0.1
2017-07-14 12:30:00,False,1.6%,1.7%,1.9%,-0.1
2017-06-14 12:30:00,False,1.9%,2.0%,2.2%,-0.1
2017-05-12 12:30:00,False,2.2%,2.3%,2.4%,-0.1
2017-04-14 12:30:00,False,2.4%,2.6%,2.7%,-0.2
2017-03-15 12:30:00,False,2.7%,2.7%,2.5%,0.0
2017-02-15 13:30:00,False,2.5%,2.4%,2.1%,0.1
2017-01-18 13:30:00,False,2.1%,2.1%,1.7%,0.0
