Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-02-14 13:30:00,False,0.4%,0.4%,0.4%,0.0
2023-01-12 13:30:00,False,0.3%,0.3%,0.2%,0.0
2022-12-13 13:30:00,False,0.2%,0.3%,0.3%,-0.1
2022-11-10 13:30:00,False,0.3%,0.5%,0.6%,-0.2
2022-10-13 12:30:00,False,0.6%,0.5%,0.6%,0.1
2022-09-13 12:30:00,False,0.6%,0.3%,0.3%,0.3
2022-08-10 12:30:00,False,0.3%,0.5%,0.7%,-0.2
2022-07-13 12:30:00,False,0.7%,0.6%,0.6%,0.1
2022-06-10 12:30:00,False,0.6%,0.5%,0.6%,0.1
2022-05-11 12:30:00,False,0.6%,0.4%,0.3%,0.2
2022-04-12 12:30:00,False,0.3%,0.5%,0.5%,-0.2
2022-03-10 13:30:00,False,0.5%,0.5%,0.6%,0.0
2022-02-10 13:30:00,False,0.6%,0.5%,0.6%,0.1
2022-01-12 13:30:00,False,0.6%,0.5%,0.5%,0.1
2021-12-10 13:30:00,False,0.5%,0.5%,0.6%,0.0
2021-11-10 13:30:00,False,0.6%,0.4%,0.2%,0.2
2021-10-13 12:30:00,False,0.2%,0.2%,0.1%,0.0
2021-09-14 12:30:00,False,0.1%,0.3%,0.3%,-0.2
2021-08-11 12:30:00,False,0.3%,0.4%,0.9%,-0.1
2021-07-13 12:30:00,False,0.9%,0.4%,0.7%,0.5
2021-06-10 12:30:00,False,0.7%,0.4%,0.9%,0.3
2021-05-12 12:30:00,False,0.9%,0.3%,0.3%,0.6
2021-04-13 12:30:00,False,0.3%,0.2%,0.1%,0.1
2021-03-10 13:30:00,False,0.1%,0.2%,0.1%,-0.1
2021-02-10 13:30:00,False,0.0%,0.2%,0.1%,-0.2
2021-01-13 13:30:00,False,0.1%,0.1%,0.2%,0.0
2020-12-10 13:30:00,False,0.2%,0.1%,0.2%,0.1
2020-11-12 13:30:00,False,0.0%,0.2%,0.2%,-0.2
2020-10-13 12:30:00,False,0.2%,0.2%,0.4%,0.0
2020-09-11 12:30:00,False,0.4%,0.2%,0.6%,0.2
2020-08-12 12:30:00,False,0.6%,0.2%,0.2%,0.4
2020-07-14 12:30:00,False,0.2%,0.1%,-0.1%,0.1
2020-06-10 12:30:00,False,-0.1%,-0.1%,-0.4%,0.0
2020-05-12 12:30:00,False,-0.4%,-0.2%,-0.1%,-0.2
2020-04-10 12:30:00,False,-0.1%,0.1%,0.2%,-0.2
2020-03-11 12:30:00,False,0.2%,0.2%,0.2%,0.0
2020-02-13 13:30:00,False,0.2%,0.2%,0.1%,0.0
2020-01-14 13:30:00,False,0.1%,0.2%,0.2%,-0.1
2019-12-11 13:30:00,False,0.2%,0.2%,0.2%,0.0
2019-11-13 13:30:00,False,0.2%,0.2%,0.1%,0.0
2019-10-10 12:30:00,False,0.1%,0.2%,0.3%,-0.1
2019-09-12 12:30:00,False,0.3%,0.2%,0.3%,0.1
2019-08-13 12:30:00,False,0.3%,0.2%,0.3%,0.1
2019-07-11 12:30:00,False,0.3%,0.2%,0.1%,0.1
2019-06-12 12:30:00,False,0.1%,0.2%,0.1%,-0.1
2019-05-10 12:30:00,False,0.1%,0.2%,0.1%,-0.1
2019-04-10 12:30:00,False,0.1%,0.2%,0.1%,-0.1
2019-03-12 12:30:00,False,0.1%,0.2%,0.2%,-0.1
2019-02-13 13:30:00,False,0.2%,0.2%,0.2%,0.0
2019-01-11 13:30:00,False,0.2%,0.2%,0.2%,0.0
2018-12-12 13:30:00,False,0.2%,0.2%,0.2%,0.0
2018-11-14 13:30:00,False,0.2%,0.2%,0.1%,0.0
2018-10-11 12:30:00,False,0.1%,0.2%,0.1%,-0.1
2018-09-13 12:30:00,False,0.1%,0.2%,0.2%,-0.1
2018-08-10 12:30:00,False,0.2%,0.2%,0.2%,0.0
2018-07-12 12:30:00,False,0.2%,0.2%,0.2%,0.0
2018-06-12 12:30:00,False,0.2%,0.1%,0.1%,0.1
2018-05-10 12:30:00,False,0.1%,0.2%,0.2%,-0.1
2018-04-11 12:30:00,False,0.2%,0.2%,0.2%,0.0
2018-03-13 12:30:00,False,0.2%,0.2%,0.3%,0.0
2018-02-14 13:30:00,False,0.3%,0.2%,0.2%,0.1
2018-01-12 13:30:00,False,0.3%,0.2%,0.1%,0.1
2017-12-13 13:30:00,False,0.1%,0.2%,0.2%,-0.1
2017-11-15 13:30:00,False,0.2%,0.2%,0.1%,0.0
2017-10-13 12:30:00,False,0.1%,0.2%,0.2%,-0.1
2017-09-14 12:30:00,False,0.2%,0.2%,0.1%,0.0
2017-08-11 12:30:00,False,0.1%,0.2%,0.1%,-0.1
2017-07-14 12:30:00,False,0.1%,0.2%,0.1%,-0.1
2017-06-14 12:30:00,False,0.1%,0.2%,0.1%,-0.1
2017-05-12 12:30:00,False,0.1%,0.2%,-0.1%,-0.1
2017-04-14 12:30:00,False,-0.1%,0.2%,0.2%,-0.3
2017-03-15 12:30:00,False,0.2%,0.2%,0.3%,0.0
2017-02-15 13:30:00,False,0.3%,0.2%,0.2%,0.1
2017-01-18 13:30:00,False,0.2%,0.2%,0.2%,0.0
