,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-01-12 13:30:00,False,5.7%,5.7%,6.0%
1,2022-12-13 13:30:00,False,6.0%,6.1%,6.3%
2,2022-11-10 13:30:00,False,6.3%,6.5%,6.6%
3,2022-10-13 12:30:00,False,6.6%,6.5%,6.3%
4,2022-09-13 12:30:00,False,6.3%,6.1%,5.9%
5,2022-08-10 12:30:00,False,5.9%,6.1%,5.9%
6,2022-07-13 12:30:00,False,5.9%,5.7%,6.0%
7,2022-06-10 12:30:00,False,6.0%,5.9%,6.2%
8,2022-05-11 12:30:00,False,6.2%,6.0%,6.5%
9,2022-04-12 12:30:00,False,6.5%,6.6%,6.4%
10,2022-03-10 13:30:00,False,6.4%,5.9%,6.0%
11,2022-02-10 13:30:00,False,6.0%,5.9%,5.5%
12,2022-01-12 13:30:00,False,5.5%,5.4%,4.9%
13,2021-12-10 13:30:00,False,4.9%,4.9%,4.6%
14,2021-11-10 13:30:00,False,4.6%,4.3%,4.0%
15,2021-10-13 12:30:00,False,4.0%,4.0%,4.0%
16,2021-09-14 12:30:00,False,4.0%,4.2%,4.3%
17,2021-08-11 12:30:00,False,4.3%,4.3%,4.5%
18,2021-07-13 12:30:00,False,4.5%,4.0%,3.8%
19,2021-06-10 12:30:00,False,3.8%,3.4%,3.0%
20,2021-05-12 12:30:00,False,3.0%,2.3%,1.6%
21,2021-04-13 12:30:00,False,1.6%,1.5%,1.3%
22,2021-03-10 13:30:00,False,1.3%,1.4%,1.4%
23,2021-02-10 13:30:00,False,1.4%,1.5%,1.6%
24,2021-01-13 13:30:00,False,1.6%,1.6%,1.6%
25,2020-12-10 13:30:00,False,1.6%,1.6%,1.6%
26,2020-11-12 13:30:00,False,1.6%,1.8%,1.7%
27,2020-10-13 12:30:00,False,1.7%,1.8%,1.7%
28,2020-09-11 12:30:00,False,1.7%,1.6%,1.6%
29,2020-08-12 12:30:00,False,1.6%,1.1%,1.2%
30,2020-07-14 12:30:00,False,1.2%,1.1%,1.2%
31,2020-06-10 12:30:00,False,1.2%,1.3%,1.4%
32,2020-05-12 12:30:00,False,1.4%,1.7%,2.1%
33,2020-04-10 12:30:00,False,2.1%,2.3%,2.4%
34,2020-03-11 12:30:00,False,2.4%,2.3%,2.3%
35,2020-02-13 13:30:00,False,2.3%,2.2%,2.3%
36,2020-01-14 13:30:00,False,2.3%,2.3%,2.3%
37,2019-12-11 13:30:00,False,2.3%,2.3%,2.3%
38,2019-11-13 13:30:00,False,2.3%,2.4%,2.4%
39,2019-10-10 12:30:00,False,2.4%,2.4%,2.4%
40,2019-09-12 12:30:00,False,2.4%,2.3%,2.2%
41,2019-08-13 12:30:00,False,2.2%,2.1%,2.1%
42,2019-07-11 12:30:00,False,2.1%,2.0%,2.0%
43,2019-06-12 12:30:00,False,2.0%,2.1%,2.1%
44,2019-05-10 12:30:00,False,2.1%,2.1%,2.0%
45,2019-04-10 12:30:00,False,2.0%,2.1%,2.1%
46,2019-03-12 12:30:00,False,2.1%,2.2%,2.2%
47,2019-02-13 13:30:00,False,2.2%,2.1%,2.2%
48,2019-01-11 13:30:00,False,2.2%,2.2%,2.2%
49,2018-12-12 13:30:00,False,2.2%,2.2%,2.1%
50,2018-11-14 13:30:00,False,2.1%,2.2%,2.2%
51,2018-10-11 12:30:00,False,2.2%,2.3%,2.2%
52,2018-09-13 12:30:00,False,2.2%,2.4%,2.4%
53,2018-08-10 12:30:00,False,2.4%,2.3%,2.3%
54,2018-07-12 12:30:00,False,2.3%,2.3%,2.2%
55,2018-06-12 12:30:00,False,2.2%,2.2%,2.1%
56,2018-05-10 12:30:00,False,2.1%,2.2%,2.1%
57,2018-04-11 12:30:00,False,2.1%,2.1%,1.8%
58,2018-03-13 12:30:00,False,1.8%,1.8%,1.8%
59,2018-02-14 13:30:00,False,1.8%,1.7%,1.8%
60,2018-01-12 13:30:00,False,1.8%,1.7%,1.7%
61,2017-12-13 13:30:00,False,1.7%,1.8%,1.8%
62,2017-11-15 13:30:00,False,1.8%,1.7%,1.7%
63,2017-10-13 12:30:00,False,1.7%,1.8%,1.7%
64,2017-09-14 12:30:00,False,1.7%,1.6%,1.7%
65,2017-08-11 12:30:00,False,1.7%,1.7%,1.7%
66,2017-07-14 12:30:00,False,1.7%,1.7%,1.7%
67,2017-06-14 12:30:00,False,1.7%,1.9%,1.9%
68,2017-05-12 12:30:00,False,1.9%,2.0%,2.0%
69,2017-04-14 12:30:00,False,2.0%,2.3%,2.2%
70,2017-03-15 12:30:00,False,2.2%,2.2%,2.3%
71,2017-02-15 13:30:00,False,2.3%,2.1%,2.2%
72,2017-01-18 13:30:00,False,2.2%,2.2%,2.1%
