Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-02-14 13:30:00,False,299.17,298.66,296.80,0.51
2023-01-12 13:30:00,False,296.8,296.7,297.71,0.1
2022-12-13 13:30:00,False,297.71,298.05,298.01,-0.34
2022-11-10 13:30:00,False,298.01,298.58,296.81,-0.57
2022-10-13 12:30:00,False,296.81,296.43,296.17,0.38
2022-09-13 12:30:00,False,296.17,295.53,296.28,0.64
2022-08-10 12:30:00,False,296.28,296.67,296.31,-0.39
2022-07-13 12:30:00,False,296.31,295.67,292.3,0.64
2022-06-10 12:30:00,False,292.3,291.66,289.11,0.64
2022-05-11 12:30:00,False,289.11,288.65,287.5,0.46
2022-04-12 12:30:00,False,287.5,287.41,283.72,0.09
2022-03-10 13:30:00,False,283.72,283.66,281.15,0.06
2022-02-10 13:30:00,False,281.15,280.39,278.8,0.76
2022-01-12 13:30:00,False,278.8,278.74,277.95,0.06
2021-12-10 13:30:00,False,277.95,278.11,276.59,-0.16
2021-11-10 13:30:00,False,276.59,275.76,274.31,0.83
2021-10-13 12:30:00,False,274.31,274.14,273.57,0.17
2021-09-14 12:30:00,False,273.57,273.79,273.0,-0.22
2021-08-11 12:30:00,False,273.0,272.87,271.7,0.13
2021-07-13 12:30:00,False,271.7,270.64,269.2,1.06
2021-06-10 12:30:00,False,269.2,268.47,267.05,0.73
2021-05-12 12:30:00,False,267.05,265.58,264.88,1.47
2021-04-13 12:30:00,False,264.88,264.69,263.01,0.19
2021-03-10 13:30:00,False,263.01,263.08,261.58,-0.07
2021-02-10 13:30:00,False,261.58,261.79,260.47,-0.21
2021-01-13 13:30:00,False,260.47,260.43,260.23,0.04
2020-12-10 13:30:00,False,260.23,260.11,260.39,0.12
2020-11-12 13:30:00,False,260.39,260.49,260.28,-0.1
2020-10-13 12:30:00,False,260.28,260.35,259.92,-0.07
2020-09-11 12:30:00,False,259.92,259.52,259.1,0.4
2020-08-12 12:30:00,False,259.1,258.51,257.8,0.59
2020-07-14 12:30:00,False,257.8,257.73,256.39,0.07
2020-06-10 12:30:00,False,256.39,256.84,256.39,-0.45
2020-05-12 12:30:00,False,256.39,256.45,258.12,-0.06
2020-04-10 12:30:00,False,258.12,258.2,258.68,-0.08
2020-03-11 12:30:00,False,258.68,258.54,257.97,0.14
2020-02-13 13:30:00,False,257.97,257.86,256.97,0.11
2020-01-14 13:30:00,False,256.97,257.17,257.21,-0.2
2019-12-11 13:30:00,False,257.21,257.22,257.35,-0.01
2019-11-13 13:30:00,False,257.35,257.23,256.76,0.12
2019-10-10 12:30:00,False,256.76,256.86,256.56,-0.1
2019-09-12 12:30:00,False,256.56,256.58,256.57,-0.02
2019-08-13 12:30:00,False,256.57,256.44,256.14,0.13
2019-07-11 12:30:00,False,256.14,256.08,256.09,0.06
2019-06-12 12:30:00,False,256.09,256.2,255.55,-0.11
2019-05-10 12:30:00,False,255.55,255.82,254.2,-0.27
2019-04-10 12:30:00,False,254.2,254.12,252.78,0.08
2019-03-12 12:30:00,False,252.78,252.86,251.71,-0.08
2019-02-13 13:30:00,False,251.71,251.52,251.23,0.19
2019-01-11 13:30:00,False,251.23,251.1,252.04,0.13
2018-12-12 13:30:00,False,252.04,252.06,252.89,-0.02
2018-11-14 13:30:00,False,252.89,252.8,252.44,0.09
2018-10-11 12:30:00,False,252.44,252.69,252.15,-0.25
2018-09-13 12:30:00,False,252.15,252.4,252.01,-0.25
2018-08-10 12:30:00,False,252.01,251.98,251.99,0.03
2018-07-12 12:30:00,False,251.99,252.0,251.59,-0.01
2018-06-12 12:30:00,False,251.59,251.56,250.55,0.03
2018-05-10 12:30:00,False,250.55,250.68,249.55,-0.13
2018-04-11 12:30:00,False,249.55,249.58,248.99,-0.03
2018-03-13 12:30:00,False,248.99,248.94,247.87,0.05
2018-02-14 13:30:00,False,247.87,247.6,246.52,0.27
2018-01-12 13:30:00,False,246.52,246.38,246.67,0.14
2017-12-13 13:30:00,False,246.67,246.81,246.66,-0.14
2017-11-15 13:30:00,False,246.66,246.66,246.82,0.0
2017-10-13 12:30:00,False,246.82,246.94,245.52,-0.12
2017-09-14 12:30:00,False,245.52,245.34,244.79,0.18
2017-08-11 12:30:00,False,244.79,244.9,244.96,-0.11
2017-07-14 12:30:00,False,244.96,245.1,244.73,-0.14
2017-06-14 12:30:00,False,244.73,244.91,244.52,-0.18
2017-05-12 12:30:00,False,244.52,244.6,243.8,-0.08
2017-04-14 12:30:00,False,243.8,244.31,243.6,-0.51
2017-03-15 12:30:00,False,243.6,243.28,242.84,0.32
2017-02-15 13:30:00,False,242.84,242.47,241.43,0.37
2017-01-18 13:30:00,False,241.43,241.71,241.35,-0.28
