,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-01-18 14:15:00,False,-0.7%,-0.1%,-0.6%
1,2022-12-15 14:15:00,False,-0.2%,0.1%,-0.1%
2,2022-11-16 14:15:00,False,-0.1%,0.2%,0.1%
3,2022-10-18 13:15:00,False,0.4%,0.1%,-0.1%
4,2022-09-15 13:15:00,False,-0.2%,0.1%,0.5%
5,2022-08-16 13:15:00,False,0.6%,0.3%,-0.2%
6,2022-07-15 13:15:00,False,-0.2%,0.1%,0.1%
7,2022-06-17 13:15:00,False,0.2%,0.4%,1.4%
8,2022-05-17 13:15:00,False,1.1%,0.5%,0.9%
9,2022-04-15 13:15:00,False,0.9%,0.4%,0.9%
10,2022-03-17 13:15:00,False,0.5%,0.5%,1.4%
11,2022-02-16 14:15:00,False,1.4%,0.4%,-0.1%
12,2022-01-14 14:15:00,False,-0.1%,0.3%,0.7%
13,2021-12-16 14:15:00,False,0.5%,0.7%,1.7%
14,2021-11-16 14:15:00,False,1.6%,0.7%,-1.3%
15,2021-10-18 13:15:00,False,-1.3%,0.2%,-0.1%
16,2021-09-15 13:15:00,False,0.4%,0.4%,0.8%
17,2021-08-17 13:15:00,False,0.9%,0.5%,0.2%
18,2021-07-15 13:15:00,False,0.4%,0.6%,0.7%
19,2021-06-15 13:15:00,False,0.8%,0.6%,0.1%
20,2021-05-14 13:15:00,False,0.7%,1.0%,2.4%
21,2021-04-15 13:15:00,False,1.4%,2.8%,-2.6%
22,2021-03-16 13:15:00,False,-2.2%,0.3%,1.1%
23,2021-02-17 14:15:00,False,0.9%,0.5%,1.3%
24,2021-01-15 14:15:00,False,1.6%,0.5%,0.5%
25,2020-12-15 14:15:00,False,0.4%,0.3%,0.9%
26,2020-11-17 14:15:00,False,1.1%,1.0%,-0.4%
27,2020-10-16 13:15:00,False,-0.6%,0.5%,0.4%
28,2020-09-15 13:15:00,False,0.4%,1.0%,3.5%
29,2020-08-14 13:15:00,False,3.0%,3.0%,5.7%
30,2020-07-15 13:15:00,False,5.4%,4.3%,1.4%
31,2020-06-16 13:15:00,False,1.4%,2.9%,-12.5%
32,2020-05-15 13:15:00,False,-11.2%,-11.5%,-4.5%
33,2020-04-15 13:15:00,False,-5.4%,-4.0%,0.5%
34,2020-03-17 13:15:00,False,0.6%,0.4%,-0.5%
35,2020-02-14 14:15:00,False,-0.3%,-0.2%,-0.4%
36,2020-01-17 14:15:00,False,-0.3%,-0.2%,0.8%
37,2019-12-17 14:15:00,False,1.1%,0.8%,-0.9%
38,2019-11-15 14:15:00,False,-0.8%,-0.4%,-0.3%
39,2019-10-17 13:15:00,False,-0.4%,-0.1%,0.8%
40,2019-09-17 13:15:00,False,0.6%,0.2%,-0.1%
41,2019-08-15 13:15:00,False,-0.2%,0.1%,0.2%
42,2019-07-16 13:15:00,False,0.0%,0.1%,0.4%
43,2019-06-14 13:15:00,False,0.4%,0.2%,-0.4%
44,2019-05-15 13:15:00,False,-0.5%,0.0%,0.2%
45,2019-04-16 13:15:00,False,-0.1%,0.2%,0.1%
46,2019-03-15 13:15:00,False,0.1%,0.4%,-0.4%
47,2019-02-15 14:15:00,False,-0.6%,0.1%,0.1%
48,2019-01-18 14:15:00,False,0.3%,0.2%,0.4%
49,2018-12-14 14:15:00,False,0.6%,0.3%,-0.2%
50,2018-11-16 14:15:00,False,0.1%,0.2%,0.2%
51,2018-10-16 13:15:00,False,0.3%,0.2%,0.4%
52,2018-09-14 13:15:00,False,0.4%,0.3%,0.4%
53,2018-08-15 13:15:00,False,0.1%,0.3%,1.0%
54,2018-07-17 13:15:00,False,0.6%,0.5%,-0.5%
55,2018-06-15 13:15:00,False,-0.1%,0.2%,0.9%
56,2018-05-16 13:15:00,False,0.7%,0.5%,0.7%
57,2018-04-17 13:15:00,False,0.5%,0.3%,1.0%
58,2018-03-16 13:15:00,False,1.1%,0.3%,-0.3%
59,2018-02-15 14:15:00,False,-0.1%,0.2%,0.4%
60,2018-01-17 14:15:00,False,0.9%,0.4%,-0.1%
61,2017-12-15 14:15:00,False,0.2%,0.3%,1.2%
62,2017-11-16 14:15:00,False,0.9%,0.5%,0.4%
63,2017-10-17 13:15:00,False,0.3%,0.3%,-0.7%
64,2017-09-15 13:15:00,False,-0.9%,0.1%,0.4%
65,2017-08-17 12:45:00,False,0.2%,0.3%,0.4%
66,2017-07-14 13:15:00,False,0.4%,0.3%,0.1%
67,2017-06-15 13:15:00,False,0.0%,0.2%,1.1%
68,2017-05-16 13:15:00,False,1.0%,0.4%,0.4%
69,2017-04-18 13:15:00,False,0.5%,0.5%,0.1%
70,2017-03-17 13:15:00,False,0.0%,0.2%,-0.1%
71,2017-02-15 14:15:00,False,-0.3%,0.1%,0.6%
72,2017-01-18 14:15:00,False,0.8%,0.6%,-0.7%
