Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-01-18 14:15:00,False,-1.3%,-0.3%,-1.1%,-1.0
2022-12-15 14:15:00,False,-0.6%,-0.1%,0.3%,-0.5
2022-11-16 14:15:00,False,0.1%,0.2%,0.2%,-0.1
2022-10-18 13:15:00,False,0.4%,0.2%,0.4%,0.2
2022-09-15 13:15:00,False,0.1%,0.1%,0.6%,0.0
2022-08-16 13:15:00,False,0.7%,0.2%,-0.4%,0.5
2022-07-15 13:15:00,False,-0.5%,-0.1%,-0.5%,-0.4
2022-06-17 13:15:00,False,-0.1%,0.3%,0.8%,-0.4
2022-05-17 13:15:00,False,0.8%,0.4%,0.8%,0.4
2022-04-15 13:15:00,False,0.9%,0.6%,1.2%,0.3
2022-03-17 13:15:00,False,1.2%,0.6%,0.1%,0.6
2022-02-16 14:15:00,False,0.2%,0.3%,-0.1%,-0.1
2022-01-14 14:15:00,False,-0.3%,0.5%,0.6%,-0.8
2021-12-16 14:15:00,False,0.7%,0.7%,1.4%,0.0
2021-11-16 14:15:00,False,1.2%,0.7%,-0.7%,0.5
2021-10-18 13:15:00,False,-0.7%,0.1%,-0.4%,-0.8
2021-09-15 13:15:00,False,0.2%,0.4%,1.6%,-0.2
2021-08-17 13:15:00,False,1.4%,0.6%,-0.3%,0.8
2021-07-15 13:15:00,False,-0.1%,0.2%,0.9%,-0.3
2021-06-15 13:15:00,False,0.9%,0.6%,-0.1%,0.3
2021-05-14 13:15:00,False,0.4%,0.4%,3.1%,0.0
2021-04-15 13:15:00,False,2.7%,4.0%,-3.7%,-1.3
2021-03-16 13:15:00,False,-3.1%,-0.1%,1.2%,-3.0
2021-02-17 14:15:00,False,1.0%,0.7%,0.9%,0.3
2021-01-15 14:15:00,False,0.9%,0.5%,0.8%,0.4
2020-12-15 14:15:00,False,0.8%,0.3%,1.1%,0.5
2020-11-17 14:15:00,False,1.0%,1.0%,0.1%,0.0
2020-10-16 13:15:00,False,-0.3%,0.7%,1.2%,-1.0
2020-09-15 13:15:00,False,1.0%,1.2%,3.9%,-0.2
2020-08-14 13:15:00,False,3.4%,3.0%,7.4%,0.4
2020-07-15 13:15:00,False,7.2%,5.6%,3.8%,1.6
2020-06-16 13:15:00,False,3.8%,4.6%,-15.5%,-0.8
2020-05-15 13:15:00,False,-13.7%,-13.0%,-5.5%,-0.7
2020-04-15 13:15:00,False,-6.3%,-3.2%,-0.1%,-3.1
2020-03-17 13:15:00,False,0.1%,0.3%,-0.2%,-0.2
2020-02-14 14:15:00,False,-0.1%,-0.1%,0.1%,0.0
2020-01-17 14:15:00,False,0.2%,-0.2%,1.0%,0.4
2019-12-17 14:15:00,False,1.1%,0.7%,-0.7%,0.4
2019-11-15 14:15:00,False,-0.6%,-0.6%,-0.5%,0.0
2019-10-17 13:15:00,False,-0.5%,-0.2%,0.6%,-0.3
2019-09-17 13:15:00,False,0.5%,0.2%,-0.4%,0.3
2019-08-15 13:15:00,False,-0.4%,-0.1%,0.6%,-0.3
2019-07-16 13:15:00,False,0.4%,0.2%,0.2%,0.2
2019-06-14 13:15:00,False,0.2%,0.1%,-0.5%,0.1
2019-05-15 13:15:00,False,-0.5%,0.1%,-0.3%,-0.6
2019-04-16 13:15:00,False,0.0%,0.1%,-0.3%,-0.1
2019-03-15 13:15:00,False,-0.4%,0.3%,-0.5%,-0.7
2019-02-15 14:15:00,False,-0.9%,0.1%,0.8%,-1.0
2019-01-18 14:15:00,False,1.1%,0.3%,0.1%,0.8
2018-12-14 14:15:00,False,0.0%,0.3%,-0.1%,-0.3
2018-11-16 14:15:00,False,0.3%,0.2%,0.3%,0.1
2018-10-16 13:15:00,False,0.2%,0.2%,0.3%,0.0
2018-09-14 13:15:00,False,0.2%,0.3%,0.3%,-0.1
2018-08-15 13:15:00,False,0.3%,0.3%,0.8%,0.0
2018-07-17 13:15:00,False,0.8%,0.7%,-1.0%,0.1
2018-06-15 13:15:00,False,-0.7%,0.1%,0.6%,-0.8
2018-05-16 13:15:00,False,0.5%,0.5%,0.1%,0.0
2018-04-17 13:15:00,False,0.1%,0.1%,1.5%,0.0
2018-03-16 13:15:00,False,1.2%,0.5%,-0.2%,0.7
2018-02-15 14:15:00,False,0.0%,0.3%,0.1%,-0.3
2018-01-17 14:15:00,False,0.1%,0.3%,0.3%,-0.2
2017-12-15 14:15:00,False,0.2%,0.3%,1.4%,-0.1
2017-11-16 14:15:00,False,1.3%,0.6%,0.4%,0.7
2017-10-17 13:15:00,False,0.1%,0.1%,-0.2%,0.0
2017-09-15 13:15:00,False,-0.3%,0.3%,-0.1%,-0.6
2017-08-17 12:45:00,False,-0.1%,0.2%,0.2%,-0.3
2017-07-14 13:15:00,False,0.2%,0.2%,-0.4%,0.0
2017-06-15 13:15:00,False,-0.4%,0.1%,1.1%,-0.5
2017-05-16 13:15:00,False,1.0%,0.3%,-0.4%,0.7
2017-04-18 13:15:00,False,-0.4%,0.1%,0.3%,-0.5
2017-03-17 13:15:00,False,0.5%,0.4%,0.5%,0.1
2017-02-15 14:15:00,False,0.2%,0.2%,0.2%,0.0
2017-01-18 14:15:00,False,0.2%,0.4%,-0.1%,-0.2
