Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-02-23 13:30:00,True,2.7%,2.9%,3.2%,-0.2
2023-01-26 13:30:00,True,2.9%,2.6%,3.2%,0.3
2022-12-22 13:30:00,False,3.2%,2.9%,-0.6%,0.3
2022-11-30 13:30:00,True,2.9%,2.7%,2.6%,0.2
2022-10-27 12:30:00,True,2.6%,2.4%,-0.6%,0.2
2022-09-29 12:30:00,False,-0.6%,-0.6%,-1.6%,0.0
2022-08-25 12:30:00,True,-0.6%,-0.8%,-0.9%,0.2
2022-07-28 12:30:00,True,-0.9%,0.5%,-1.6%,-1.4
2022-06-29 12:30:00,False,-1.6%,-1.5%,-1.5%,-0.1
2022-05-26 12:30:00,True,-1.5%,-1.3%,-1.4%,-0.2
2022-04-28 12:30:00,True,-1.4%,1.1%,6.9%,-2.5
2022-03-30 12:30:00,False,6.9%,7.1%,7.0%,-0.2
2022-02-24 13:30:00,True,7.0%,7.0%,6.9%,0.0
2022-01-27 13:30:00,True,6.9%,5.5%,2.3%,1.4
2021-12-22 13:30:00,False,2.3%,2.1%,2.1%,0.2
2021-11-24 13:30:00,True,2.1%,2.2%,2.0%,-0.1
2021-10-28 12:30:00,True,2.0%,2.7%,6.7%,-0.7
2021-09-30 12:30:00,False,6.7%,6.6%,6.6%,0.1
2021-08-26 12:30:00,True,6.6%,6.7%,6.5%,-0.1
2021-07-29 12:30:00,True,6.5%,8.5%,6.4%,-2.0
2021-06-24 12:30:00,False,6.4%,6.4%,6.4%,0.0
2021-05-27 12:30:00,True,6.4%,6.5%,6.4%,-0.1
2021-04-29 12:30:00,True,6.4%,6.1%,4.3%,0.3
2021-03-25 12:30:00,False,4.3%,4.1%,4.1%,0.2
2021-02-25 13:30:00,True,4.1%,4.2%,4.0%,-0.1
2021-01-28 13:30:00,True,4.0%,4.0%,33.4%,0.0
2020-12-22 13:30:00,False,33.4%,33.1%,33.1%,0.3
2020-11-25 13:30:00,True,33.1%,33.2%,33.1%,-0.1
2020-10-29 12:30:00,True,33.1%,31.0%,-31.4%,2.1
2020-09-30 12:30:00,False,-31.4%,-31.7%,-31.7%,0.3
2020-08-27 12:30:00,True,-31.7%,-32.5%,-32.9%,0.8
2020-07-30 12:30:00,True,-32.9%,-34.1%,-5.0%,1.2
2020-06-25 12:30:00,False,-5.0%,-5.0%,-5.0%,0.0
2020-05-28 12:30:00,True,-5.0%,-4.8%,-4.8%,-0.2
2020-04-29 12:30:00,True,-4.8%,-4.0%,2.1%,-0.8
2020-03-26 12:30:00,False,2.1%,2.1%,2.1%,0.0
2020-02-27 13:30:00,True,2.1%,2.1%,2.1%,0.0
2020-01-30 13:30:00,True,2.1%,2.1%,2.1%,0.0
2019-12-20 13:30:00,False,2.1%,2.1%,2.1%,0.0
2019-11-27 13:30:00,True,2.1%,1.9%,1.9%,0.2
2019-10-30 12:30:00,True,1.9%,1.6%,2.0%,0.3
2019-09-26 12:30:00,False,2.0%,2.0%,2.0%,0.0
2019-08-29 12:30:00,True,2.0%,2.0%,2.1%,0.0
2019-07-26 12:30:00,True,2.1%,1.8%,3.1%,0.3
2019-06-27 12:30:00,False,3.1%,3.1%,3.1%,0.0
2019-05-30 12:30:00,True,3.1%,3.1%,2.2%,0.0
2019-04-26 12:30:00,True,3.2%,2.0%,2.2%,1.2
2019-03-28 12:30:00,False,2.2%,2.4%,2.6%,-0.2
2019-02-28 13:30:00,True,2.6%,2.6%,3.4%,0.0
2018-12-21 13:30:00,False,3.4%,3.5%,3.5%,-0.1
2018-11-28 13:30:00,True,3.5%,3.6%,4.2%,-0.1
2018-10-26 12:30:00,True,3.5%,3.3%,4.2%,0.2
2018-09-27 12:30:00,False,4.2%,4.2%,4.2%,0.0
2018-08-29 12:30:00,True,4.2%,4.0%,2.0%,0.2
2018-07-27 12:30:00,True,4.1%,4.1%,2.2%,0.0
2018-06-28 12:30:00,False,2.0%,2.2%,2.2%,-0.2
2018-05-30 12:30:00,True,2.2%,2.3%,2.3%,-0.1
2018-04-27 12:30:00,True,2.3%,2.0%,2.3%,0.3
2018-03-28 12:30:00,False,2.9%,2.7%,2.5%,0.2
2018-02-28 13:30:00,True,2.5%,2.5%,2.6%,0.0
2018-01-26 13:30:00,True,2.6%,3.0%,3.2%,-0.4
2017-12-21 13:30:00,False,3.2%,3.3%,3.3%,-0.1
2017-11-29 13:30:00,True,3.3%,3.2%,3.0%,0.1
2017-10-27 12:30:00,True,3.0%,2.5%,3.1%,0.5
2017-09-28 12:30:00,False,3.1%,3.0%,3.0%,0.1
2017-08-30 12:30:00,True,3.0%,2.7%,2.6%,0.3
2017-07-28 12:30:00,True,2.6%,2.6%,1.2%,0.0
2017-06-29 12:30:00,False,1.4%,1.2%,1.2%,0.2
2017-05-26 12:30:00,True,1.2%,0.9%,0.7%,0.3
2017-04-28 12:30:00,True,0.7%,1.2%,2.1%,-0.5
2017-03-30 12:30:00,False,2.1%,2.0%,1.9%,0.1
2017-02-28 13:30:00,True,1.9%,2.1%,1.9%,-0.2
2017-01-27 13:30:00,True,1.9%,2.2%,3.5%,-0.3
