Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-01-27 13:30:00,False,-0.2%,-0.1%,-0.1%,-0.1
2022-12-23 13:30:00,False,0.1%,0.2%,0.9%,-0.1
2022-12-01 13:30:00,False,0.8%,0.8%,0.6%,0.0
2022-10-28 12:30:00,False,0.6%,0.4%,0.6%,0.2
2022-09-30 12:30:00,False,0.4%,0.2%,-0.2%,0.2
2022-08-26 12:30:00,False,0.1%,0.4%,1.0%,-0.3
2022-07-29 12:30:00,False,1.1%,0.9%,0.3%,0.2
2022-06-30 12:30:00,False,0.2%,0.4%,0.6%,-0.2
2022-05-27 12:30:00,False,0.9%,0.7%,1.4%,0.2
2022-04-29 12:30:00,False,1.1%,0.7%,0.6%,0.4
2022-03-31 12:30:00,False,0.2%,0.5%,2.7%,-0.3
2022-02-25 13:30:00,False,2.1%,1.5%,-0.8%,0.6
2022-01-28 13:30:00,False,-0.6%,-0.6%,0.4%,0.0
2021-12-23 13:30:00,False,0.6%,0.6%,1.4%,0.0
2021-11-24 15:00:00,False,1.3%,1.0%,0.6%,0.3
2021-10-29 12:30:00,False,0.6%,0.5%,1.0%,0.1
2021-10-01 12:30:00,False,0.8%,0.6%,-0.1%,0.2
2021-08-27 12:30:00,False,0.3%,0.3%,1.1%,0.0
2021-07-30 12:30:00,False,1.0%,0.7%,-0.1%,0.3
2021-06-25 12:30:00,False,0.0%,0.4%,0.9%,-0.4
2021-05-28 12:30:00,False,0.5%,0.5%,4.7%,0.0
2021-04-30 12:30:00,False,4.2%,4.1%,-1.0%,0.1
2021-03-26 13:30:00,False,-1.0%,-0.7%,3.4%,-0.3
2021-02-26 13:30:00,False,2.4%,2.5%,-0.4%,-0.1
2021-01-29 13:30:00,False,-0.2%,-0.4%,-0.7%,0.2
2020-12-23 13:30:00,False,-0.4%,-0.2%,0.3%,-0.2
2020-11-25 15:00:00,False,0.5%,0.4%,1.2%,0.1
2020-10-30 12:30:00,False,1.4%,1.0%,1.0%,0.4
2020-10-01 12:30:00,False,1.0%,0.8%,1.5%,0.2
2020-08-28 12:30:00,False,1.9%,1.5%,6.2%,0.4
2020-07-31 12:30:00,False,5.6%,5.5%,8.5%,0.1
2020-06-26 12:30:00,False,8.2%,9.0%,-12.6%,-0.8
2020-05-29 12:30:00,False,-13.6%,-12.6%,-6.9%,-1.0
2020-04-30 12:30:00,False,-7.5%,-5.0%,0.2%,-2.5
2020-03-27 12:30:00,False,0.2%,0.2%,0.2%,0.0
2020-02-28 13:30:00,False,0.2%,0.3%,0.4%,-0.1
2020-01-31 13:30:00,False,0.3%,0.3%,0.4%,0.0
2019-12-20 15:00:00,False,0.4%,0.4%,0.3%,0.0
2019-11-27 15:00:00,False,0.3%,0.3%,0.2%,0.0
2019-10-31 12:30:00,False,0.2%,0.2%,0.2%,0.0
2019-09-27 12:30:00,False,0.1%,0.3%,0.5%,-0.2
2019-08-30 12:30:00,False,0.6%,0.5%,0.3%,0.1
2019-07-30 12:30:00,False,0.3%,0.3%,0.5%,0.0
2019-06-28 12:30:00,False,0.4%,0.4%,0.6%,0.0
2019-05-31 12:30:00,False,0.3%,0.2%,1.1%,0.1
2019-04-29 12:30:00,False,0.9%,0.7%,0.1%,0.2
2019-04-29 12:30:00,False,0.9%,0.2%,0.1%,0.7
2019-03-29 12:30:00,False,0.1%,0.3%,-0.6%,-0.2
2019-03-01 13:30:00,False,-0.5%,-0.2%,0.6%,-0.3
2018-12-21 15:00:00,False,0.4%,0.3%,0.8%,0.1
2018-11-29 13:30:00,False,0.6%,0.4%,0.2%,0.2
2018-10-29 12:30:00,False,0.4%,0.4%,0.5%,0.0
2018-09-28 12:30:00,False,0.3%,0.3%,0.4%,0.0
2018-08-30 12:30:00,False,0.4%,0.4%,0.4%,0.0
2018-07-31 12:30:00,False,0.4%,0.4%,0.5%,0.0
2018-06-29 12:30:00,False,0.2%,0.4%,0.5%,-0.2
2018-05-31 12:30:00,False,0.6%,0.4%,0.5%,0.2
2018-04-30 12:30:00,False,0.4%,0.4%,0.2%,0.0
2018-03-29 12:30:00,False,0.2%,0.2%,0.2%,0.0
2018-03-01 13:30:00,False,0.2%,0.2%,0.4%,0.0
2018-01-29 13:30:00,False,0.4%,0.5%,0.8%,-0.1
2017-12-22 13:30:00,False,0.6%,0.5%,0.2%,0.1
2017-11-30 13:30:00,False,0.3%,0.3%,0.9%,0.0
2017-10-30 12:30:00,False,1.0%,0.8%,0.1%,0.2
2017-09-29 12:30:00,False,0.1%,0.1%,0.3%,0.0
2017-08-31 12:30:00,False,0.3%,0.4%,0.2%,-0.1
2017-08-01 12:30:00,False,0.1%,0.1%,0.2%,0.0
2017-06-30 12:30:00,False,0.1%,0.1%,0.4%,0.0
2017-05-30 12:30:00,False,0.4%,0.4%,0.3%,0.0
2017-05-01 12:30:00,False,0.0%,0.2%,0.1%,-0.2
2017-03-31 12:30:00,False,0.1%,0.2%,0.2%,-0.1
2017-03-01 13:30:00,False,0.2%,0.3%,0.5%,-0.1
2017-01-30 13:30:00,False,0.5%,0.5%,0.2%,0.0
