,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-01-27 13:30:00,False,0.2%,0.2%,0.3%
1,2022-12-23 13:30:00,False,0.4%,0.3%,0.7%
2,2022-12-01 13:30:00,False,0.7%,0.4%,0.4%
3,2022-10-28 12:30:00,False,0.4%,0.3%,0.4%
4,2022-09-30 12:30:00,False,0.3%,0.3%,0.3%
5,2022-08-26 12:30:00,False,0.2%,0.6%,0.7%
6,2022-07-29 12:30:00,False,0.6%,0.5%,0.6%
7,2022-06-30 12:30:00,False,0.5%,0.5%,0.5%
8,2022-05-27 12:30:00,False,0.4%,0.5%,0.5%
9,2022-04-29 12:30:00,False,0.5%,0.4%,0.7%
10,2022-03-31 12:30:00,False,0.5%,0.5%,0.1%
11,2022-02-25 13:30:00,False,0.0%,-0.3%,0.4%
12,2022-01-28 13:30:00,False,0.3%,0.5%,0.5%
13,2021-12-23 13:30:00,False,0.4%,0.4%,0.5%
14,2021-11-24 15:00:00,False,0.5%,0.2%,-1.0%
15,2021-10-29 12:30:00,False,-1.0%,-0.2%,0.2%
16,2021-10-01 12:30:00,False,0.2%,0.3%,1.1%
17,2021-08-27 12:30:00,False,1.1%,0.2%,0.2%
18,2021-07-30 12:30:00,False,0.1%,-0.3%,-2.2%
19,2021-06-25 12:30:00,False,-2.0%,-2.5%,-13.1%
20,2021-05-28 12:30:00,False,-13.1%,-14.1%,20.9%
21,2021-04-30 12:30:00,False,21.1%,20.3%,-7.0%
22,2021-03-26 13:30:00,False,-7.1%,-7.3%,10.1%
23,2021-02-26 13:30:00,False,10.0%,9.5%,0.6%
24,2021-01-29 13:30:00,False,0.6%,0.1%,-1.3%
25,2020-12-23 13:30:00,False,-1.1%,-0.3%,-0.6%
26,2020-11-25 15:00:00,False,-0.7%,0.1%,0.7%
27,2020-10-30 12:30:00,False,0.9%,0.4%,-2.5%
28,2020-10-01 12:30:00,False,-2.7%,-2.4%,0.5%
29,2020-08-28 12:30:00,False,0.4%,-0.2%,-1.0%
30,2020-07-31 12:30:00,False,-1.1%,-0.5%,-4.4%
31,2020-06-26 12:30:00,False,-4.2%,-6.0%,10.8%
32,2020-05-29 12:30:00,False,10.5%,-6.5%,-2.2%
33,2020-04-30 12:30:00,False,-2.0%,-1.5%,0.6%
34,2020-03-27 12:30:00,False,0.6%,0.4%,0.6%
35,2020-02-28 13:30:00,False,0.6%,0.3%,0.1%
36,2020-01-31 13:30:00,False,0.2%,0.3%,0.4%
37,2019-12-20 15:00:00,False,0.5%,0.3%,0.1%
38,2019-11-27 15:00:00,False,0.0%,0.3%,0.3%
39,2019-10-31 12:30:00,False,0.3%,0.3%,0.5%
40,2019-09-27 12:30:00,False,0.4%,0.4%,0.1%
41,2019-08-30 12:30:00,False,0.1%,0.3%,0.5%
42,2019-07-30 12:30:00,False,0.4%,0.4%,0.4%
43,2019-06-28 12:30:00,False,0.5%,0.3%,0.5%
44,2019-05-31 12:30:00,False,0.5%,0.3%,0.1%
45,2019-04-29 12:30:00,False,0.1%,0.4%,0.2%
46,2019-03-29 12:30:00,False,0.2%,0.3%,-0.1%
47,2019-03-01 13:30:00,False,1.0%,0.5%,0.2%
48,2019-03-01 13:30:00,False,-0.1%,0.3%,1.0%
49,2018-12-21 15:00:00,False,0.2%,0.3%,0.5%
50,2018-11-29 13:30:00,False,0.5%,0.4%,0.2%
51,2018-10-29 12:30:00,False,0.2%,0.4%,0.4%
52,2018-09-28 12:30:00,False,0.3%,0.4%,0.3%
53,2018-08-30 12:30:00,False,0.3%,0.3%,0.4%
54,2018-07-31 12:30:00,False,0.4%,0.4%,0.4%
55,2018-06-29 12:30:00,False,0.4%,0.4%,0.2%
56,2018-05-31 12:30:00,False,0.3%,0.3%,0.2%
57,2018-04-30 12:30:00,False,0.3%,0.4%,0.3%
58,2018-03-29 12:30:00,False,0.4%,0.4%,0.4%
59,2018-03-01 13:30:00,False,0.4%,0.3%,0.4%
60,2018-01-29 13:30:00,False,0.4%,0.3%,0.3%
61,2017-12-22 13:30:00,False,0.3%,0.4%,0.4%
62,2017-11-30 13:30:00,False,0.4%,0.3%,0.4%
63,2017-10-30 12:30:00,False,0.4%,0.4%,0.2%
64,2017-09-29 12:30:00,False,0.2%,0.2%,0.3%
65,2017-08-31 12:30:00,False,0.4%,0.3%,0.0%
66,2017-08-01 12:30:00,False,0.0%,0.4%,0.3%
67,2017-06-30 12:30:00,False,0.4%,0.3%,0.3%
68,2017-05-30 12:30:00,False,0.4%,0.4%,0.2%
69,2017-05-01 12:30:00,False,0.2%,0.3%,0.3%
70,2017-03-31 12:30:00,False,0.4%,0.4%,0.5%
71,2017-03-01 13:30:00,False,0.4%,0.3%,0.3%
72,2017-01-30 13:30:00,False,0.3%,0.4%,0.1%
