,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-01-27 13:30:00,False,-0.3%, ,-0.2%
1,2022-12-23 13:30:00,False,0.0%, ,0.5%
2,2022-12-01 13:30:00,False,0.5%, ,0.3%
3,2022-10-28 12:30:00,False,0.3%, ,0.3%
4,2022-09-30 12:30:00,False,0.1%, ,-0.1%
5,2022-08-26 12:30:00,False,0.2%, ,0.1%
6,2022-07-29 12:30:00,False,0.1%, ,-0.3%
7,2022-06-30 12:30:00,False,-0.4%, ,0.3%
8,2022-05-27 12:30:00,False,0.7%, ,0.5%
9,2022-04-29 12:30:00,False,0.2%, ,0.1%
10,2022-03-31 12:30:00,False,-0.4%, ,2.1%
11,2022-02-25 13:30:00,False,1.5%, ,-1.3%
12,2022-01-28 13:30:00,False,-1.0%, ,-0.2%
13,2021-12-23 13:30:00,False,0.0%, ,0.7%
14,2021-11-24 15:00:00,False,0.7%, ,0.3%
15,2021-10-29 12:30:00,False,0.3%, ,0.6%
16,2021-10-01 12:30:00,False,0.4%, ,-0.5%
17,2021-08-27 12:30:00,False,-0.1%, ,0.5%
18,2021-07-30 12:30:00,False,0.5%, ,-0.6%
19,2021-06-25 12:30:00,False,-0.4%, ,0.3%
20,2021-05-28 12:30:00,False,-0.1%, ,4.1%
21,2021-04-30 12:30:00,False,3.6%, ,-1.2%
22,2021-03-26 13:30:00,False,-1.2%, ,3.0%
23,2021-02-26 13:30:00,False,2.0%, ,-0.8%
24,2021-01-29 13:30:00,False,-0.6%, ,-0.7%
25,2020-12-23 13:30:00,False,-0.4%, ,0.3%
26,2020-11-25 15:00:00,False,0.5%, ,1.1%
27,2020-10-30 12:30:00,False,1.2%, ,0.7%
28,2020-10-01 12:30:00,False,0.7%, ,1.1%
29,2020-08-28 12:30:00,False,1.6%, ,5.7%
30,2020-07-31 12:30:00,False,5.2%, ,8.4%
31,2020-06-26 12:30:00,False,8.1%, ,-12.2%
32,2020-05-29 12:30:00,False,-13.2%, ,-6.7%
33,2020-04-30 12:30:00,False,-7.3%, ,0.1%
34,2020-03-27 12:30:00,False,0.1%, ,0.1%
35,2020-02-28 13:30:00,False,0.1%, ,0.1%
36,2020-01-31 13:30:00,False,0.1%, ,0.3%
37,2019-12-20 15:00:00,False,0.3%, ,0.1%
38,2019-11-27 15:00:00,False,0.1%, ,0.2%
39,2019-10-31 12:30:00,False,0.2%, ,0.2%
40,2019-09-27 12:30:00,False,0.1%, ,0.3%
41,2019-08-30 12:30:00,False,0.4%, ,0.2%
42,2019-07-30 12:30:00,False,0.2%,0.2%,0.3%
43,2019-06-28 12:30:00,False,0.2%, ,0.2%
44,2019-05-31 12:30:00,False,0.0%, ,0.9%
45,2019-04-29 12:30:00,False,0.7%, ,0.4%
46,2019-03-29 12:30:00,False,0.1%, ,-0.6%
47,2019-03-01 13:30:00,False,-0.6%, ,0.5%
48,2018-12-21 15:00:00,False,0.3%, ,0.6%
49,2018-11-29 13:30:00,False,0.4%, ,0.1%
50,2018-10-29 12:30:00,False,0.3%, ,0.4%
51,2018-09-28 12:30:00,False,0.2%, ,0.3%
52,2018-08-30 12:30:00,False,0.2%, ,0.3%
53,2018-07-31 12:30:00,False,0.3%,0.4%,0.3%
54,2018-06-29 12:30:00,False,0.0%, ,0.3%
55,2018-05-31 12:30:00,False,0.4%, ,0.5%
56,2018-04-30 12:30:00,False,0.4%,0.5%,-0.2%
57,2018-03-29 12:30:00,False,0.0%,0.1%,-0.2%
58,2018-03-01 13:30:00,False,-0.1%,-0.1%,0.2%
59,2018-01-29 13:30:00,False,0.3%,0.4%,0.5%
60,2017-12-22 13:30:00,False,0.4%,0.2%,0.1%
61,2017-11-30 13:30:00,False,0.1%,0.2%,0.5%
62,2017-10-30 12:30:00,False,0.6%,0.5%,-0.1%
63,2017-09-29 12:30:00,False,-0.1%,-0.2%,0.2%
64,2017-08-31 12:30:00,False,0.2%,0.3%,0.2%
65,2017-08-01 12:30:00,False,0.0%,0.1%,0.2%
66,2017-06-30 12:30:00,False,0.1%,0.2%,0.2%
67,2017-05-30 12:30:00,False,0.2%,0.2%,0.5%
68,2017-05-01 12:30:00,False,0.3%, ,-0.1%
69,2017-03-31 12:30:00,False,-0.1%,0.2%,-0.2%
70,2017-03-01 13:30:00,False,-0.3%,0.0%,0.3%
71,2017-01-30 13:30:00,False,0.3%,0.3%,0.2%
