Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-02-10 15:00:00,True, ,65.0,64.9,
2023-01-27 15:00:00,False,64.9,64.6,59.7,0.3
2023-01-13 15:00:00,True,64.6,60.5,59.7,4.1
2022-12-23 15:00:00,False,59.7,59.1,59.1,0.6
2022-12-09 15:00:00,True,59.1,56.9,56.8,2.2
2022-11-23 15:00:00,False,56.8,55.0,54.7,1.8
2022-11-11 15:00:00,True,54.7,59.5,59.9,-4.8
2022-10-28 14:00:00,True,59.9,59.8,59.8,0.1
2022-10-14 14:00:00,True,59.8,59.0,58.6,0.8
2022-09-30 14:00:00,False,58.6,59.5,59.5,-0.9
2022-09-16 14:00:00,True,59.5,60.0,58.2,-0.5
2022-08-26 14:00:00,False,58.2,55.1,51.5,3.1
2022-08-12 14:00:00,True,55.1,52.5,51.5,2.6
2022-07-29 14:00:00,False,51.5,51.1,50.0,0.4
2022-07-15 14:00:00,True,51.1,49.9,50.0,1.2
2022-06-24 14:00:00,False,50.0,50.2,50.2,-0.2
2022-06-10 14:00:00,True,50.2,58.0,58.4,-7.8
2022-05-27 14:00:00,False,58.4,59.1,65.2,-0.7
2022-05-13 14:00:00,True,59.1,64.0,65.2,-4.9
2022-04-29 14:00:00,False,65.2,65.7,59.4,-0.5
2022-04-14 14:00:00,True,65.7,59.0,59.4,6.7
2022-03-25 14:00:00,False,59.4,59.7,62.8,-0.3
2022-03-11 15:00:00,True,59.7,61.4,62.8,-1.7
2022-02-25 15:00:00,False,62.8,61.7,67.2,1.1
2022-02-11 15:00:00,True,61.7,67.5,67.2,-5.8
2022-01-28 15:00:00,False,67.2,68.7,70.6,-1.5
2022-01-14 15:00:00,True,68.8,70.0,70.6,-1.2
2021-12-23 15:00:00,False,70.6,70.4,67.4,0.2
2021-12-10 15:00:00,True,70.4,67.1,67.4,3.3
2021-11-24 15:00:00,False,67.4,66.8,71.7,0.6
2021-11-12 15:00:00,True,66.8,72.4,71.7,-5.6
2021-10-29 14:00:00,False,71.7,71.4,71.4,0.3
2021-10-15 14:00:00,True,71.4,73.1,72.8,-1.7
2021-10-01 14:00:00,False,72.8,71.0,70.3,1.8
2021-09-17 14:00:00,False,71.0,72.0,70.3,-1.0
2021-08-27 14:00:00,True,70.3,70.7,70.2,-0.4
2021-08-13 14:00:00,True,70.2,81.2,81.2,-11.0
2021-07-30 14:00:00,False,81.2,80.8,85.5,0.4
2021-07-16 14:00:00,True,80.8,86.5,85.5,-5.7
2021-06-25 14:00:00,False,85.5,86.4,82.9,-0.9
2021-06-11 14:00:00,True,86.4,84.0,82.9,2.4
2021-05-28 14:00:00,False,82.9,82.8,88.3,0.1
2021-05-14 14:00:00,True,82.8,90.4,88.3,-7.6
2021-04-30 14:00:00,False,88.3,87.4,86.5,0.9
2021-04-16 14:00:00,True,86.5,89.6,84.9,-3.1
2021-03-26 14:00:00,True,84.9,83.6,83.0,1.3
2021-03-12 15:00:00,True,83.0,78.5,76.8,4.5
2021-02-26 15:00:00,False,76.8,76.5,79.0,0.3
2021-02-12 15:00:00,True,76.2,80.8,79.0,-4.6
2021-01-29 15:00:00,True,79.0,79.2,79.2,-0.2
2021-01-15 15:00:00,True,79.2,80.0,80.7,-0.8
2020-12-23 15:00:00,False,80.7,81.3,76.9,-0.6
2020-12-11 15:00:00,True,81.4,76.5,76.9,4.9
2020-11-25 15:00:00,False,76.9,77.0,81.8,-0.1
2020-11-13 15:00:00,True,77.0,82.0,81.8,-5.0
2020-10-30 14:00:00,False,81.8,81.2,80.4,0.6
2020-10-16 14:00:00,True,81.2,80.5,80.4,0.7
2020-10-02 14:00:00,False,80.4,79.0,74.1,1.4
2020-09-18 14:00:00,True,78.9,75.0,74.1,3.9
2020-08-28 14:00:00,False,74.1,72.8,72.5,1.3
2020-08-14 14:00:00,True,72.8,72.0,72.5,0.8
2020-07-31 14:00:00,False,72.5,73.0,73.2,-0.5
2020-07-17 14:00:00,True,73.2,79.0,78.1,-5.8
2020-06-26 14:00:00,False,78.1,79.0,72.3,-0.9
2020-06-12 14:00:00,True,78.9,75.0,72.3,3.9
2020-05-29 14:00:00,False,72.3,74.0,71.8,-1.7
2020-05-15 14:00:00,True,73.7,68.0,71.8,5.7
2020-04-24 14:00:00,False,71.8,68.0,89.1,3.8
2020-04-09 14:00:00,True,71.0,75.0,89.1,-4.0
2020-03-27 14:00:00,False,89.1,90.0,95.9,-0.9
2020-03-13 14:00:00,True,95.9,95.0,101.0,0.9
2020-02-28 15:00:00,False,101.0,100.9,99.8,0.1
2020-02-14 15:00:00,True,100.9,99.5,99.8,1.4
2020-01-31 15:00:00,False,99.8,99.1,99.3,0.7
2020-01-17 15:00:00,True,99.1,99.3,99.3,-0.2
2019-12-20 15:00:00,False,99.3,99.2,96.8,0.1
2019-12-06 15:00:00,True,99.2,97.0,96.8,2.2
2019-11-22 15:00:00,False,96.8,95.7,95.5,1.1
2019-11-08 15:00:00,True,95.7,95.9,95.5,-0.2
2019-10-25 14:00:00,False,95.5,96.0,93.2,-0.5
2019-10-11 14:00:00,True,96.0,92.0,93.2,4.0
2019-09-27 14:00:00,False,93.2,92.0,89.8,1.2
2019-09-13 14:00:00,True,92.0,90.9,89.8,1.1
2019-08-30 14:00:00,False,89.8,92.1,92.1,-2.3
2019-08-16 14:00:00,True,92.1,97.2,98.4,-5.1
2019-08-02 14:00:00,False,98.4,98.5,98.4,-0.1
2019-07-19 14:00:00,True,98.4,98.6,98.2,-0.2
2019-06-28 14:00:00,False,98.2,98.0,97.9,0.2
2019-06-14 14:00:00,True,97.9,98.1,100.0,-0.2
2019-05-31 14:00:00,False,100.0,102.0,102.4,-2.0
2019-05-17 14:00:00,True,102.4,97.8,97.2,4.6
2019-04-26 14:00:00,False,97.2,97.1,96.9,0.1
2019-04-12 14:00:00,True,96.9,98.1,98.4,-1.2
2019-03-29 14:00:00,False,98.4,97.8,97.8,0.6
2019-03-15 14:00:00,True,97.8,95.3,93.8,2.5
2019-03-01 15:00:00,False,93.8,95.8,95.5,-2.0
2019-02-15 15:00:00,True,95.5,93.3,91.2,2.2
2019-02-01 15:00:00,False,91.2,90.8,90.7,0.4
2019-01-18 15:00:00,True,90.7,97.0,98.3,-6.3
2018-12-21 15:00:00,False,98.3,97.6,97.5,0.7
2018-12-07 15:00:00,True,97.5,97.1,97.5,0.4
2018-11-21 15:00:00,False,97.5,98.4,98.3,-0.9
2018-11-09 15:00:00,True,98.3,98.0,98.6,0.3
2018-10-26 14:00:00,False,98.6,99.0,99.0,-0.4
2018-10-12 14:00:00,True,99.0,100.4,100.1,-1.4
2018-09-28 14:00:00,False,100.1,100.5,100.8,-0.4
2018-09-14 14:00:00,True,100.8,96.7,96.2,4.1
2018-08-31 14:00:00,False,96.2,95.5,95.3,0.7
2018-08-17 14:00:00,True,95.3,98.1,97.9,-2.8
2018-07-27 14:00:00,False,97.9,97.1,97.1,0.8
2018-07-13 14:00:00,True,97.1,98.1,98.2,-1.0
2018-06-29 14:00:00,False,98.2,99.2,99.3,-1.0
2018-06-15 14:00:00,True,99.3,98.5,98.0,0.8
2018-05-25 14:00:00,False,98.0,98.8,98.8,-0.8
2018-05-11 14:00:00,True,98.8,98.5,98.8,0.3
2018-04-27 14:00:00,False,98.8,98.0,97.8,0.8
2018-04-13 14:00:00,True,97.8,100.6,101.4,-2.8
2018-03-29 14:00:00,False,101.4,101.9,102.0,-0.5
2018-03-16 14:00:00,True,102.0,99.3,99.7,2.7
2018-03-02 15:00:00,False,99.7,99.5,95.7,0.2
2018-02-16 15:00:00,True,99.9,95.4,95.7,4.5
2018-02-02 15:00:00,False,95.7,95.0,94.4,0.7
2018-01-19 15:00:00,True,94.4,97.0,95.9,-2.6
2017-12-22 15:00:00,False,95.9,97.1,96.8,-1.2
2017-12-08 15:00:00,True,96.8,99.2,98.5,-2.4
2017-11-22 15:00:00,False,98.5,98.0,97.8,0.5
2017-11-10 15:00:00,True,97.8,100.7,100.7,-2.9
2017-10-27 14:00:00,False,100.7,100.9,101.1,-0.2
2017-10-13 14:00:00,True,101.1,95.0,95.1,6.1
2017-09-29 14:00:00,False,95.1,95.3,95.3,-0.2
2017-09-15 14:00:00,True,95.3,95.1,96.8,0.2
2017-09-01 14:00:00,False,96.8,97.4,97.6,-0.6
2017-08-18 14:00:00,True,97.6,94.0,93.4,3.6
2017-07-28 14:00:00,False,93.4,93.1,93.1,0.3
2017-07-14 14:00:00,True,93.1,95.0,95.1,-1.9
2017-06-30 14:00:00,False,95.1,94.5,94.5,0.6
2017-06-16 14:00:00,True,94.5,97.1,97.1,-2.6
2017-05-26 14:00:00,False,97.1,97.5,97.7,-0.4
2017-05-12 14:00:00,True,97.7,97.0,97.0,0.7
2017-04-28 14:00:00,False,97.0,98.0,98.0,-1.0
2017-04-13 14:00:00,True,98.0,96.5,96.9,1.5
2017-03-31 14:00:00,False,96.9,97.6,97.6,-0.7
2017-03-17 14:00:00,True,97.6,97.0,95.7,0.6
2017-02-24 15:00:00,False,96.3,96.0,95.7,0.3
2017-02-10 15:00:00,True,95.7,97.9,98.5,-2.2
2017-01-27 15:00:00,False,98.5,98.1,98.1,0.4
2017-01-13 15:00:00,True,98.1,98.5,98.2,-0.4
