,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-02-10 15:00:00,True, ,4.0%,3.9%
1,2023-01-27 15:00:00,False,3.9%,4.4%,4.0%
2,2023-01-13 15:00:00,True,4.0%, ,4.4%
3,2022-12-23 15:00:00,False,4.4%, ,4.6%
4,2022-12-09 15:00:00,True,4.6%,4.9%,4.9%
5,2022-11-23 15:00:00,False,4.9%,5.1%,5.0%
6,2022-11-11 15:00:00,True,5.1%, ,5.0%
7,2022-10-28 14:00:00,True,5.0%, ,5.1%
8,2022-10-14 14:00:00,True,5.1%, ,4.7%
9,2022-09-30 14:00:00,False,4.7%, ,4.6%
10,2022-09-16 14:00:00,True,4.6%, ,4.8%
11,2022-08-26 14:00:00,False,4.8%,5.0%,5.2%
12,2022-08-12 14:00:00,True,5.0%,5.1%,5.2%
13,2022-07-29 14:00:00,False,5.2%,5.2%,5.3%
14,2022-07-15 14:00:00,True,5.2%, ,5.3%
15,2022-06-24 14:00:00,False,5.3%, ,5.4%
16,2022-06-10 14:00:00,True,5.4%, ,5.3%
17,2022-05-27 14:00:00,False,5.3%,5.4%,5.4%
18,2022-05-13 14:00:00,True,5.4%, ,5.4%
19,2022-04-29 14:00:00,False,5.4%,5.4%,5.4%
20,2022-04-14 14:00:00,True,5.4%, ,5.4%
21,2022-03-25 14:00:00,False,5.4%,5.4%,4.9%
22,2022-03-11 15:00:00,True,5.4%, ,4.9%
23,2022-02-25 15:00:00,False,4.9%,5.0%,4.9%
24,2022-02-11 15:00:00,True,5.0%, ,4.9%
25,2022-01-28 15:00:00,False,4.9%,4.9%,4.8%
26,2022-01-14 15:00:00,True,4.9%, ,4.8%
27,2021-12-23 15:00:00,False,4.8%,4.9%,4.9%
28,2021-12-10 15:00:00,True,4.9%,4.9%,4.9%
29,2021-11-24 15:00:00,False,4.9%,4.9%,4.8%
30,2021-11-12 15:00:00,True,4.9%, ,4.8%
31,2021-10-29 14:00:00,False,4.8%,4.8%,4.6%
