Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-02-07 13:30:00,False,-67.40B,-68.50B,-61.00B,1.1
2023-01-05 13:30:00,False,-61.50B,-73.00B,-77.80B,11.5
2022-12-06 13:30:00,False,-78.20B,-80.00B,-74.10B,1.8
2022-11-03 12:30:00,False,-73.30B,-72.20B,-65.70B,-1.1
2022-10-05 12:30:00,False,-67.40B,-67.70B,-70.50B,0.3
2022-09-07 12:30:00,False,-70.70B,-70.30B,-80.90B,-0.4
2022-08-04 12:30:00,False,-79.60B,-80.10B,-84.90B,0.5
2022-07-07 12:30:00,False,-85.50B,-84.90B,-86.70B,-0.6
2022-06-07 12:30:00,False,-87.10B,-89.50B,-107.70B,2.4
2022-05-04 12:30:00,False,-109.80B,-107.00B,-89.80B,-2.8
2022-04-05 12:30:00,False,-89.20B,-88.50B,-89.20B,-0.7
2022-03-08 13:30:00,False,-89.70B,-87.10B,-82.00B,-2.6
2022-02-08 13:30:00,False,-80.70B,-83.00B,-79.30B,2.3
2022-01-06 13:30:00,False,-80.20B,-77.10B,-67.20B,-3.1
2021-12-07 13:30:00,False,-67.10B,-66.80B,-81.40B,-0.3
2021-11-04 12:30:00,False,-80.90B,-80.50B,-72.80B,-0.4
2021-10-05 12:30:00,False,-73.30B,-70.50B,-70.30B,-2.8
2021-09-02 12:30:00,False,-70.10B,-71.00B,-73.20B,0.9
2021-08-05 12:30:00,False,-75.70B,-74.10B,-71.00B,-1.6
2021-07-02 12:30:00,False,-71.20B,-71.40B,-69.10B,0.2
2021-06-08 12:30:00,False,-68.90B,-69.00B,-75.00B,0.1
2021-05-04 12:30:00,False,-74.40B,-74.50B,-70.50B,0.1
2021-04-07 12:30:00,False,-71.10B,-70.50B,-67.80B,-0.6
2021-03-05 13:30:00,False,-68.20B,-67.50B,-67.00B,-0.7
2021-02-05 13:30:00,False,-66.60B,-65.70B,-69.00B,-0.9
2021-01-07 13:30:00,False,-68.10B,-65.20B,-63.10B,-2.9
2020-12-04 13:30:00,False,-63.10B,-64.80B,-62.10B,1.7
2020-11-04 13:30:00,False,-63.90B,-63.80B,-67.00B,-0.1
2020-10-06 12:30:00,False,-67.10B,-66.10B,-63.40B,-1.0
2020-09-03 12:30:00,False,-63.60B,-58.00B,-53.50B,-5.6
2020-08-05 12:30:00,False,-50.70B,-50.10B,-54.80B,-0.6
2020-07-02 12:30:00,False,-54.60B,-53.00B,-49.80B,-1.6
2020-06-04 12:30:00,False,-49.40B,-49.00B,-42.30B,-0.4
2020-05-05 12:30:00,False,-44.40B,-44.00B,-39.80B,-0.4
2020-04-02 12:30:00,False,-39.90B,-40.00B,-45.50B,0.1
2020-03-06 13:30:00,False,-45.30B,-46.10B,-48.60B,0.8
2020-02-05 13:30:00,False,-48.90B,-48.20B,-43.70B,-0.7
2020-01-07 13:30:00,False,-43.10B,-43.80B,-46.90B,0.7
2019-12-05 13:30:00,False,-47.20B,-48.70B,-51.10B,1.5
2019-11-05 13:30:00,False,-52.50B,-52.50B,-55.00B,0.0
2019-10-04 12:30:00,False,-54.90B,-54.50B,-54.00B,-0.4
2019-09-04 12:30:00,False,-54.00B,-53.50B,-55.50B,-0.5
