Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-02-02 15:00:00,False,1.8%,2.3%,-1.9%,-0.5
2023-01-06 15:00:00,False,-1.8%,-0.8%,0.4%,-1.0
2022-12-05 15:00:00,False,1.0%,0.7%,0.3%,0.3
2022-11-03 14:00:00,False,0.3%,0.3%,0.2%,0.0
2022-10-04 14:00:00,False,0.0%,0.2%,-1.0%,-0.2
2022-09-02 14:00:00,False,-1.0%,0.2%,1.8%,-1.2
2022-08-03 14:00:00,False,2.0%,1.1%,1.8%,0.9
2022-07-05 14:00:00,False,1.6%,0.5%,0.7%,1.1
2022-06-02 14:00:00,False,0.3%,0.7%,1.8%,-0.4
2022-05-03 14:00:00,False,2.2%,1.1%,0.1%,1.1
2022-04-04 14:00:00,False,-0.5%,-0.5%,1.5%,0.0
2022-03-03 15:00:00,False,1.4%,0.5%,0.7%,0.9
2022-02-03 15:00:00,False,-0.4%,-0.2%,1.8%,-0.2
2022-01-06 15:00:00,False,1.6%,1.5%,1.2%,0.1
2021-12-03 15:00:00,False,1.0%,0.5%,0.5%,0.5
2021-11-03 14:00:00,False,0.2%,0.1%,1.0%,0.1
2021-10-04 14:00:00,False,1.2%,1.0%,0.7%,0.2
2021-09-02 14:00:00,False,0.4%,0.3%,1.5%,0.1
2021-08-03 14:00:00,False,1.5%,1.0%,2.3%,0.5
2021-07-02 14:00:00,False,1.7%,1.6%,-0.1%,0.1
2021-06-04 14:00:00,False,-0.6%,-0.2%,1.4%,-0.4
2021-05-04 14:00:00,False,1.1%,1.3%,-0.5%,-0.2
2021-04-05 14:00:00,False,-0.8%,-0.5%,2.7%,-0.3
2021-03-04 15:00:00,False,2.6%,2.1%,1.6%,0.5
2021-02-04 15:00:00,False,1.1%,0.7%,1.3%,0.4
2021-01-06 15:00:00,False,1.0%,0.7%,1.3%,0.3
2020-12-04 15:00:00,False,1.0%,0.8%,1.3%,0.2
2020-11-03 15:00:00,False,1.1%,1.0%,0.6%,0.1
2020-10-02 14:00:00,False,0.7%,1.0%,6.5%,-0.3
2020-09-02 14:00:00,False,6.4%,6.0%,6.4%,0.4
2020-08-04 14:00:00,False,6.2%,5.0%,7.7%,1.2
2020-07-02 14:00:00,False,8.0%,8.9%,-13.5%,-0.9
2020-06-03 14:00:00,False,-13.0%,-14.0%,-11.0%,1.0
2020-05-04 14:00:00,False,-10.3%,-9.7%,-0.1%,-0.6
2020-04-02 14:00:00,False,0.0%,0.2%,-0.5%,-0.2
2020-03-05 15:00:00,False,-0.5%,-0.1%,1.9%,-0.4
2020-02-04 15:00:00,False,1.8%,1.2%,-1.2%,0.6
2020-01-07 15:00:00,False,-0.7%,-0.8%,0.2%,0.1
2019-12-05 15:00:00,False,0.3%,0.3%,-0.8%,0.0
2019-11-04 15:00:00,False,-0.6%,-0.5%,-0.1%,-0.1
2019-10-03 14:00:00,False,-0.1%,-0.2%,1.4%,0.1
2019-09-05 14:00:00,False,1.4%,1.0%,0.5%,0.4
2019-08-02 14:00:00,False,0.6%,0.8%,-1.3%,-0.2
2019-07-03 14:00:00,False,-0.7%,-0.4%,-1.2%,-0.3
2019-06-04 14:00:00,False,-0.8%,-0.9%,1.3%,0.1
2019-05-02 14:00:00,False,1.9%,1.0%,-0.3%,0.9
2019-04-08 14:00:00,False,-0.5%,-0.5%,0.1%,0.0
2019-03-19 14:00:00,False,0.1%,0.3%,0.1%,-0.2
2019-02-27 15:00:00,False,0.1%,1.5%,-0.5%,-1.4
2019-02-04 15:00:00,False,-0.6%,0.3%,-2.1%,-0.9
2018-12-06 15:00:00,False,-2.1%,-1.9%,0.2%,-0.2
2018-11-02 14:00:00,False,0.7%,0.5%,2.6%,0.2
2018-10-04 14:00:00,False,2.3%,2.1%,-0.5%,0.2
2018-09-06 14:00:00,False,-0.8%,-0.6%,0.6%,-0.2
2018-08-02 14:00:00,False,0.7%,0.7%,0.4%,0.0
2018-07-03 14:00:00,False,0.4%,0.1%,-0.4%,0.3
2018-06-04 14:00:00,False,-0.8%,-0.5%,1.7%,-0.3
2018-05-03 14:00:00,False,1.6%,1.3%,1.6%,0.3
2018-04-04 14:00:00,False,1.2%,1.7%,-1.3%,-0.5
2018-03-06 15:00:00,False,-1.4%,-1.3%,1.8%,-0.1
2018-02-02 15:00:00,False,1.7%,1.5%,1.7%,0.2
2018-01-05 15:00:00,False,1.3%,1.1%,0.4%,0.2
2017-12-04 15:00:00,False,-0.1%,-0.4%,1.7%,0.3
2017-11-03 14:00:00,False,1.4%,1.3%,1.2%,0.1
2017-10-05 14:00:00,False,1.2%,1.0%,-3.3%,0.2
2017-09-05 14:00:00,False,-3.3%,-3.3%,3.2%,0.0
2017-08-03 14:00:00,False,3.0%,2.9%,-0.3%,0.1
2017-07-05 14:00:00,False,-0.8%,-0.5%,-0.3%,-0.3
2017-06-05 14:00:00,False,-0.2%,-0.2%,1.0%,0.0
2017-05-04 14:00:00,False,0.2%,0.4%,1.2%,-0.2
2017-04-04 14:00:00,False,1.0%,1.0%,1.5%,0.0
2017-03-06 15:00:00,False,1.2%,1.0%,1.3%,0.2
2017-02-03 15:00:00,False,1.3%,1.0%,-2.3%,0.3
2017-01-06 15:00:00,False,-2.4%,-2.2%,2.8%,-0.2
