,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-01-26 13:30:00,True,0.1%,0.5%,1.0%
1,2023-01-10 15:00:00,False,1.0%,1.0%,1.0%
2,2022-12-27 13:30:00,True,1.0%,0.4%,0.6%
3,2022-12-09 15:00:00,False,0.5%,0.8%,0.8%
4,2022-11-30 13:30:00,True,0.8%,0.5%,0.6%
5,2022-11-09 15:00:00,False,0.6%,0.8%,1.4%
6,2022-10-26 12:30:00,True,0.8%,1.0%,1.3%
7,2022-10-07 14:00:00,False,1.3%, ,1.3%
8,2022-09-28 12:30:00,True,1.3%,0.4%,0.6%
9,2022-09-09 14:00:00,False,0.6%,0.8%,1.6%
10,2022-08-26 12:30:00,True,0.8%,1.4%,1.8%
11,2022-08-10 14:00:00,False,1.8%,1.9%,1.9%
12,2022-07-27 12:30:00,True,1.9%,1.5%,1.8%
13,2022-07-08 14:00:00,False,1.8%, ,2.3%
14,2022-06-28 12:30:00,True,2.0%,2.1%,2.3%
15,2022-06-08 14:00:00,False,2.2%, ,2.7%
16,2022-05-09 14:00:00,False,2.3%,2.3%,2.8%
17,2022-04-27 12:30:00,True,2.3%, ,2.6%
18,2022-04-08 14:00:00,False,2.5%,2.1%,1.2%
19,2022-03-28 12:30:00,True,2.1%, ,1.1%
20,2022-03-08 15:00:00,False,0.8%,0.8%,2.6%
21,2022-02-28 13:30:00,True,0.8%,1.3%,2.2%
22,2022-02-16 15:00:00,False,2.1%, ,1.5%
23,2022-02-09 15:00:00,False,2.2%, ,2.1%
24,2022-01-26 13:30:00,True,2.1%,1.3%,1.7%
25,2022-01-10 15:00:00,False,1.4%,1.2%,2.5%
26,2021-12-29 13:30:00,True,1.2%,1.8%,2.5%
27,2021-12-09 15:00:00,False,2.3%,2.2%,2.2%
28,2021-11-24 13:30:00,True,2.2%,1.0%,1.4%
29,2021-11-10 15:00:00,False,1.4%, ,1.1%
30,2021-10-27 12:30:00,True,1.1%, ,1.2%
31,2021-10-08 14:00:00,False,1.2%, ,1.2%
32,2021-09-28 12:30:00,True,1.2%, ,0.6%
33,2021-09-10 14:00:00,False,0.6%,0.6%,1.2%
34,2021-08-27 12:30:00,True,0.6%, ,1.1%
35,2021-08-06 14:00:00,False,1.1%, ,1.3%
36,2021-07-28 12:30:00,True,0.8%, ,1.3%
37,2021-07-09 14:00:00,False,1.3%, ,1.1%
38,2021-06-24 12:30:00,True,1.1%, ,1.0%
39,2021-06-09 14:00:00,False,0.8%, ,1.2%
40,2021-05-28 12:30:00,True,0.8%, ,1.1%
41,2021-05-07 14:00:00,False,1.3%, ,1.4%
42,2021-04-28 12:30:00,True,1.4%, ,0.9%
43,2021-04-09 14:00:00,False,0.6%, ,1.4%
44,2021-03-26 12:30:00,True,0.5%, ,1.4%
45,2021-03-08 15:00:00,False,1.3%, ,1.3%
46,2021-02-26 13:30:00,True,1.3%, ,0.3%
47,2021-02-10 15:00:00,False,0.3%,0.1%,0.0%
48,2021-01-28 13:30:00,True,0.1%, ,0.0%
49,2021-01-08 15:00:00,False,0.0%, ,1.3%
50,2020-12-30 13:30:00,True,-0.1%, ,1.2%
51,2020-12-09 15:00:00,False,1.1%, ,0.9%
52,2020-11-25 13:30:00,True,0.9%, ,0.7%
53,2020-11-06 15:00:00,False,0.4%, ,0.5%
54,2020-10-28 12:30:00,True,-0.1%, ,0.4%
55,2020-09-29 12:30:00,True,0.5%, ,-0.3%
56,2020-09-10 14:00:00,False,-0.3%,-0.1%,-1.3%
57,2020-08-28 12:30:00,True,-0.1%, ,-1.3%
58,2020-08-07 14:00:00,False,-1.4%,-2.0%,-1.2%
59,2020-07-29 12:30:00,True,-2.0%, ,-1.2%
60,2020-07-09 14:00:00,False,-1.2%,-1.2%,0.2%
61,2020-06-25 12:30:00,True,-1.2%, ,0.3%
62,2020-06-09 14:00:00,False,0.3%,0.4%,-1.1%
63,2020-05-29 12:30:00,True,0.4%, ,-0.8%
64,2020-05-08 14:00:00,False,-0.8%,-1.0%,-0.6%
65,2020-04-28 12:30:00,True,-1.0%, ,-0.7%
66,2020-04-09 14:00:00,False,-0.7%,-0.5%,-0.6%
67,2020-03-26 12:30:00,True,-0.5%, ,-0.5%
68,2020-03-06 15:00:00,False,-0.4%, ,-0.3%
69,2020-02-28 13:30:00,True,-0.2%, ,-0.3%
70,2020-02-07 15:00:00,False,-0.2%,-0.1%,0.1%
71,2020-01-29 13:30:00,True,-0.1%, ,0.1%
72,2020-01-10 15:00:00,False,-0.1%,0.1%,0.0%
73,2019-12-30 13:30:00,True,0.0%, ,0.1%
74,2019-12-06 15:00:00,False,0.1%,0.2%,-0.4%
75,2019-11-26 13:30:00,True,0.2%,0.2%,-0.4%
76,2019-11-08 15:00:00,False,-0.4%,-0.3%,0.1%
77,2019-10-28 12:30:00,True,-0.3%, ,0.2%
78,2019-10-09 14:00:00,False,0.2%,0.4%,0.2%
79,2019-09-26 12:30:00,True,0.4%, ,0.1%
80,2019-09-11 14:00:00,False,0.2%,0.2%,0.0%
81,2019-08-29 12:30:00,True,0.2%,0.2%,0.0%
82,2019-08-08 14:00:00,False,0.0%,0.2%,0.2%
83,2019-07-25 12:30:00,True,0.2%,0.5%,0.4%
84,2019-07-10 14:00:00,False,0.4%,0.4%,0.4%
85,2019-06-26 12:30:00,True,0.4%,0.6%,0.9%
86,2019-06-07 14:00:00,False,0.8%,0.7%,0.7%
87,2019-05-30 12:30:00,True,0.7%,0.2%,-0.1%
88,2019-05-09 14:00:00,False,-0.1%,0.0%,0.0%
89,2019-05-03 12:30:00,True,0.0%,0.2%,0.2%
90,2019-04-17 14:00:00,False,0.2%,0.4%,1.2%
91,2019-03-22 14:00:00,True,1.2%,0.2%,1.1%
92,2019-02-25 15:00:00,False,1.1%,0.3%,0.3%
93,2019-02-01 15:00:00,True,0.3%,0.5%,0.8%
94,2018-12-07 15:00:00,False,0.8%,0.7%,0.7%
95,2018-11-28 13:30:00,True,0.7%,0.5%,0.4%
96,2018-11-09 15:00:00,False,0.4%,0.3%,0.3%
97,2018-10-25 12:30:00,True,0.3%,0.5%,1.0%
98,2018-10-10 14:00:00,False,1.0%,0.8%,0.8%
99,2018-09-27 12:30:00,True,0.8%,0.3%,0.6%
100,2018-09-11 14:00:00,False,0.6%,0.7%,0.7%
101,2018-08-28 12:30:00,True,0.7%,0.1%,0.1%
102,2018-08-09 14:00:00,False,0.1%,0.0%,0.0%
103,2018-07-26 12:30:00,True,0.0%,0.5%,0.6%
104,2018-07-11 14:00:00,False,0.6%,0.5%,0.5%
105,2018-06-27 12:30:00,True,0.5%,0.2%,0.1%
106,2018-06-08 14:00:00,False,0.1%,0.0%,0.0%
107,2018-05-30 12:30:00,True,0.0%,0.4%,0.3%
108,2018-05-09 14:00:00,False,0.3%,0.6%,0.5%
109,2018-04-26 12:30:00,True,0.5%,0.6%,1.0%
110,2018-04-10 14:00:00,False,1.0%,0.8%,1.1%
111,2018-03-28 12:30:00,True,1.1%,0.6%,0.8%
112,2018-03-09 15:00:00,False,0.8%,0.7%,0.7%
113,2018-02-27 13:30:00,True,0.7%,0.3%,0.4%
114,2018-02-09 15:00:00,False,0.4%,0.2%,0.2%
115,2018-01-26 13:30:00,True,0.2%,0.2%,0.8%
116,2018-01-10 15:00:00,False,0.8%,0.7%,0.7%
117,2017-12-28 13:30:00,True,0.7%,0.4%,-0.5%
118,2017-12-08 15:00:00,False,-0.5%,-0.4%,-0.4%
119,2017-11-28 13:30:00,True,-0.4%,0.3%,0.3%
120,2017-11-09 15:00:00,False,0.3%,0.3%,0.3%
121,2017-10-26 12:30:00,True,0.3%,1.0%,0.9%
122,2017-10-06 14:00:00,False,0.9%,1.0%,1.0%
123,2017-09-28 12:30:00,True,1.0%,0.5%,0.6%
124,2017-09-08 14:00:00,False,0.6%,0.4%,0.4%
125,2017-08-28 12:30:00,True,0.4%,0.2%,0.7%
126,2017-08-09 14:00:00,False,0.7%,0.6%,0.6%
127,2017-07-27 12:30:00,True,0.6%,0.2%,0.4%
128,2017-07-11 14:00:00,False,0.4%,0.3%,0.3%
129,2017-06-28 12:30:00,True,0.3%,0.2%,-0.5%
130,2017-06-09 14:00:00,False,-0.5%,0.2%,-0.3%
131,2017-05-25 12:30:00,True,-0.3%,0.2%,0.1%
132,2017-05-09 14:00:00,False,0.2%,-0.1%,-0.1%
133,2017-04-27 12:30:00,True,-0.1%,0.3%,0.4%
134,2017-04-07 14:00:00,False,0.4%,0.4%,0.4%
135,2017-03-28 12:30:00,True,0.4%,0.2%,-0.2%
136,2017-03-08 15:00:00,False,-0.2%,-0.1%,-0.1%
137,2017-02-28 13:30:00,True,-0.1%,0.5%,1.0%
138,2017-02-09 15:00:00,False,1.0%,1.0%,1.0%
139,2017-01-26 13:30:00,True,1.0%,0.9%,1.0%
140,2017-01-10 15:00:00,False,1.0%,0.9%,0.9%
