,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-01-18 13:30:00,False,-1.1%,-0.8%,-1.0%
1,2022-12-15 13:30:00,False,-0.6%,-0.1%,1.3%
2,2022-11-16 13:30:00,False,1.3%,1.0%,0.0%
3,2022-10-14 12:30:00,False,0.0%,0.2%,0.4%
4,2022-09-15 12:30:00,False,0.3%,0.2%,-0.4%
5,2022-08-17 12:30:00,False,0.0%,0.1%,0.8%
6,2022-07-15 12:30:00,False,1.0%,0.8%,-0.1%
7,2022-06-15 12:30:00,False,-0.3%,0.2%,0.7%
8,2022-05-17 12:30:00,False,0.9%,0.9%,1.4%
9,2022-04-14 12:30:00,False,0.5%,0.6%,0.8%
10,2022-03-16 12:30:00,False,0.3%,0.4%,4.9%
11,2022-02-16 13:30:00,False,3.8%,2.0%,-2.5%
12,2022-01-14 13:30:00,False,-1.9%,-0.1%,0.2%
13,2021-12-15 13:30:00,False,0.3%,0.8%,1.8%
14,2021-11-16 13:30:00,False,1.7%,1.2%,0.8%
15,2021-10-15 12:30:00,False,0.7%,-0.2%,0.9%
16,2021-09-16 12:30:00,False,0.7%,-0.8%,-1.8%
17,2021-08-17 12:30:00,False,-1.1%,-0.3%,0.7%
18,2021-07-16 12:30:00,False,0.6%,-0.4%,-1.7%
19,2021-06-15 12:30:00,False,-1.3%,-0.8%,0.9%
20,2021-05-14 12:30:00,False,0.0%,1.0%,10.7%
21,2021-04-15 12:30:00,False,9.8%,5.9%,-2.7%
22,2021-03-16 12:30:00,False,-3.0%,-0.5%,7.6%
23,2021-02-17 13:30:00,False,5.3%,1.1%,-1.0%
24,2021-01-15 13:30:00,False,-0.7%,-0.2%,-1.4%
25,2020-12-16 13:30:00,False,-1.1%,-0.3%,-0.1%
26,2020-11-17 13:30:00,False,0.3%,0.5%,1.6%
27,2020-10-16 12:30:00,False,1.9%,0.7%,0.6%
28,2020-09-16 12:30:00,False,0.6%,1.0%,0.9%
29,2020-08-14 12:30:00,False,1.2%,1.9%,8.4%
30,2020-07-16 12:30:00,False,7.5%,5.0%,18.2%
31,2020-06-16 12:30:00,False,17.7%,8.0%,-14.7%
32,2020-05-15 12:30:00,False,-16.4%,-12.0%,-8.3%
33,2020-04-15 12:30:00,False,-8.7%,-8.0%,-0.4%
34,2020-03-17 12:30:00,False,-0.5%,0.2%,0.6%
35,2020-02-14 13:30:00,False,0.3%,0.3%,0.2%
36,2020-01-16 13:30:00,False,0.3%,0.3%,0.3%
37,2019-12-13 13:30:00,False,0.2%,0.5%,0.4%
38,2019-11-15 13:30:00,False,0.3%,0.2%,-0.3%
39,2019-10-16 12:30:00,False,-0.3%,0.3%,0.6%
40,2019-09-13 12:30:00,False,0.4%,0.2%,0.8%
41,2019-08-15 12:30:00,False,0.7%,0.3%,0.3%
42,2019-07-16 12:30:00,False,0.4%,0.1%,0.4%
43,2019-06-14 12:30:00,False,0.5%,0.7%,0.3%
44,2019-05-15 12:30:00,False,-0.2%,0.2%,1.7%
45,2019-04-18 12:30:00,False,1.6%,0.9%,-0.2%
46,2019-04-01 12:30:00,False,-0.2%,0.3%,0.7%
47,2019-03-11 12:30:00,False,0.2%,0.0%,-1.6%
48,2019-02-14 13:30:00,False,-1.2%,0.1%,0.1%
49,2018-12-14 13:30:00,False,0.2%,0.1%,1.1%
50,2018-11-15 13:30:00,False,0.8%,0.6%,-0.1%
51,2018-10-15 12:30:00,False,0.1%,0.7%,0.1%
52,2018-09-14 12:30:00,False,0.1%,0.4%,0.7%
53,2018-08-15 12:30:00,False,0.5%,0.2%,0.2%
54,2018-07-16 12:30:00,False,0.5%,0.5%,1.3%
55,2018-06-14 12:30:00,False,0.8%,0.4%,0.4%
56,2018-05-15 12:30:00,False,0.3%,0.4%,0.8%
57,2018-04-16 12:30:00,False,0.6%,0.4%,-0.1%
58,2018-03-14 12:30:00,False,-0.1%,0.3%,-0.1%
59,2018-02-14 13:30:00,False,-0.3%,0.2%,0.4%
60,2018-01-12 13:30:00,False,0.4%,0.4%,0.9%
61,2017-12-14 13:30:00,False,0.8%,0.3%,0.5%
62,2017-11-15 13:30:00,False,0.2%,0.1%,1.9%
63,2017-10-13 12:30:00,False,1.6%,1.7%,-0.1%
64,2017-09-15 12:30:00,False,-0.2%,0.1%,0.3%
65,2017-08-15 12:30:00,False,0.6%,0.4%,0.3%
66,2017-07-14 12:30:00,False,-0.2%,0.1%,-0.1%
67,2017-06-14 12:30:00,False,-0.3%,0.1%,0.4%
68,2017-05-12 12:30:00,False,0.4%,0.6%,0.1%
69,2017-04-14 12:30:00,False,-0.2%,-0.1%,-0.3%
70,2017-03-15 12:30:00,False,0.1%,0.1%,0.6%
71,2017-02-15 13:30:00,False,0.4%,0.1%,1.0%
72,2017-01-13 13:30:00,False,0.6%,0.7%,0.2%
