,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-01-18 13:30:00,False,-1.1%,-0.4%,-0.6%
1,2022-12-15 13:30:00,False,-0.2%,0.2%,1.2%
2,2022-11-16 13:30:00,False,1.3%,0.4%,0.1%
3,2022-10-14 12:30:00,False,0.1%,-0.1%,-0.1%
4,2022-09-15 12:30:00,False,-0.3%,0.1%,0.4%
5,2022-08-17 12:30:00,False,0.4%,-0.1%,0.9%
6,2022-07-15 12:30:00,False,1.0%,0.6%,0.6%
7,2022-06-15 12:30:00,False,0.5%,0.8%,0.4%
8,2022-05-17 12:30:00,False,0.6%,0.4%,2.1%
9,2022-04-14 12:30:00,False,1.1%,1.0%,0.6%
10,2022-03-16 12:30:00,False,0.2%,0.9%,4.4%
11,2022-02-16 13:30:00,False,3.3%,0.8%,-2.8%
12,2022-01-14 13:30:00,False,-2.3%,0.2%,0.1%
13,2021-12-15 13:30:00,False,0.3%,0.9%,1.8%
14,2021-11-16 13:30:00,False,1.7%,1.0%,0.7%
15,2021-10-15 12:30:00,False,0.8%,0.5%,2.0%
16,2021-09-16 12:30:00,False,1.8%,-0.1%,-1.0%
17,2021-08-17 12:30:00,False,-0.4%,0.1%,1.6%
18,2021-07-16 12:30:00,False,1.3%,0.4%,-0.9%
19,2021-06-15 12:30:00,False,-0.7%,0.2%,-0.8%
20,2021-05-14 12:30:00,False,-0.8%,0.7%,9.0%
21,2021-04-15 12:30:00,False,8.4%,5.0%,-2.5%
22,2021-03-16 12:30:00,False,-2.7%,-0.1%,8.3%
23,2021-02-17 13:30:00,False,5.9%,1.0%,-1.8%
24,2021-01-15 13:30:00,False,-1.4%,-0.1%,-1.3%
25,2020-12-16 13:30:00,False,-0.9%,0.1%,-0.1%
26,2020-11-17 13:30:00,False,0.2%,0.6%,1.2%
27,2020-10-16 12:30:00,False,1.5%,0.5%,0.5%
28,2020-09-16 12:30:00,False,0.7%,0.9%,1.3%
29,2020-08-14 12:30:00,False,1.9%,1.3%,8.3%
30,2020-07-16 12:30:00,False,7.3%,5.0%,12.1%
31,2020-06-16 12:30:00,False,12.4%,5.5%,-15.2%
32,2020-05-15 12:30:00,False,-17.2%,-8.6%,-4.0%
33,2020-04-15 12:30:00,False,-4.5%,-4.8%,-0.4%
34,2020-03-17 12:30:00,False,-0.4%,0.2%,0.6%
35,2020-02-14 13:30:00,False,0.3%,0.3%,0.6%
36,2020-01-16 13:30:00,False,0.7%,0.5%,0.1%
37,2019-12-13 13:30:00,False,0.1%,0.4%,0.3%
38,2019-11-15 13:30:00,False,0.2%,0.4%,-0.1%
39,2019-10-16 12:30:00,False,-0.1%,0.2%,0.2%
40,2019-09-13 12:30:00,False,0.0%,0.1%,1.0%
41,2019-08-15 12:30:00,False,1.0%,0.4%,0.3%
42,2019-07-16 12:30:00,False,0.4%,0.1%,0.4%
43,2019-06-14 12:30:00,False,0.5%,0.5%,0.5%
44,2019-05-15 12:30:00,False,0.1%,0.7%,1.3%
45,2019-04-18 12:30:00,False,1.2%,0.7%,-0.2%
46,2019-04-01 12:30:00,False,-0.4%,0.4%,1.4%
47,2019-03-11 12:30:00,False,0.9%,0.4%,-2.1%
48,2019-02-14 13:30:00,False,-1.8%,0.0%,0.2%
49,2018-12-14 13:30:00,False,0.2%,0.2%,1.0%
50,2018-11-15 13:30:00,False,0.7%,0.5%,-0.1%
51,2018-10-15 12:30:00,False,-0.1%,0.4%,0.2%
52,2018-09-14 12:30:00,False,0.3%,0.5%,0.9%
53,2018-08-15 12:30:00,False,0.6%,0.4%,0.2%
54,2018-07-16 12:30:00,False,0.4%,0.4%,1.4%
55,2018-06-14 12:30:00,False,0.9%,0.5%,0.4%
56,2018-05-15 12:30:00,False,0.3%,0.5%,0.4%
57,2018-04-16 12:30:00,False,0.2%,0.2%,0.2%
58,2018-03-14 12:30:00,False,0.2%,0.3%,0.1%
59,2018-02-14 13:30:00,False,0.0%,0.5%,0.1%
60,2018-01-12 13:30:00,False,0.4%,0.4%,1.3%
61,2017-12-14 13:30:00,False,1.0%,0.7%,0.4%
62,2017-11-15 13:30:00,False,0.1%,0.2%,1.2%
63,2017-10-13 12:30:00,False,1.0%,0.3%,0.5%
64,2017-09-15 12:30:00,False,0.2%,0.5%,0.4%
65,2017-08-15 12:30:00,False,0.5%,0.3%,0.1%
66,2017-07-14 12:30:00,False,-0.2%,0.2%,-0.3%
67,2017-06-14 12:30:00,False,-0.3%,0.2%,0.4%
68,2017-05-12 12:30:00,False,0.3%,0.5%,0.3%
69,2017-04-14 12:30:00,False,0.0%,0.1%,0.2%
70,2017-03-15 12:30:00,False,0.2%,0.2%,1.2%
71,2017-02-15 13:30:00,False,0.8%,0.4%,0.4%
72,2017-01-13 13:30:00,False,0.2%,0.5%,0.3%
