Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-02-15 15:00:00,False,0.3%,0.3%,0.3%,0.0
2023-01-18 15:00:00,False,0.4%,0.4%,0.2%,0.0
2022-12-15 15:00:00,False,0.3%,0.4%,0.2%,-0.1
2022-11-16 15:00:00,False,0.4%,0.5%,0.9%,-0.1
2022-10-14 14:00:00,False,0.8%,0.9%,0.5%,-0.1
2022-09-15 14:00:00,False,0.6%,0.6%,1.4%,0.0
2022-08-17 14:00:00,False,1.4%,1.4%,1.6%,0.0
2022-07-15 14:00:00,False,1.4%,1.3%,1.3%,0.1
2022-06-15 14:00:00,False,1.2%,1.2%,2.4%,0.0
2022-05-17 14:00:00,False,2.0%,1.9%,1.8%,0.1
2022-04-14 14:00:00,False,1.5%,1.3%,1.3%,0.2
2022-03-16 14:00:00,False,1.1%,1.1%,2.4%,0.0
2022-02-16 15:00:00,False,2.1%,2.1%,1.5%,0.0
2022-01-14 15:00:00,False,1.3%,1.3%,1.3%,0.0
2021-12-15 15:00:00,False,1.2%,1.1%,0.8%,0.1
2021-11-16 15:00:00,False,0.7%,0.6%,0.8%,0.1
2021-10-15 14:00:00,False,0.6%,0.6%,0.6%,0.0
2021-09-16 14:00:00,False,0.5%,0.5%,0.9%,0.0
2021-08-17 14:00:00,False,0.8%,0.8%,0.6%,0.0
2021-07-16 14:00:00,False,0.5%,0.5%,0.1%,0.0
2021-06-15 14:00:00,False,-0.2%,-0.1%,0.2%,-0.1
2021-05-14 14:00:00,False,0.3%,0.3%,0.6%,0.0
2021-04-15 14:00:00,False,0.5%,0.5%,0.4%,0.0
2021-03-16 14:00:00,False,0.3%,0.3%,0.8%,0.0
2021-02-17 15:00:00,False,0.6%,0.5%,0.5%,0.1
2021-01-15 15:00:00,False,0.5%,0.5%,0.8%,0.0
2020-12-16 15:00:00,False,0.7%,0.7%,0.8%,0.0
2020-11-17 15:00:00,False,0.7%,0.6%,0.3%,0.1
2020-10-16 14:00:00,False,0.3%,0.4%,-5.5%,-0.1
2020-09-16 14:00:00,False,0.1%,0.1%,-1.1%,0.0
2020-08-14 14:00:00,False,-1.1%,-1.2%,-2.3%,0.1
2020-07-16 14:00:00,False,-2.3%,-2.3%,-1.4%,0.0
2020-06-16 14:00:00,False,-1.3%,-0.8%,-0.3%,-0.5
2020-05-15 14:00:00,False,-0.2%,-0.2%,-0.5%,0.0
2020-04-15 14:00:00,False,-0.4%,-0.4%,-0.3%,0.0
2020-03-17 14:00:00,False,-0.1%,-0.1%,0.1%,0.0
2020-02-14 15:00:00,False,0.1%,0.1%,-0.2%,0.0
2020-01-16 15:00:00,False,-0.2%,-0.1%,0.1%,-0.1
2019-12-13 15:00:00,False,0.2%,0.2%,-0.1%,0.0
2019-11-15 15:00:00,False,0.0%,0.1%,-0.1%,-0.1
2019-10-16 14:00:00,False,0.0%,0.2%,0.3%,-0.2
2019-09-13 14:00:00,False,0.4%,0.3%,0.0%,0.1
2019-08-15 14:00:00,False,0.0%,0.1%,0.3%,-0.1
2019-07-16 14:00:00,False,0.3%,0.4%,0.5%,-0.1
2019-06-14 14:00:00,False,0.5%,0.4%,0.0%,0.1
2019-05-15 14:00:00,False,0.0%,0.0%,0.3%,0.0
2019-04-18 14:00:00,False,0.3%,0.4%,0.9%,-0.1
2019-04-01 14:00:00,False,0.8%,0.5%,0.8%,0.3
2019-03-11 14:00:00,False,0.6%,0.6%,-0.1%,0.0
2019-02-14 15:00:00,False,-0.1%,0.3%,0.6%,-0.4
2018-12-14 15:00:00,False,0.6%,0.6%,0.5%,0.0
2018-11-15 15:00:00,False,0.3%,0.3%,0.5%,0.0
2018-10-15 14:00:00,False,0.5%,0.5%,0.7%,0.0
2018-09-14 14:00:00,False,0.6%,0.5%,0.1%,0.1
2018-08-15 14:00:00,False,0.1%,0.2%,0.3%,-0.1
2018-07-16 14:00:00,False,0.4%,0.4%,0.3%,0.0
2018-06-14 14:00:00,False,0.3%,0.3%,-0.1%,0.0
2018-05-15 14:00:00,False,0.0%,0.2%,0.6%,-0.2
2018-04-16 14:00:00,False,0.6%,0.6%,0.6%,0.0
2018-03-14 14:00:00,False,0.6%,0.6%,0.6%,0.0
2018-02-14 15:00:00,False,0.4%,0.3%,0.4%,0.1
2018-01-12 15:00:00,False,0.4%,0.3%,-0.1%,0.1
2017-12-14 15:00:00,False,-0.1%,-0.1%,0.0%,0.0
2017-11-15 15:00:00,False,0.0%,0.1%,0.6%,-0.1
2017-10-13 14:00:00,False,0.7%,0.7%,0.3%,0.0
2017-09-15 14:00:00,False,0.2%,0.2%,0.5%,0.0
2017-08-15 14:00:00,False,0.5%,0.4%,0.3%,0.1
2017-07-14 14:00:00,False,0.3%,0.3%,-0.2%,0.0
2017-06-14 14:00:00,False,-0.2%,-0.2%,0.2%,0.0
2017-05-12 14:00:00,False,0.2%,0.1%,0.2%,0.1
2017-04-14 14:00:00,False,0.3%,0.3%,0.3%,0.0
2017-03-15 14:00:00,False,0.3%,0.3%,0.4%,0.0
2017-02-15 15:00:00,False,0.4%,0.4%,0.8%,0.0
2017-01-13 15:00:00,False,0.7%,0.5%,-0.1%,0.2
