Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-03-16 13:30:00,False,1.450M,1.310M,1.321M,0.14
2023-02-16 14:30:00,False,1.309M,1.360M,1.371M,-0.051
2023-02-16 13:30:00,False,1.309M,1.360M,1.371M,-0.051
2023-01-19 13:30:00,False,1.382M,1.359M,1.401M,0.023
2022-12-20 13:30:00,False,1.427M,1.400M,1.434M,0.027
2022-11-17 13:30:00,False,1.425M,1.410M,1.488M,0.015
2022-10-19 12:30:00,False,1.439M,1.475M,1.566M,-0.036
2022-09-20 12:30:00,False,1.575M,1.445M,1.404M,0.13
2022-08-16 12:30:00,False,1.446M,1.540M,1.599M,-0.094
2022-07-19 12:30:00,False,1.559M,1.580M,1.591M,-0.021
2022-06-16 12:30:00,False,1.549M,1.701M,1.810M,-0.152
2022-05-18 12:30:00,False,1.724M,1.765M,1.728M,-0.041
2022-04-19 12:30:00,False,1.793M,1.745M,1.788M,0.048
2022-03-17 12:30:00,False,1.769M,1.690M,1.657M,0.079
2022-02-17 13:30:00,False,1.638M,1.700M,1.708M,-0.062
2022-01-19 13:30:00,False,1.702M,1.650M,1.678M,0.052
2021-12-16 13:30:00,False,1.679M,1.568M,1.502M,0.111
2021-11-17 13:30:00,False,1.520M,1.576M,1.530M,-0.056
2021-10-19 12:30:00,False,1.555M,1.620M,1.580M,-0.065
2021-09-21 12:30:00,False,1.615M,1.555M,1.554M,0.06
2021-08-18 12:30:00,False,1.534M,1.600M,1.650M,-0.066
2021-07-20 12:30:00,False,1.643M,1.590M,1.546M,0.053
2021-06-16 12:30:00,False,1.572M,1.630M,1.517M,-0.058
2021-05-18 12:30:00,False,1.569M,1.710M,1.733M,-0.141
2021-04-16 12:30:00,False,1.739M,1.613M,1.457M,0.126
2021-03-17 12:30:00,False,1.421M,1.560M,1.584M,-0.139
2021-02-18 13:30:00,False,1.580M,1.658M,1.680M,-0.078
2021-01-21 13:30:00,False,1.669M,1.560M,1.578M,0.109
2020-12-17 13:30:00,False,1.547M,1.530M,1.528M,0.017
2020-11-18 13:30:00,False,1.530M,1.460M,1.459M,0.07
2020-10-20 12:30:00,False,1.415M,1.457M,1.388M,-0.042
2020-09-17 12:30:00,False,1.416M,1.478M,1.492M,-0.062
2020-08-18 12:30:00,False,1.496M,1.240M,1.220M,0.256
2020-07-17 12:30:00,False,1.186M,1.169M,1.011M,0.017
2020-06-17 12:30:00,False,0.974M,1.095M,0.934M,-0.121
2020-05-19 12:30:00,False,0.891M,0.927M,1.276M,-0.036
2020-04-16 12:30:00,False,1.216M,1.300M,1.564M,-0.084
2020-03-18 12:30:00,False,1.599M,1.500M,1.624M,0.099
2020-02-19 13:30:00,False,1.567M,1.425M,1.626M,0.142
2020-01-17 13:30:00,False,1.608M,1.375M,1.375M,0.233
2019-12-17 13:30:00,False,1.365M,1.345M,1.323M,0.02
2019-11-19 13:30:00,False,1.314M,1.320M,1.266M,-0.006
2019-10-17 12:30:00,False,1.256M,1.320M,1.386M,-0.064
2019-09-18 12:30:00,False,1.364M,1.250M,1.215M,0.114
2019-08-16 12:30:00,False,1.191M,1.257M,1.241M,-0.066
2019-07-17 12:30:00,False,1.253M,1.261M,1.265M,-0.008
2019-06-18 12:30:00,False,1.269M,1.239M,1.281M,0.03
2019-05-16 12:30:00,False,1.235M,1.205M,1.168M,0.03
2019-04-19 12:30:00,False,1.139M,1.230M,1.142M,-0.091
2019-03-26 12:30:00,False,1.162M,1.213M,1.273M,-0.051
2019-03-08 13:30:00,False,1.230M,1.197M,1.037M,0.033
2019-02-26 13:30:00,False,1.078M,1.250M,1.214M,-0.172
2018-12-18 13:30:00,False,1.256M,1.225M,1.217M,0.031
2018-11-20 13:30:00,False,1.228M,1.225M,1.210M,0.003
2018-10-17 12:30:00,False,1.201M,1.220M,1.268M,-0.019
2018-09-19 12:30:00,False,1.282M,1.235M,1.174M,0.047
2018-08-16 12:30:00,False,1.168M,1.270M,1.158M,-0.102
2018-07-18 12:30:00,False,1.173M,1.320M,1.337M,-0.147
2018-06-19 12:30:00,False,1.350M,1.310M,1.286M,0.04
2018-05-16 12:30:00,False,1.287M,1.310M,1.336M,-0.023
2018-04-17 12:30:00,False,1.319M,1.270M,1.295M,0.049
2018-03-16 12:30:00,False,1.236M,1.290M,1.329M,-0.054
2018-02-16 13:30:00,False,1.326M,1.234M,1.209M,0.092
2018-01-18 13:30:00,False,1.192M,1.275M,1.299M,-0.083
2017-12-19 13:30:00,False,1.297M,1.250M,1.256M,0.047
2017-11-17 13:30:00,False,1.290M,1.185M,1.135M,0.105
2017-10-18 12:30:00,False,1.127M,1.180M,1.183M,-0.053
2017-09-19 12:30:00,False,1.180M,1.175M,1.190M,0.005
2017-08-16 12:30:00,False,1.155M,1.220M,1.213M,-0.065
2017-07-19 12:30:00,False,1.215M,1.155M,1.122M,0.06
2017-06-16 12:30:00,False,1.092M,1.215M,1.156M,-0.123
2017-05-16 12:30:00,False,1.172M,1.260M,1.203M,-0.088
2017-04-18 12:30:00,False,1.215M,1.250M,1.303M,-0.035
2017-03-16 12:30:00,False,1.288M,1.260M,1.251M,0.028
2017-02-16 13:30:00,False,1.246M,1.222M,1.279M,0.024
2017-01-19 13:30:00,False,1.226M,1.200M,1.102M,0.026
