Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2024-01-25 15:00:00,False,8.0%, ,-9.0%,
2023-12-22 15:00:00,False,-12.2%, ,-4.0%,
2023-11-27 15:00:00,False,-5.6%,-4.5%,8.6%,-1.1
2023-10-25 14:00:00,False,12.3%, ,-8.2%,
2023-09-26 14:00:00,False,-8.7%, ,8.0%,
2023-08-23 14:00:00,False,4.4%,0.2%,-2.8%,4.2
2023-07-26 14:00:00,False,-2.5%,-0.7%,6.6%,-1.8
2023-06-27 14:00:00,False,12.2%, ,3.5%,
2023-05-23 14:00:00,False,4.1%,3.3%,4.0%,0.8
2023-04-25 14:00:00,False,9.6%,1.1%,-3.9%,8.5
2023-03-23 15:00:00,False,1.1%, ,1.8%,
2023-02-24 16:00:00,False,7.2%, ,7.2%,
2023-02-24 15:00:00,False,7.2%, ,7.2%,
2023-01-26 15:00:00,False,2.3%,-4.7%,0.7%,7.0
2022-12-23 15:00:00,False,5.8%,-4.7%,8.2%,10.5
2022-11-23 15:00:00,False,7.5%, ,-11.0%,
2022-10-26 14:00:00,False,-10.9%,-13.9%,24.7%,3.0
2022-09-27 14:00:00,False,28.8%, ,-8.6%,
2022-08-23 14:00:00,False,-12.6%, ,-7.1%,
2022-07-26 14:00:00,False,-8.1%, ,6.3%,
2022-06-24 14:00:00,False,10.7%, ,-12.0%,
2022-05-24 14:00:00,False,-16.6%, ,-10.5%,
2022-04-26 14:00:00,False,-8.6%, ,-1.2%,
2022-03-23 14:00:00,False,-2.0%, ,-8.4%,
2022-02-24 15:00:00,False,-4.5%, ,12.0%,
2022-01-26 15:00:00,False,11.9%, ,11.7%,
2021-12-23 15:00:00,False,12.4%, ,-8.4%,
2021-11-24 15:00:00,False,0.4%, ,7.1%,
2021-10-26 14:00:00,False,14.0%, ,-1.4%,
2021-09-24 14:00:00,False,1.5%, ,6.4%,
2021-08-24 14:00:00,False,1.0%,3.0%,-2.6%,-2.0
2021-07-26 14:00:00,False,-6.6%,3.5%,-7.8%,-10.1
2021-06-23 14:00:00,False,-5.9%, ,-7.8%,
2021-05-25 14:00:00,False,-5.9%, ,7.4%,
2021-04-23 14:00:00,False,20.7%,12.0%,-16.2%,8.7
2021-03-23 14:00:00,False,-18.2%,-6.5%,3.2%,-11.7
2021-02-24 15:00:00,False,4.3%,2.1%,5.5%,2.2
2021-01-28 15:00:00,False,1.6%,1.9%,-12.6%,-0.3
2020-12-23 15:00:00,False,-11.0%,-0.3%,-2.1%,-10.7
2020-11-25 15:00:00,False,-0.3%,1.5%,0.1%,-1.8
2020-10-26 14:00:00,False,-3.5%,2.8%,3.0%,-6.3
2020-09-24 14:00:00,False,4.8%,-0.1%,14.7%,4.9
2020-08-25 14:00:00,False,13.9%,1.3%,15.1%,12.6
2020-07-24 14:00:00,False,13.8%,4.0%,19.4%,9.8
2020-06-23 14:00:00,False,16.6%,2.9%,-5.2%,13.7
2020-05-26 14:00:00,False,0.6%,-21.9%,-13.7%,22.5
2020-04-23 14:00:00,False,-15.4%,-15.0%,-4.6%,-0.4
2020-03-24 14:00:00,False,-4.4%,-2.0%,10.5%,-2.4
2020-02-26 15:00:00,False,7.9%,3.5%,2.3%,4.4
2020-01-27 15:00:00,False,-0.4%,1.5%,-1.1%,-1.9
2019-12-23 15:00:00,False,1.3%,-0.3%,-2.7%,1.6
2019-11-26 15:00:00,False,-0.7%,1.1%,4.5%,-1.8
2019-10-24 14:00:00,False,-0.7%,-0.7%,6.2%,0.0
2019-09-25 14:00:00,False,7.1%,3.5%,-8.6%,3.6
2019-08-23 14:00:00,False,-12.8%,-0.2%,20.9%,-12.6
2019-07-24 14:00:00,False,7.0%,6.0%,-8.2%,1.0
2019-06-25 14:00:00,False,-7.8%,1.9%,-3.7%,-9.7
2019-05-23 14:00:00,False,-6.9%,-2.8%,8.1%,-4.1
2019-04-23 14:00:00,False,4.5%,-3.0%,5.9%,7.5
2019-03-29 14:00:00,False,4.9%,1.3%,8.2%,3.6
2019-03-14 14:00:00,False,-6.9%,-0.6%,3.8%,-6.3
2019-03-05 15:00:00,False,3.7%,-8.7%,9.1%,12.4
2019-01-31 15:00:00,False,16.9%,2.9%,-8.3%,14.0
2018-11-28 15:00:00,False,-8.9%,3.7%,1.0%,-12.6
2018-10-24 14:00:00,False,-5.5%,-1.4%,-3.0%,-4.1
