Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-02-24 15:00:00,False,670K,620K,625K,50.0
2023-01-26 15:00:00,False,616K,617K,602K,-1.0
2022-12-23 15:00:00,False,640K,600K,605K,40.0
2022-11-23 15:00:00,False,632K,570K,588K,62.0
2022-10-26 14:00:00,False,603K,585K,677K,18.0
2022-09-27 14:00:00,False,685K,500K,532K,185.0
2022-08-23 14:00:00,False,511K,575K,585K,-64.0
2022-07-26 14:00:00,False,590K,660K,642K,-70.0
2022-06-24 14:00:00,False,696K,588K,629K,108.0
2022-05-24 14:00:00,False,591K,750K,709K,-159.0
2022-04-26 14:00:00,False,763K,765K,835K,-2.0
2022-03-23 14:00:00,False,772K,810K,788K,-38.0
2022-02-24 15:00:00,False,801K,806K,839K,-5.0
2022-01-26 15:00:00,False,811K,760K,725K,51.0
2021-12-23 15:00:00,False,744K,770K,662K,-26.0
2021-11-24 15:00:00,False,745K,800K,742K,-55.0
2021-10-26 14:00:00,False,800K,760K,702K,40.0
2021-09-24 14:00:00,False,740K,714K,729K,26.0
2021-08-24 14:00:00,False,708K,700K,701K,8.0
2021-07-26 14:00:00,False,676K,800K,724K,-124.0
2021-06-23 14:00:00,False,769K,870K,817K,-101.0
2021-05-25 14:00:00,False,863K,970K,917K,-107.0
2021-04-23 14:00:00,False,"1,021K",886K,846K,135.0
2021-03-23 14:00:00,False,775K,875K,948K,-100.0
2021-02-24 15:00:00,False,923K,855K,885K,68.0
2021-01-28 15:00:00,False,842K,865K,829K,-23.0
2020-12-23 15:00:00,False,841K,995K,945K,-154.0
2020-11-25 15:00:00,False,999K,970K,"1,002K",29.0
2020-10-26 14:00:00,False,959K,"1,025K",994K,-66.0
2020-09-24 14:00:00,False,"1,011K",895K,965K,116.0
2020-08-25 14:00:00,False,901K,785K,791K,116.0
2020-07-24 14:00:00,False,776K,700K,682K,76.0
2020-06-23 14:00:00,False,676K,640K,580K,36.0
2020-05-26 14:00:00,False,623K,490K,619K,133.0
2020-04-23 14:00:00,False,627K,645K,741K,-18.0
2020-03-24 14:00:00,False,765K,750K,800K,15.0
2020-02-26 15:00:00,False,764K,710K,708K,54.0
2020-01-27 15:00:00,False,694K,730K,697K,-36.0
2019-12-23 15:00:00,False,719K,734K,710K,-15.0
2019-11-26 15:00:00,False,733K,709K,738K,24.0
2019-10-24 14:00:00,False,701K,710K,706K,-9.0
2019-09-25 14:00:00,False,713K,660K,666K,53.0
2019-08-23 14:00:00,False,635K,649K,728K,-14.0
2019-07-24 14:00:00,False,646K,660K,604K,-14.0
2019-06-25 14:00:00,False,626K,680K,679K,-54.0
2019-05-23 14:00:00,False,673K,675K,723K,-2.0
2019-04-23 14:00:00,False,692K,647K,662K,45.0
2019-03-29 14:00:00,False,667K,620K,636K,47.0
2019-03-14 14:00:00,False,607K,622K,652K,-15.0
2019-03-05 15:00:00,False,621K,600K,599K,21.0
2019-01-31 15:00:00,False,657K,560K,562K,97.0
2018-11-28 15:00:00,False,544K,583K,597K,-39.0
2018-10-24 14:00:00,False,553K,627K,585K,-74.0
2018-09-26 14:00:00,False,629K,630K,608K,-1.0
2018-08-23 14:00:00,False,627K,643K,638K,-16.0
2018-07-25 14:00:00,False,631K,669K,666K,-38.0
2018-06-25 14:00:00,False,689K,667K,646K,22.0
2018-05-23 14:00:00,False,662K,680K,672K,-18.0
2018-04-24 14:00:00,False,694K,625K,667K,69.0
2018-03-23 14:00:00,False,618K,623K,622K,-5.0
2018-02-26 15:00:00,False,593K,655K,643K,-62.0
2018-01-25 15:00:00,False,625K,676K,689K,-51.0
2017-12-22 15:00:00,False,733K,654K,624K,79.0
2017-11-27 15:00:00,False,685K,625K,645K,60.0
2017-10-25 14:00:00,False,667K,555K,561K,112.0
2017-09-26 14:00:00,False,560K,588K,580K,-28.0
2017-08-23 14:00:00,False,571K,612K,630K,-41.0
2017-07-26 14:00:00,False,610K,615K,605K,-5.0
2017-06-23 14:00:00,False,610K,597K,593K,13.0
2017-05-23 14:00:00,False,569K,610K,642K,-41.0
2017-04-25 14:00:00,False,621K,583K,587K,38.0
2017-03-23 14:00:00,False,592K,565K,558K,27.0
2017-02-24 15:00:00,False,555K,570K,535K,-15.0
2017-01-26 15:00:00,False,536K,588K,598K,-52.0
