,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-01-26 13:30:00,False,5.6%,2.5%,-1.7%
1,2022-12-23 13:30:00,False,-2.1%,-0.6%,0.7%
2,2022-11-23 13:30:00,False,1.0%,0.4%,0.3%
3,2022-10-27 12:30:00,False,0.4%,0.6%,0.2%
4,2022-09-27 12:30:00,False,-0.2%,-0.4%,-0.1%
5,2022-08-24 12:30:00,False,0.0%,0.6%,2.0%
6,2022-07-27 12:30:00,False,1.9%,-0.5%,0.8%
7,2022-06-27 12:30:00,False,0.7%,0.1%,0.4%
8,2022-05-25 12:30:00,False,0.4%,0.6%,0.6%
9,2022-04-26 12:30:00,False,0.8%,1.0%,-1.7%
10,2022-03-24 12:30:00,False,-2.2%,-0.5%,1.6%
11,2022-02-25 13:30:00,False,1.6%,0.8%,1.2%
12,2022-01-27 13:30:00,False,-0.9%,-0.5%,3.2%
13,2021-12-23 13:30:00,False,2.5%,1.6%,0.1%
14,2021-11-24 13:30:00,False,-0.5%,0.2%,-0.4%
15,2021-10-27 12:30:00,False,-0.4%,-1.1%,1.3%
16,2021-09-27 12:30:00,False,1.8%,0.7%,0.5%
17,2021-08-25 12:30:00,False,-0.1%,-0.3%,0.8%
18,2021-07-27 12:30:00,False,0.8%,2.1%,3.2%
19,2021-06-24 12:30:00,False,2.3%,2.8%,-0.8%
20,2021-05-27 12:30:00,False,-1.3%,0.7%,1.3%
21,2021-04-26 12:30:00,False,0.5%,2.5%,-0.9%
22,2021-03-24 12:30:00,False,-1.1%,0.8%,3.5%
23,2021-02-25 13:30:00,False,3.4%,1.1%,1.2%
24,2021-01-27 13:30:00,False,0.2%,0.9%,1.2%
25,2020-12-23 13:30:00,False,0.9%,0.6%,1.8%
26,2020-11-25 12:30:00,False,1.3%,0.9%,2.1%
27,2020-10-27 12:30:00,False,1.9%,0.5%,0.4%
28,2020-09-25 12:30:00,False,0.4%,1.5%,11.7%
29,2020-08-26 12:30:00,False,11.2%,4.3%,7.7%
30,2020-07-27 12:30:00,False,7.3%,7.2%,15.1%
31,2020-06-25 12:30:00,False,15.8%,10.9%,-18.1%
32,2020-05-28 12:30:00,False,-17.2%,-19.0%,-16.6%
33,2020-04-24 12:30:00,False,-14.4%,-11.9%,1.1%
34,2020-03-25 12:30:00,False,1.2%,-0.8%,0.1%
35,2020-02-27 13:30:00,False,-0.2%,-1.5%,2.9%
36,2020-01-28 13:30:00,False,2.4%,0.4%,-3.1%
37,2019-12-23 13:30:00,False,-2.0%,1.5%,0.2%
38,2019-11-27 13:30:00,False,0.6%,-0.5%,-1.4%
39,2019-10-24 12:30:00,False,-1.1%,-0.5%,0.3%
40,2019-09-27 12:30:00,False,0.2%,-1.1%,2.0%
41,2019-09-05 14:00:00,False,2.0%, ,2.1%
42,2019-08-26 12:30:00,False,2.1%,1.1%,1.8%
43,2019-07-25 12:30:00,False,2.0%,0.8%,-2.3%
44,2019-06-26 12:30:00,False,-1.3%,0.0%,-2.8%
45,2019-05-24 12:30:00,False,-2.1%,-2.0%,1.7%
46,2019-04-25 12:30:00,False,2.7%,0.7%,-1.1%
47,2019-04-02 12:30:00,False,-1.6%,-1.1%,0.1%
48,2019-03-13 12:30:00,False,0.4%,-0.5%,1.3%
49,2019-02-21 13:30:00,False,1.2%,0.8%,1.0%
50,2018-12-21 13:30:00,False,0.8%,1.6%,-4.3%
51,2018-11-21 13:30:00,False,-4.4%,-2.2%,-0.1%
52,2018-10-25 12:30:00,False,0.8%,-1.3%,4.6%
53,2018-09-27 12:30:00,False,4.5%,1.9%,-1.2%
54,2018-09-06 14:00:00,False,-1.7%,-1.7%,-1.7%
55,2018-08-24 12:30:00,False,-1.7%,-0.5%,0.7%
56,2018-07-26 12:30:00,False,1.0%,3.0%,-0.3%
57,2018-07-03 14:00:00,False,-0.4%,-0.5%,-0.6%
58,2018-06-27 12:30:00,False,-0.6%,-0.9%,-1.0%
59,2018-06-04 14:00:00,False,-1.6%,-1.6%,-1.7%
60,2018-05-25 12:30:00,False,-1.7%,-1.4%,2.7%
61,2018-05-03 14:00:00,False,2.6%, ,2.6%
62,2018-04-26 12:30:00,False,2.6%,1.6%,3.5%
63,2018-04-04 14:00:00,False,3.0%,3.1%,3.1%
64,2018-03-23 12:30:00,False,3.1%,1.5%,-3.5%
65,2018-02-27 13:30:00,False,-3.7%,-2.4%,2.6%
66,2018-01-26 13:30:00,False,2.9%,0.8%,1.7%
67,2017-12-22 13:30:00,False,1.3%,2.0%,-0.4%
68,2017-11-22 13:30:00,False,-1.2%,0.3%,2.2%
69,2017-10-25 12:30:00,False,2.2%,1.0%,2.0%
70,2017-09-27 12:30:00,False,1.7%,1.0%,-6.8%
71,2017-08-25 12:30:00,False,-6.8%,-6.0%,6.4%
72,2017-07-27 12:30:00,False,6.5%,3.0%,-0.1%
73,2017-06-26 12:30:00,False,-1.1%,-0.6%,-0.9%
74,2017-05-26 12:30:00,False,-0.7%,-1.2%,2.3%
75,2017-04-27 12:30:00,False,0.7%,1.2%,2.3%
76,2017-03-24 12:30:00,False,1.7%,1.2%,2.3%
77,2017-02-27 13:30:00,False,1.8%,1.7%,-0.8%
78,2017-01-27 13:30:00,False,-0.4%,2.6%,-4.8%
