Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-01-26 13:30:00,False,-0.1%,-0.2%,0.1%,0.1
2022-12-23 13:30:00,False,0.2%,0.1%,0.1%,0.1
2022-11-23 13:30:00,False,0.5%,0.1%,-0.9%,0.4
2022-10-27 12:30:00,False,-0.5%,0.2%,0.3%,-0.7
2022-09-27 12:30:00,False,0.2%,0.2%,0.2%,0.0
2022-08-24 12:30:00,False,0.3%,0.2%,0.3%,0.1
2022-07-27 12:30:00,False,0.3%,0.2%,0.5%,0.1
2022-06-27 12:30:00,False,0.7%,0.3%,0.2%,0.4
2022-05-25 12:30:00,False,0.3%,0.6%,1.1%,-0.3
2022-04-26 12:30:00,False,1.1%,0.6%,-0.5%,0.5
2022-03-24 12:30:00,False,-0.6%,0.6%,0.8%,-1.2
2022-02-25 13:30:00,False,0.7%,0.4%,0.9%,0.3
2022-01-27 13:30:00,False,0.4%,0.4%,1.1%,0.0
2021-12-23 13:30:00,False,0.8%,0.6%,0.3%,0.2
2021-11-24 13:30:00,False,0.5%,0.5%,0.7%,0.0
2021-10-27 12:30:00,False,0.4%,0.4%,0.3%,0.0
2021-09-27 12:30:00,False,0.2%,0.5%,0.8%,-0.3
2021-08-25 12:30:00,False,0.7%,0.5%,0.6%,0.2
2021-07-27 12:30:00,False,0.3%,0.8%,0.5%,-0.5
2021-06-24 12:30:00,False,0.3%,0.8%,1.7%,-0.5
2021-05-27 12:30:00,False,1.0%,0.8%,3.2%,0.2
2021-04-26 12:30:00,False,1.6%,1.6%,-0.3%,0.0
2021-03-24 12:30:00,False,-0.9%,0.6%,1.6%,-1.5
2021-02-25 13:30:00,False,1.4%,0.7%,1.7%,0.7
2021-01-27 13:30:00,False,0.7%,0.5%,0.8%,0.2
2020-12-23 13:30:00,False,0.4%,0.5%,1.9%,-0.1
2020-11-25 13:30:00,False,1.3%,0.5%,1.5%,0.8
2020-10-27 12:30:00,False,0.8%,0.4%,1.0%,0.4
2020-09-25 12:30:00,False,0.4%,1.2%,3.2%,-0.8
2020-08-26 12:30:00,False,2.4%,2.0%,4.0%,0.4
2020-07-27 12:30:00,False,3.3%,3.5%,3.6%,-0.2
2020-06-25 12:30:00,False,4.0%,2.5%,-8.2%,1.5
2020-05-28 12:30:00,False,-7.4%,-14.0%,-1.7%,6.6
2020-04-24 12:30:00,False,-0.2%,-5.8%,-0.7%,5.6
2020-03-25 12:30:00,False,-0.6%,-0.4%,0.6%,-0.2
2020-02-27 13:30:00,False,0.9%,0.2%,0.1%,0.7
2020-01-28 13:30:00,False,-0.1%,0.2%,-0.4%,-0.3
2019-12-23 13:30:00,False,0.0%,0.1%,0.3%,-0.1
2019-11-27 13:30:00,False,0.6%,0.2%,-0.4%,0.4
2019-10-24 12:30:00,False,-0.3%,-0.2%,0.3%,-0.1
2019-09-27 12:30:00,False,0.5%,0.2%,-0.5%,0.3
2019-08-26 12:30:00,False,-0.4%,0.1%,0.8%,-0.5
2019-07-25 12:30:00,False,1.2%,0.2%,0.5%,1.0
2019-06-26 12:30:00,False,0.3%,0.1%,-0.1%,0.2
2019-05-24 12:30:00,False,0.0%,0.2%,-0.5%,-0.2
2019-04-25 12:30:00,False,0.4%,0.2%,-0.2%,0.2
2019-04-02 12:30:00,False,0.1%,0.3%,-0.1%,-0.2
2019-03-13 12:30:00,False,-0.1%,0.1%,0.3%,-0.2
2019-02-21 13:30:00,False,0.1%,0.2%,-0.2%,-0.1
2018-12-21 13:30:00,False,-0.3%,0.3%,0.4%,-0.6
2018-11-21 13:30:00,False,0.1%,0.4%,-0.6%,-0.3
2018-10-25 12:30:00,False,0.1%,0.5%,0.3%,-0.4
2018-09-27 12:30:00,False,0.1%,0.4%,0.2%,-0.3
2018-08-24 12:30:00,False,0.2%,0.5%,0.1%,-0.3
2018-07-26 12:30:00,False,0.4%,0.5%,0.3%,-0.1
2018-06-27 12:30:00,False,-0.3%,0.5%,1.9%,-0.8
2018-05-25 12:30:00,False,0.9%,0.5%,0.4%,0.4
2018-04-26 12:30:00,False,0.0%,0.5%,0.9%,-0.5
2018-03-23 12:30:00,False,1.2%,0.5%,-0.2%,0.7
2018-02-27 13:30:00,False,-0.3%,0.4%,0.7%,-0.7
2018-01-26 13:30:00,False,0.6%,0.5%,0.3%,0.1
2017-12-22 13:30:00,False,-0.1%,0.5%,1.3%,-0.6
2017-11-22 13:30:00,False,0.4%,0.5%,1.1%,-0.1
2017-10-25 12:30:00,False,0.7%,0.5%,0.7%,0.2
2017-09-27 12:30:00,False,0.2%,0.2%,0.8%,0.0
2017-08-25 12:30:00,False,0.5%,0.4%,0.1%,0.1
2017-07-27 12:30:00,False,0.2%,0.4%,0.6%,-0.2
2017-06-26 12:30:00,False,0.1%,0.5%,-0.5%,-0.4
2017-05-26 12:30:00,False,-0.4%,0.5%,-0.2%,-0.9
2017-04-27 12:30:00,False,-0.2%,0.4%,0.7%,-0.6
2017-03-24 12:30:00,False,0.4%,0.5%,0.2%,-0.1
2017-02-27 13:30:00,False,-0.2%,0.5%,0.9%,-0.7
2017-01-27 13:30:00,False,0.5%,0.5%,1.0%,0.0
