,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-01-26 13:30:00,True,-90.27B, ,-82.93B
1,2022-12-27 13:30:00,True,-83.35B,-96.90B,-98.80B
2,2022-11-30 13:30:00,True,-99.00B,-90.20B,-92.22B
3,2022-10-26 12:30:00,False,-92.22B,-87.50B,-87.28B
4,2022-09-28 12:30:00,False,-87.30B, ,-90.19B
5,2022-08-26 12:30:00,False,-89.06B,-98.50B,-98.59B
6,2022-07-27 12:30:00,False,-98.18B,-103.20B,-104.04B
7,2022-06-28 12:30:00,False,-104.31B, ,-106.70B
8,2022-05-27 12:30:00,False,-105.94B, ,-125.94B
9,2022-04-27 12:30:00,False,-125.32B, ,-106.35B
10,2022-03-28 12:30:00,False,-106.59B, ,-107.57B
11,2022-02-28 13:30:00,False,-107.63B,-99.60B,-100.47B
12,2022-01-26 13:30:00,True,-100.96B,-96.10B,-98.04B
13,2021-12-29 13:30:00,False,-97.78B,-89.00B,-83.20B
14,2021-11-24 13:30:00,True,-82.89B,-94.90B,-97.03B
15,2021-10-27 12:30:00,False,-96.25B, ,-88.16B
16,2021-09-28 12:30:00,False,-87.60B, ,-86.82B
17,2021-08-27 12:30:00,False,-86.38B, ,-92.05B
18,2021-07-28 12:30:00,False,-91.21B, ,-88.16B
19,2021-06-24 12:30:00,False,-88.11B, ,-85.73B
20,2021-05-28 12:30:00,False,-85.23B, ,-91.98B
21,2021-04-28 12:30:00,False,-90.59B, ,-87.07B
22,2021-03-26 12:30:00,False,-86.72B, ,-84.58B
23,2021-02-26 13:30:00,False,-83.74B, ,-83.19B
24,2021-01-28 13:30:00,False,-82.47B, ,-85.49B
25,2020-12-30 13:30:00,False,-84.82B, ,-80.42B
26,2020-11-25 13:30:00,True,-80.29B, ,-79.36B
27,2020-10-28 12:30:00,False,-79.37B, ,-83.11B
28,2020-09-29 12:30:00,False,-82.94B, ,-80.11B
29,2020-08-28 12:30:00,False,-79.32B, ,-70.99B
30,2020-07-29 12:30:00,True,-70.64B, ,-75.26B
31,2020-06-25 12:30:00,False,-74.34B, ,-70.73B
32,2020-05-29 12:30:00,False,-69.68B, ,-64.98B
33,2020-04-28 12:30:00,True,-64.22B, ,-59.89B
34,2020-03-26 12:30:00,True,-59.89B, ,-65.90B
35,2020-02-28 13:30:00,True,-65.50B, ,-68.67B
36,2020-01-29 13:30:00,True,-68.33B,-68.75B,-62.99B
37,2019-12-30 13:30:00,True,-63.19B,-68.75B,-66.53B
38,2019-11-26 13:30:00,True,-66.53B,-71.30B,-70.55B
39,2019-10-28 12:30:00,False,-70.39B, ,-73.06B
40,2019-09-26 12:30:00,True,-72.83B,-77.33B,-72.46B
41,2019-08-29 12:30:00,False,-72.34B,-74.00B,-74.16B
42,2019-07-25 12:30:00,False,-74.17B,-72.40B,-74.55B
43,2019-06-26 12:30:00,False,-74.55B,-71.80B,-70.92B
44,2019-05-30 12:30:00,False,-72.12B,-72.00B,-71.33B
45,2019-05-03 12:30:00,False,-71.45B,-73.00B,-80.38B
46,2019-02-27 13:30:00,False,-79.49B, ,-77.25B
47,2018-11-28 13:30:00,False,-77.25B,-76.70B,-76.25B
48,2018-10-25 12:30:00,False,-76.04B,-74.90B,-75.46B
49,2018-09-27 12:30:00,True,-75.83B,-70.60B,-72.05B
50,2018-08-28 12:30:00,False,-72.20B,-68.60B,-67.92B
51,2018-07-26 12:30:00,False,-68.33B,-67.00B,-64.77B
52,2018-06-27 12:30:00,True,-64.85B,-68.90B,-67.34B
53,2018-05-30 12:30:00,False,-68.19B,-71.20B,-68.59B
54,2018-04-26 12:30:00,False,-68.04B,-74.80B,-75.88B
55,2018-03-28 12:30:00,False,-75.35B,-74.10B,-75.26B
56,2018-02-27 13:30:00,True,-74.40B,-72.30B,-71.58B
57,2018-01-26 13:30:00,False,-71.58B,-68.60B,-69.99B
58,2017-12-28 13:30:00,False,-69.68B,-67.60B,-68.10B
59,2017-11-28 13:30:00,False,-68.30B,-65.00B,-64.10B
60,2017-10-26 12:30:00,False,-64.14B,-63.80B,-62.94B
61,2017-09-28 12:30:00,False,-62.94B,-65.00B,-65.10B
62,2017-08-28 12:30:00,False,-65.10B,-64.50B,-64.01B
63,2017-07-27 12:30:00,False,-63.86B,-65.00B,-65.90B
64,2017-06-28 12:30:00,False,-65.90B,-66.20B,-67.14B
65,2017-05-25 12:30:00,False,-67.55B,-64.60B,-65.05B
66,2017-04-27 12:30:00,False,-64.81B,-65.50B,-63.90B
67,2017-03-28 12:30:00,False,-64.80B,-66.60B,-68.84B
68,2017-02-28 13:30:00,False,-69.20B,-66.00B,-64.40B
69,2017-01-26 13:30:00,False,-65.00B,-64.50B,-65.30B
