Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-02-01 15:00:00,False,-0.4%,-0.1%,0.5%,-0.3
2023-01-03 15:00:00,False,0.2%,-0.4%,-0.2%,0.6
2022-12-01 15:00:00,False,-0.3%,-0.3%,0.1%,0.0
2022-11-01 14:00:00,False,0.2%,-0.5%,-0.6%,0.7
2022-10-03 14:00:00,False,-0.7%,-0.3%,-0.6%,-0.4
2022-09-01 14:00:00,False,-0.4%,-0.4%,-0.5%,0.0
2022-08-01 14:00:00,False,-1.1%,0.2%,0.1%,-1.3
2022-07-01 14:00:00,False,-0.1%,0.4%,0.8%,-0.5
2022-06-01 14:00:00,False,0.2%,0.5%,0.3%,-0.3
2022-05-02 14:00:00,False,0.1%,0.7%,0.5%,-0.6
2022-04-01 14:00:00,False,0.5%,1.0%,1.6%,-0.5
2022-03-01 15:00:00,False,1.3%,0.2%,0.8%,1.1
2022-02-01 15:00:00,False,0.2%,0.6%,0.6%,-0.4
2022-01-03 15:00:00,False,0.4%,0.6%,0.4%,-0.2
2021-12-01 15:00:00,False,0.2%,0.4%,-0.1%,-0.2
2021-11-01 14:00:00,False,-0.5%,0.4%,0.1%,-0.9
2021-10-01 14:00:00,False,0.0%,0.3%,0.3%,-0.3
2021-09-01 14:00:00,False,0.3%,0.2%,0.1%,0.1
2021-08-02 14:00:00,False,0.1%,0.4%,-0.2%,-0.3
2021-07-01 14:00:00,False,-0.3%,0.4%,0.1%,-0.7
2021-06-01 14:00:00,False,0.2%,0.5%,1.0%,-0.3
2021-05-03 14:00:00,False,0.2%,1.9%,-0.6%,-1.7
2021-04-01 14:00:00,False,-0.8%,-1.0%,1.2%,0.2
2021-03-01 15:00:00,False,1.7%,0.8%,1.1%,0.9
2021-02-01 15:00:00,False,1.0%,0.9%,1.1%,0.1
2021-01-04 15:00:00,False,0.9%,1.0%,1.6%,-0.1
2020-12-01 15:00:00,False,1.3%,0.8%,-0.5%,0.5
2020-11-02 15:00:00,False,0.3%,1.0%,0.8%,-0.7
2020-10-01 14:00:00,False,1.4%,0.8%,0.7%,0.6
2020-09-01 14:00:00,False,0.1%,1.0%,-0.5%,-0.9
2020-08-03 14:00:00,False,-0.7%,1.0%,-1.7%,-1.7
2020-07-01 14:00:00,False,-2.1%,1.0%,-3.5%,-3.1
2020-06-01 14:00:00,False,-2.9%,-6.0%,0.9%,3.1
2020-05-01 14:00:00,False,0.9%,-3.5%,-2.5%,4.4
2020-04-01 14:00:00,False,-1.3%,0.5%,2.8%,-1.8
2020-03-02 15:00:00,False,1.8%,0.6%,0.2%,1.2
2020-02-03 15:00:00,False,-0.2%,0.5%,0.7%,-0.7
2020-01-03 15:00:00,False,0.6%,0.3%,0.1%,0.3
2019-12-02 15:00:00,False,-0.8%,0.4%,-0.3%,-1.2
2019-11-01 14:00:00,False,0.5%,0.2%,-0.3%,0.3
2019-10-01 14:00:00,False,0.1%,0.5%,0.1%,-0.4
2019-09-03 14:00:00,False,0.1%,0.3%,-0.7%,-0.2
2019-08-01 14:00:00,False,-1.3%,0.3%,-0.5%,-1.6
2019-07-01 14:00:00,False,-0.8%,0.1%,0.4%,-0.9
2019-06-03 14:00:00,False,0.0%,0.4%,0.1%,-0.4
2019-05-01 14:00:00,False,-0.9%,0.3%,1.0%,-1.2
2019-04-01 14:00:00,False,1.0%,-0.2%,2.5%,1.2
2019-03-13 14:00:00,False,1.3%,0.4%,-0.8%,0.9
2019-03-04 15:00:00,False,-0.6%,0.1%,0.8%,-0.7
2019-02-01 15:00:00,False,0.8%,0.2%,0.1%,0.6
2018-12-03 15:00:00,False,-0.1%,0.4%,-0.1%,-0.5
2018-11-01 14:00:00,False,0.0%,0.1%,0.8%,-0.1
2018-10-01 14:00:00,False,0.1%,0.4%,0.2%,-0.3
2018-09-04 14:00:00,False,0.1%,0.5%,-0.8%,-0.4
2018-08-01 14:00:00,False,-1.1%,0.3%,1.3%,-1.4
2018-07-02 14:00:00,False,0.4%,0.5%,0.9%,-0.1
2018-06-01 14:00:00,False,1.8%,0.9%,-1.7%,0.9
2018-05-01 14:00:00,False,-1.7%,0.5%,1.0%,-2.2
2018-04-02 14:00:00,False,0.1%,0.5%,0.0%,-0.4
2018-03-01 15:00:00,False,0.0%,0.3%,0.8%,-0.3
2018-02-01 15:00:00,False,0.7%,0.4%,0.6%,0.3
2018-01-03 15:00:00,False,0.8%,0.6%,0.9%,0.2
2017-12-01 15:00:00,False,1.4%,0.5%,0.3%,0.9
2017-11-01 14:00:00,False,0.3%,-0.1%,0.1%,0.4
2017-10-02 14:00:00,False,0.5%,0.4%,-1.2%,0.1
2017-09-01 14:00:00,False,-0.6%,0.5%,-1.4%,-1.1
2017-08-01 14:00:00,False,-1.3%,0.4%,0.3%,-1.7
2017-07-03 14:00:00,False,0.0%,0.3%,-0.7%,-0.3
2017-06-01 14:00:00,False,-1.4%,0.5%,1.1%,-1.9
2017-05-01 14:00:00,False,-0.2%,0.4%,1.8%,-0.6
2017-04-03 14:00:00,False,0.8%,1.0%,-0.4%,-0.2
2017-03-01 15:00:00,False,-1.0%,0.6%,0.1%,-1.6
2017-02-01 15:00:00,False,-0.2%,0.2%,0.9%,-0.4
2017-01-03 15:00:00,False,0.9%,0.6%,0.6%,0.3
