Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-01-31 14:30:00,False,1.0%,1.1%,1.2%,-0.1
2023-01-31 13:30:00,False,1.0%,1.1%,1.2%,-0.1
2022-10-28 12:30:00,False,1.2%,1.2%,1.3%,0.0
2022-07-29 12:30:00,False,1.3%,1.2%,1.4%,0.1
2022-04-29 12:30:00,False,1.4%,1.1%,1.0%,0.3
2022-01-28 13:30:00,False,1.0%,1.2%,1.3%,-0.2
2021-10-29 12:30:00,False,1.3%,0.9%,0.7%,0.4
2021-07-30 12:30:00,False,0.7%,0.9%,0.9%,-0.2
2021-04-30 12:30:00,False,0.9%,0.7%,0.7%,0.2
2021-01-29 13:30:00,False,0.7%,0.5%,0.5%,0.2
2020-10-30 12:30:00,False,0.5%,0.5%,0.5%,0.0
2020-07-31 12:30:00,False,0.5%,0.6%,0.8%,-0.1
2020-04-30 12:30:00,False,0.8%,0.6%,0.7%,0.2
2020-01-31 13:30:00,False,0.7%,0.7%,0.7%,0.0
2019-10-31 12:30:00,False,0.7%,0.7%,0.6%,0.0
2019-07-31 12:30:00,False,0.6%,0.7%,0.7%,-0.1
2019-04-30 12:30:00,False,0.7%,0.7%,0.7%,0.0
2019-01-31 13:30:00,False,0.7%,0.8%,0.8%,-0.1
2018-10-31 12:30:00,False,0.8%,0.7%,0.6%,0.1
2018-07-31 12:30:00,False,0.6%,0.7%,0.8%,-0.1
2018-04-27 12:30:00,False,0.8%,0.7%,0.6%,0.1
2018-01-31 13:30:00,False,0.6%,0.6%,0.7%,0.0
2017-10-31 12:30:00,False,0.7%,0.7%,0.5%,0.0
2017-07-28 12:30:00,False,0.5%,0.6%,0.8%,-0.1
2017-04-28 12:30:00,False,0.8%,0.6%,0.5%,0.2
2017-01-31 13:30:00,False,0.5%,0.6%,0.6%,-0.1
