Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-03-23 13:30:00,False,191K,197K,192K,-6.0
2023-03-16 13:30:00,False,192K,205K,212K,-13.0
2023-03-09 14:30:00,False,211K,195K,190K,16.0
2023-03-02 14:30:00,False,190K,195K,192K,-5.0
2023-02-23 14:30:00,False,192K,200K,195K,-8.0
2023-02-23 13:30:00,False,192K,200K,195K,-8.0
2023-02-16 13:30:00,False,194K,200K,195K,-6.0
2023-02-09 13:30:00,False,196K,190K,183K,6.0
2023-02-02 13:30:00,False,183K,200K,186K,-17.0
2023-01-26 13:30:00,False,186K,205K,192K,-19.0
2023-01-19 13:30:00,False,190K,214K,205K,-24.0
2023-01-12 13:30:00,False,205K,215K,206K,-10.0
2023-01-05 13:30:00,False,204K,225K,223K,-21.0
2022-12-29 13:30:00,False,225K,225K,216K,0.0
2022-12-22 13:30:00,False,216K,222K,214K,-6.0
2022-12-15 13:30:00,False,211K,230K,231K,-19.0
2022-12-08 13:30:00,False,230K,230K,226K,0.0
2022-12-01 13:30:00,False,225K,235K,241K,-10.0
2022-11-23 13:30:00,False,240K,225K,223K,15.0
2022-11-17 13:30:00,False,222K,225K,226K,-3.0
2022-11-10 13:30:00,False,225K,220K,218K,5.0
2022-11-03 12:30:00,False,217K,220K,218K,-3.0
2022-10-27 12:30:00,False,217K,220K,214K,-3.0
2022-10-20 12:30:00,False,214K,230K,226K,-16.0
2022-10-13 12:30:00,False,228K,225K,219K,3.0
2022-10-06 12:30:00,False,219K,203K,190K,16.0
2022-09-29 12:30:00,False,193K,215K,209K,-22.0
2022-09-22 12:30:00,False,213K,218K,208K,-5.0
2022-09-15 12:30:00,False,213K,226K,218K,-13.0
2022-09-08 12:30:00,False,222K,240K,228K,-18.0
2022-09-01 12:30:00,False,232K,248K,237K,-16.0
2022-08-25 12:30:00,False,243K,253K,245K,-10.0
2022-08-18 12:30:00,False,250K,265K,252K,-15.0
2022-08-11 12:30:00,False,262K,263K,248K,-1.0
2022-08-04 12:30:00,False,260K,259K,254K,1.0
2022-07-28 12:30:00,False,256K,253K,261K,3.0
2022-07-21 12:30:00,False,251K,240K,244K,11.0
2022-07-14 12:30:00,False,244K,235K,235K,9.0
2022-07-07 12:30:00,False,235K,230K,231K,5.0
2022-06-30 12:30:00,False,231K,228K,233K,3.0
2022-06-23 12:30:00,False,229K,227K,231K,2.0
2022-06-16 12:30:00,False,229K,215K,232K,14.0
2022-06-09 12:30:00,False,229K,210K,202K,19.0
2022-06-02 12:30:00,False,200K,210K,211K,-10.0
2022-05-26 12:30:00,False,210K,215K,218K,-5.0
2022-05-19 12:30:00,False,218K,200K,197K,18.0
2022-05-12 12:30:00,False,203K,195K,202K,8.0
2022-05-05 12:30:00,False,200K,182K,181K,18.0
2022-04-28 12:30:00,False,180K,180K,185K,0.0
2022-04-21 12:30:00,False,184K,180K,186K,4.0
2022-04-14 12:30:00,False,185K,171K,167K,14.0
2022-04-07 12:30:00,False,166K,200K,171K,-34.0
2022-03-31 12:30:00,False,202K,197K,188K,5.0
2022-03-24 12:30:00,False,187K,212K,215K,-25.0
2022-03-17 12:30:00,False,214K,220K,229K,-6.0
2022-03-10 13:30:00,False,227K,217K,216K,10.0
2022-03-03 13:30:00,False,215K,226K,233K,-11.0
2022-02-24 13:30:00,False,232K,235K,249K,-3.0
2022-02-17 13:30:00,False,248K,219K,225K,29.0
2022-02-10 13:30:00,False,223K,230K,239K,-7.0
2022-02-03 13:30:00,False,238K,245K,261K,-7.0
2022-01-27 13:30:00,False,260K,260K,290K,0.0
2022-01-20 13:30:00,False,286K,220K,231K,66.0
2022-01-13 13:30:00,False,230K,200K,207K,30.0
2022-01-06 13:30:00,False,207K,197K,200K,10.0
2021-12-30 13:30:00,False,198K,208K,206K,-10.0
2021-12-23 13:30:00,False,205K,205K,205K,0.0
2021-12-16 13:30:00,False,206K,200K,188K,6.0
2021-12-09 13:30:00,False,184K,215K,227K,-31.0
2021-12-02 13:30:00,False,222K,240K,194K,-18.0
2021-11-24 13:30:00,False,199K,260K,270K,-61.0
2021-11-18 13:30:00,False,268K,260K,269K,8.0
2021-11-10 13:30:00,False,267K,265K,271K,2.0
2021-11-04 12:30:00,False,269K,275K,283K,-6.0
2021-10-28 12:30:00,False,281K,290K,291K,-9.0
2021-10-21 12:30:00,False,290K,300K,296K,-10.0
2021-10-14 12:30:00,False,293K,319K,329K,-26.0
2021-10-07 12:30:00,False,326K,348K,364K,-22.0
2021-09-30 12:30:00,False,362K,335K,351K,27.0
2021-09-23 12:30:00,False,351K,320K,335K,31.0
2021-09-16 12:30:00,False,332K,330K,312K,2.0
2021-09-09 12:30:00,False,310K,335K,345K,-25.0
2021-09-02 12:30:00,False,340K,345K,354K,-5.0
2021-08-26 12:30:00,False,353K,350K,349K,3.0
2021-08-19 12:30:00,False,348K,363K,377K,-15.0
2021-08-12 12:30:00,False,375K,375K,387K,0.0
2021-08-05 12:30:00,False,385K,384K,399K,1.0
2021-07-29 12:30:00,False,400K,380K,424K,20.0
2021-07-22 12:30:00,False,419K,350K,368K,69.0
2021-07-15 12:30:00,False,360K,360K,386K,0.0
2021-07-08 12:30:00,False,373K,350K,371K,23.0
2021-07-01 12:30:00,False,364K,390K,415K,-26.0
2021-06-24 12:30:00,False,411K,380K,418K,31.0
2021-06-17 12:30:00,False,412K,359K,375K,53.0
2021-06-10 12:30:00,False,376K,370K,405K,6.0
2021-06-03 12:30:00,False,385K,390K,405K,-5.0
2021-05-27 12:30:00,False,406K,425K,444K,-19.0
2021-05-20 12:30:00,False,444K,450K,478K,-6.0
2021-05-13 12:30:00,False,473K,490K,507K,-17.0
2021-05-06 12:30:00,False,498K,540K,590K,-42.0
2021-04-29 12:30:00,False,553K,549K,566K,4.0
2021-04-22 12:30:00,False,547K,617K,586K,-70.0
2021-04-15 12:30:00,False,576K,700K,769K,-124.0
2021-04-08 12:30:00,False,744K,680K,728K,64.0
2021-04-01 12:30:00,False,719K,680K,658K,39.0
2021-03-25 12:30:00,False,684K,730K,781K,-46.0
2021-03-18 12:30:00,False,770K,700K,725K,70.0
2021-03-11 13:30:00,False,712K,725K,754K,-13.0
2021-03-04 13:30:00,False,745K,750K,736K,-5.0
2021-02-25 13:30:00,False,730K,838K,841K,-108.0
2021-02-18 13:30:00,False,861K,765K,848K,96.0
2021-02-11 13:30:00,False,793K,757K,812K,36.0
2021-02-04 13:30:00,False,779K,830K,812K,-51.0
2021-01-28 13:30:00,False,847K,875K,914K,-28.0
2021-01-21 13:30:00,False,900K,910K,926K,-10.0
2021-01-14 13:30:00,False,965K,795K,784K,170.0
2021-01-07 13:30:00,False,787K,800K,790K,-13.0
2020-12-31 13:30:00,False,787K,833K,806K,-46.0
2020-12-23 13:30:00,False,803K,885K,892K,-82.0
2020-12-17 13:30:00,False,885K,800K,862K,85.0
2020-12-10 13:30:00,False,853K,725K,716K,128.0
2020-12-03 13:30:00,False,712K,775K,787K,-63.0
2020-11-25 13:30:00,False,778K,730K,748K,48.0
2020-11-19 13:30:00,False,742K,707K,711K,35.0
2020-11-12 13:30:00,False,709K,735K,757K,-26.0
2020-11-05 13:30:00,False,751K,732K,758K,19.0
2020-10-29 12:30:00,False,751K,775K,791K,-24.0
2020-10-22 12:30:00,False,787K,860K,842K,-73.0
2020-10-15 12:30:00,False,898K,825K,845K,73.0
2020-10-08 12:30:00,False,840K,820K,849K,20.0
2020-10-01 12:30:00,False,837K,850K,873K,-13.0
2020-09-24 12:30:00,False,870K,840K,866K,30.0
2020-09-17 12:30:00,False,860K,850K,893K,10.0
2020-09-10 12:30:00,False,884K,846K,884K,38.0
2020-09-03 12:30:00,False,881K,950K,"1,011K",-69.0
2020-08-27 12:30:00,False,"1,006K","1,000K","1,104K",6.0
2020-08-20 12:30:00,False,"1,106K",925K,971K,181.0
2020-08-13 12:30:00,False,963K,"1,120K","1,191K",-157.0
2020-08-06 12:30:00,False,"1,186K","1,415K","1,435K",-229.0
2020-07-30 12:30:00,False,"1,434K","1,450K","1,422K",-16.0
2020-07-23 12:30:00,False,"1,416K","1,300K","1,307K",116.0
2020-07-16 12:30:00,False,"1,300K","1,250K","1,310K",50.0
2020-07-09 12:30:00,False,"1,314K","1,375K","1,413K",-61.0
2020-07-02 12:30:00,False,"1,427K","1,355K","1,482K",72.0
2020-06-25 12:30:00,False,"1,480K","1,300K","1,540K",180.0
2020-06-18 12:30:00,False,"1,508K","1,300K","1,566K",208.0
2020-06-11 12:30:00,False,"1,542K","1,550K","1,897K",-8.0
2020-06-04 12:30:00,False,"1,877K","1,800K","2,126K",77.0
2020-05-28 12:30:00,False,"2,123K","2,100K","2,446K",23.0
2020-05-21 12:30:00,False,"2,438K","2,400K","2,687K",38.0
2020-05-14 12:30:00,False,"2,981K","2,500K","3,176K",481.0
2020-05-07 12:30:00,False,"3,169K","3,000K","3,846K",169.0
2020-04-30 12:30:00,False,"3,839K","3,500K","4,442K",339.0
2020-04-23 12:30:00,False,"4,427K","4,200K","5,237K",227.0
2020-04-16 12:30:00,False,"5,245K","5,105K","6,615K",140.0
2020-04-09 12:30:00,False,"6,606K","5,250K","6,867K",1356.0
2020-04-02 12:30:00,False,"6,648K","3,500K","3,307K",3148.0
2020-03-26 12:30:00,False,"3,283K","1,650K",282K,1633.0
2020-03-19 12:30:00,False,281K,220K,211K,61.0
2020-03-12 12:30:00,False,211K,218K,215K,-7.0
2020-03-05 13:30:00,False,216K,215K,219K,1.0
2020-02-27 13:30:00,False,219K,212K,211K,7.0
2020-02-20 13:30:00,False,210K,210K,206K,0.0
2020-02-13 13:30:00,False,205K,210K,203K,-5.0
2020-02-06 13:30:00,False,202K,215K,217K,-13.0
2020-01-30 13:30:00,False,216K,215K,223K,1.0
2020-01-23 13:30:00,False,211K,215K,205K,-4.0
2020-01-16 13:30:00,False,204K,216K,214K,-12.0
2020-01-09 13:30:00,False,214K,220K,223K,-6.0
2020-01-02 13:30:00,False,222K,225K,224K,-3.0
2019-12-26 13:30:00,False,222K,224K,235K,-2.0
2019-12-19 13:30:00,False,234K,225K,252K,9.0
2019-12-12 13:30:00,False,252K,213K,203K,39.0
2019-12-05 13:30:00,False,203K,215K,213K,-12.0
2019-11-27 13:30:00,False,213K,223K,228K,-10.0
2019-11-21 13:30:00,False,227K,219K,227K,8.0
2019-11-14 13:30:00,False,225K,215K,211K,10.0
2019-11-07 13:30:00,False,211K,215K,218K,-4.0
2019-10-31 12:30:00,False,218K,215K,213K,3.0
2019-10-24 12:30:00,False,212K,216K,218K,-4.0
2019-10-17 12:30:00,False,214K,212K,210K,2.0
2019-10-10 12:30:00,False,210K,215K,220K,-5.0
2019-10-03 12:30:00,False,219K,215K,215K,4.0
2019-09-26 12:30:00,False,213K,212K,210K,1.0
2019-09-19 12:30:00,False,208K,213K,206K,-5.0
2019-09-12 12:30:00,False,204K,215K,219K,-11.0
2019-09-05 12:30:00,False,217K,215K,216K,2.0
2019-08-29 12:30:00,False,215K,215K,211K,0.0
2019-08-22 12:30:00,False,209K,216K,221K,-7.0
2019-08-15 12:30:00,False,220K,214K,211K,6.0
2019-08-08 12:30:00,False,209K,215K,217K,-6.0
2019-08-01 12:30:00,False,215K,214K,207K,1.0
2019-07-25 12:30:00,False,206K,220K,216K,-14.0
2019-07-18 12:30:00,False,216K,216K,208K,0.0
2019-07-11 12:30:00,False,209K,220K,222K,-11.0
2019-07-03 12:30:00,False,221K,220K,229K,1.0
