Timestamp,Prelim,Actual,Forecast,Previous
2023-01-17 08:30:00,False,-0.6%,-0.5%,0.1%
2022-12-21 08:30:00,False,0.1%,-0.1%,0.7%
2022-11-16 08:30:00,False,0.7%,0.7%,0.1%
2022-10-19 07:30:00,False,0.1%,-0.1%,-0.3%
2022-09-20 07:30:00,False,-0.3%,-0.1%,0.1%
2022-08-16 07:30:00,False,0.1%,0.1%,0.7%
2022-07-20 07:30:00,False,0.7%,0.9%,1.4%
2022-06-22 07:30:00,False,1.4%,1.0%,0.6%
2022-05-18 07:30:00,False,0.6%,0.5%,1.4%
2022-04-20 07:30:00,False,1.4%,1.0%,1.0%
2022-03-16 07:30:00,False,1.0%,0.9%,0.9%
2022-02-16 08:30:00,False,0.9%,0.6%,-0.1%
2022-01-19 08:30:00,False,-0.1%,-0.1%,0.2%
2021-12-15 08:30:00,False,0.2%,0.2%,0.7%
2021-11-17 08:30:00,False,0.7%,0.7%,0.2%
2021-10-20 07:30:00,False,0.2%,0.1%,0.2%
2021-09-15 07:30:00,False,0.2%,0.1%,0.6%
2021-08-18 07:30:00,False,0.6%,0.3%,0.3%
2021-07-28 07:30:00,False,0.3%,0.4%,0.5%
2021-06-16 07:30:00,False,0.5%,0.4%,0.5%
2021-05-19 07:30:00,False,0.5%,0.4%,0.5%
2021-04-21 07:30:00,False,0.5%,0.6%,0.5%
2021-03-17 07:30:00,False,0.5%,0.7%,0.6%
2021-02-17 08:30:00,False,0.6%,0.4%,-0.2%
2021-01-20 08:30:00,False,-0.2%, ,0.1%
2020-12-16 08:30:00,False,0.1%,0.2%,0.4%
2020-11-18 08:30:00,False,0.4%,0.2%,-0.1%
2020-10-21 07:30:00,False,-0.1%,-0.1%,-0.1%
2020-09-16 07:30:00,False,-0.1%,0.1%,0.0%
2020-08-19 07:30:00,False,0.0%,0.4%,0.8%
2020-07-22 07:30:00,False,0.8%,0.4%,0.3%
2020-06-17 07:30:00,False,0.3%,0.7%,-0.7%
2020-05-20 07:30:00,False,-0.7%,-0.6%,-0.6%
2020-04-22 07:30:00,False,-0.6%,-0.4%,0.4%
2020-03-18 07:30:00,False,0.4%,0.4%,0.3%
2020-02-19 08:30:00,False,0.3%,0.2%,0.0%
2020-01-22 08:30:00,False,0.0%,0.1%,-0.1%
2019-12-18 08:30:00,False,-0.1%,-0.1%,0.3%
2019-11-20 08:30:00,False,0.3%,0.3%,-0.4%
2019-10-16 07:30:00,False,-0.4%,-0.2%,-0.1%
2019-09-18 07:30:00,False,-0.1%,-0.2%,0.5%
2019-08-21 07:30:00,False,0.5%,0.2%,-0.2%
2019-07-17 07:30:00,False,-0.2%,-0.3%,0.4%
2019-06-19 07:30:00,False,0.4%,0.1%,0.4%
2019-05-15 07:30:00,False,0.4%,0.4%,0.7%
2019-04-17 07:30:00,False,0.7%,0.7%,0.7%
2019-03-22 07:30:00,False,0.7%,0.6%,0.1%
2019-02-27 08:30:00,False,0.1%,0.2%,-0.1%
2019-01-18 08:30:00,False,-0.1%,-0.4%,-0.4%
2018-12-19 08:30:00,False,-0.4%,-0.4%,0.3%
2018-11-23 08:30:00,False,0.3%,0.1%,-0.4%
2018-10-19 07:30:00,False,-0.4%,-0.1%,-0.1%
2018-09-21 07:30:00,False,-0.1%,-0.1%,0.5%
2018-08-17 07:30:00,False,0.5%,0.1%,0.1%
2018-07-20 07:30:00,False,0.1%,0.1%,0.1%
2018-06-22 07:30:00,False,0.1%,0.4%,0.3%
2018-05-18 07:30:00,False,0.3%,0.4%,0.3%
2018-04-20 07:30:00,False,0.3%,0.4%,0.6%
2018-03-23 07:30:00,False,0.6%,0.5%,0.7%
2018-02-23 08:30:00,False,0.7%,0.4%,-0.4%
2018-01-26 08:30:00,False,-0.4%,-0.3%,0.3%
2017-12-21 08:30:00,False,0.3%,0.2%,0.1%
2017-11-17 08:30:00,False,0.1%,0.1%,0.2%
2017-10-20 07:30:00,False,0.2%,0.3%,0.1%
2017-09-22 07:30:00,False,0.1%,0.2%,0.0%
2017-08-18 07:30:00,False,0.0%,0.1%,-0.1%
2017-07-21 07:30:00,False,-0.1%,-0.1%,0.1%
2017-06-23 07:30:00,False,0.1%,0.2%,0.4%
2017-05-19 07:30:00,False,0.4%,0.4%,0.2%
2017-04-21 07:30:00,False,0.2%,0.4%,0.2%
2017-03-24 07:30:00,False,0.2%,0.2%,0.9%
2017-02-24 08:30:00,False,0.9%,0.3%,-0.2%
2017-01-20 08:30:00,False,-0.2%,-0.1%,-0.4%
