,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-01-17 13:30:00,False,6.3%,6.4%,6.8%
1,2022-12-21 13:30:00,False,6.8%,6.7%,6.9%
2,2022-11-16 13:30:00,False,6.9%,6.9%,6.9%
3,2022-10-19 12:30:00,False,6.9%,6.8%,7.0%
4,2022-09-20 12:30:00,False,7.0%,7.3%,7.6%
5,2022-08-16 12:30:00,False,7.6%,7.6%,8.1%
6,2022-07-20 12:30:00,False,8.1%,8.4%,7.7%
7,2022-06-22 12:30:00,False,7.7%,7.4%,6.8%
8,2022-05-18 12:30:00,False,6.8%,6.7%,6.7%
9,2022-04-20 12:30:00,False,6.7%,6.1%,5.7%
10,2022-03-16 12:30:00,False,5.7%,5.5%,5.1%
11,2022-02-16 13:30:00,False,5.1%,4.8%,4.8%
12,2022-01-19 13:30:00,False,4.8%,4.8%,4.7%
13,2021-12-15 13:30:00,False,4.7%,4.7%,4.7%
14,2021-11-17 13:30:00,False,4.7%,4.7%,4.4%
15,2021-10-20 12:30:00,False,4.4%,4.3%,4.1%
16,2021-09-15 12:30:00,False,4.1%,3.9%,3.7%
17,2021-08-18 12:30:00,False,3.7%,3.4%,3.1%
18,2021-07-28 12:30:00,False,3.1%,3.2%,3.6%
19,2021-06-16 12:30:00,False,3.6%,3.5%,3.4%
20,2021-05-19 12:30:00,False,3.4%,3.2%,2.2%
21,2021-04-21 12:30:00,False,2.2%,2.3%,1.1%
22,2021-03-17 12:30:00,False,1.1%,1.3%,1.0%
23,2021-02-17 13:30:00,False,1.0%,0.9%,0.7%
24,2021-01-20 13:30:00,False,0.7%,1.0%,1.0%
25,2020-12-16 13:30:00,False,1.0%,0.8%,0.7%
26,2020-11-18 13:30:00,False,0.7%,0.4%,0.5%
27,2020-10-21 12:30:00,False,0.5%,0.4%,0.1%
28,2020-09-16 12:30:00,False,0.1%,0.4%,0.1%
29,2020-08-19 12:30:00,False,0.1%,0.5%,0.7%
30,2020-07-22 12:30:00,False,0.7%,0.3%,-0.4%
31,2020-06-17 12:30:00,False,-0.4%,-0.1%,-0.2%
32,2020-05-20 12:30:00,False,-0.2%,-0.1%,0.9%
33,2020-04-22 12:30:00,False,0.9%,1.2%,2.2%
34,2020-03-18 12:30:00,False,2.2%,2.1%,2.4%
35,2020-02-19 13:30:00,False,2.4%,2.3%,2.2%
36,2020-01-22 13:30:00,False,2.2%,2.2%,2.2%
37,2019-12-18 13:30:00,False,2.2%,2.2%,1.9%
38,2019-11-20 13:30:00,False,1.9%,1.9%,1.9%
39,2019-10-16 12:30:00,False,1.9%,2.1%,1.9%
40,2019-09-18 12:30:00,False,1.9%,2.0%,2.0%
41,2019-08-21 12:30:00,False,2.0%,1.7%,2.0%
42,2019-07-17 12:30:00,False,2.0%,2.0%,2.4%
43,2019-06-19 12:30:00,False,2.4%,2.1%,2.0%
44,2019-05-15 12:30:00,False,2.0%,2.0%,1.9%
45,2019-04-17 12:30:00,False,1.9%,1.9%,1.5%
46,2019-03-22 12:30:00,False,1.5%,1.4%,1.4%
47,2019-02-27 13:30:00,False,1.4%,1.5%,2.0%
48,2019-01-18 13:30:00,False,2.0%,1.7%,1.7%
49,2018-12-19 13:30:00,False,1.7%,1.8%,2.4%
50,2018-11-23 13:30:00,False,2.4%,2.2%,2.2%
51,2018-10-19 12:30:00,False,2.2%,2.7%,2.8%
52,2018-09-21 12:30:00,False,2.8%,2.8%,3.0%
53,2018-08-17 12:30:00,False,3.0%,2.5%,2.5%
54,2018-07-20 12:30:00,False,2.5%,2.4%,2.2%
55,2018-06-22 12:30:00,False,2.2%,2.5%,2.2%
56,2018-05-18 12:30:00,False,2.2%,2.3%,2.3%
57,2018-04-20 12:30:00,False,2.3%,2.4%,2.2%
58,2018-03-23 12:30:00,False,2.2%,2.0%,1.7%
59,2018-02-23 13:30:00,False,1.7%,1.4%,1.9%
60,2018-01-26 13:30:00,False,1.9%,1.9%,2.1%
61,2017-12-21 13:30:00,False,2.1%,2.0%,1.4%
62,2017-11-17 13:30:00,False,1.4%,1.4%,1.6%
63,2017-10-20 12:30:00,False,1.6%,1.6%,1.4%
64,2017-09-22 12:30:00,False,1.4%,1.5%,1.2%
65,2017-08-18 12:30:00,False,1.2%,1.2%,1.0%
66,2017-07-21 12:30:00,False,1.0%,1.0%,1.3%
67,2017-06-23 12:30:00,False,1.3%,1.5%,1.6%
68,2017-05-19 12:30:00,False,1.6%,1.7%,1.6%
69,2017-04-21 12:30:00,False,1.6%,1.8%,2.0%
70,2017-03-24 12:30:00,False,2.0%,2.1%,2.1%
71,2017-02-24 13:30:00,False,2.1%,1.6%,1.5%
72,2017-01-20 13:30:00,False,1.5%,1.7%,1.2%
