,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-01-17 13:30:00,False,-0.3%,0.1%,0.0%
1,2022-12-21 13:30:00,False,0.0%,0.2%,0.4%
2,2022-11-16 13:30:00,False,0.4%, ,0.4%
3,2022-10-19 12:30:00,False,0.4%, ,0.0%
4,2022-09-20 12:30:00,False,0.0%, ,0.5%
5,2022-08-16 12:30:00,False,0.5%, ,0.3%
6,2022-07-20 12:30:00,False,0.3%, ,0.8%
7,2022-06-22 12:30:00,False,0.8%,0.4%,0.7%
8,2022-05-18 12:30:00,False,0.7%,0.4%,1.0%
9,2022-04-20 12:30:00,False,1.0%,0.5%,0.8%
10,2022-03-16 12:30:00,False,0.8%, ,0.8%
11,2022-02-16 13:30:00,False,0.8%,0.0%,0.0%
12,2022-01-19 13:30:00,False,0.0%, ,0.6%
13,2021-12-15 13:30:00,False,0.0%, ,0.6%
14,2021-11-17 13:30:00,False,0.6%, ,0.3%
15,2021-10-20 12:30:00,False,0.3%, ,0.2%
16,2021-09-15 12:30:00,False,0.2%, ,0.6%
17,2021-08-18 12:30:00,False,0.6%, ,0.3%
18,2021-07-28 12:30:00,False,0.3%,0.4%,0.4%
19,2021-06-16 12:30:00,False,0.4%,0.4%,0.5%
20,2021-05-19 12:30:00,False,0.5%, ,0.3%
21,2021-04-21 12:30:00,False,0.3%, ,0.3%
22,2021-03-17 12:30:00,False,0.3%, ,0.5%
23,2021-02-17 13:30:00,False,0.5%, ,-0.4%
24,2021-01-20 13:30:00,False,-0.4%, ,0.2%
25,2020-12-16 13:30:00,False,0.2%, ,0.4%
26,2020-11-18 13:30:00,False,0.4%, ,0.1%
27,2020-10-21 12:30:00,False,0.1%, ,0.0%
28,2020-09-16 12:30:00,False,0.0%,-0.2%,-0.1%
29,2020-08-19 12:30:00,False,-0.1%, ,0.4%
30,2020-07-22 12:30:00,False,0.4%,0.3%,-0.1%
31,2020-06-17 12:30:00,False,-0.1%, ,-0.4%
32,2020-05-20 12:30:00,False,-0.4%, ,0.7%
33,2020-04-22 12:30:00,False,0.1%,0.3%,0.7%
34,2020-03-18 12:30:00,False,0.7%, ,0.4%
35,2020-02-19 13:30:00,False,0.4%, ,-0.4%
36,2020-01-22 13:30:00,False,-0.4%, ,-0.2%
37,2019-12-18 13:30:00,False,-0.2%, ,0.4%
38,2019-11-20 13:30:00,False,0.4%, ,0.0%
39,2019-10-16 12:30:00,False,0.0%, ,-0.1%
40,2019-09-18 12:30:00,False,-0.1%, ,0.3%
41,2019-08-21 12:30:00,False,0.3%, ,0.0%
42,2019-07-17 12:30:00,False,0.0%, ,0.4%
43,2019-06-19 12:30:00,False,0.4%, ,0.0%
44,2019-05-15 12:30:00,False,0.0%, ,0.3%
45,2019-04-17 12:30:00,False,0.3%, ,0.7%
46,2019-03-22 12:30:00,False,0.7%, ,0.3%
47,2019-02-27 13:30:00,False,0.3%, ,-0.2%
48,2019-01-18 13:30:00,False,-0.2%, ,-0.2%
49,2018-12-19 13:30:00,False,-0.2%, ,0.4%
50,2018-11-23 13:30:00,False,0.4%, ,0.0%
51,2018-10-19 12:30:00,False,0.0%, ,0.1%
52,2018-09-21 12:30:00,False,0.1%, ,0.2%
53,2018-08-17 12:30:00,False,0.2%, ,0.1%
54,2018-07-20 12:30:00,False,0.1%, ,-0.1%
55,2018-06-22 12:30:00,False,-0.1%, ,0.1%
56,2018-05-18 12:30:00,False,0.1%, ,0.2%
57,2018-04-20 12:30:00,False,0.2%, ,0.7%
58,2018-03-23 12:30:00,False,0.7%, ,0.5%
59,2018-02-23 13:30:00,False,0.5%, ,-0.5%
60,2018-01-26 13:30:00,False,-0.5%, ,-0.1%
61,2017-12-21 13:30:00,False,-0.1%,0.3%,0.3%
62,2017-11-17 13:30:00,False,0.3%,0.3%,0.2%
63,2017-10-20 12:30:00,False,0.2%, ,0.0%
64,2017-09-22 12:30:00,False,0.0%, ,-0.1%
65,2017-08-18 12:30:00,False,-0.1%,0.1%,0.1%
66,2017-07-21 12:30:00,False,0.1%, ,0.1%
67,2017-06-23 12:30:00,False,0.1%, ,0.0%
68,2017-05-19 12:30:00,False,0.0%, ,0.3%
69,2017-04-21 12:30:00,False,0.3%, ,0.4%
70,2017-03-24 12:30:00,False,0.4%, ,0.5%
71,2017-02-24 13:30:00,False,0.5%,-0.1%,-0.3%
72,2017-01-20 13:30:00,False,-0.3%,-0.2%,-0.5%
