Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-01-17 13:30:00,False,5.4%,6.1%,5.8%,-0.7
2022-12-21 13:30:00,False,5.8%, ,5.8%,
2022-11-16 13:30:00,False,5.8%, ,6.0%,
2022-10-19 12:30:00,False,6.0%, ,5.8%,
2022-09-20 12:30:00,False,5.8%, ,6.1%,
2022-08-16 12:30:00,False,6.1%, ,6.2%,
2022-07-20 12:30:00,False,6.2%,5.9%,6.1%,0.3
2022-06-22 12:30:00,False,6.1%,5.9%,5.7%,0.2
2022-05-18 12:30:00,False,5.7%,5.4%,5.5%,0.3
2022-04-20 12:30:00,False,5.5%,4.2%,4.8%,1.3
2022-03-16 12:30:00,False,4.8%,4.5%,4.3%,0.3
2022-02-16 13:30:00,False,4.3%,3.5%,4.0%,0.8
2022-01-19 13:30:00,False,4.0%,3.5%,3.6%,0.5
2021-12-15 13:30:00,False,3.6%,3.6%,3.8%,0.0
2021-11-17 13:30:00,False,3.8%, ,3.7%,
2021-10-20 12:30:00,False,3.7%, ,3.5%,
2021-09-15 12:30:00,False,3.5%, ,3.3%,
2021-08-18 12:30:00,False,3.3%, ,2.7%,
2021-07-28 12:30:00,False,2.7%,2.4%,2.8%,0.3
2021-06-16 12:30:00,False,2.8%,2.4%,2.3%,0.4
2021-05-19 12:30:00,False,2.3%, ,1.4%,
2021-04-21 12:30:00,False,1.4%, ,1.2%,
2021-03-17 12:30:00,False,1.2%,1.4%,1.6%,-0.2
2021-02-17 13:30:00,False,1.6%,1.4%,1.5%,0.2
2021-01-20 13:30:00,False,1.5%, ,1.5%,
2020-12-16 13:30:00,False,1.5%, ,1.0%,
2020-11-18 13:30:00,False,1.0%, ,1.0%,
2020-10-21 12:30:00,False,1.0%, ,0.8%,
2020-09-16 12:30:00,False,0.8%,0.9%,0.7%,-0.1
2020-08-19 12:30:00,False,0.7%, ,1.1%,
2020-07-22 12:30:00,False,1.1%,0.9%,0.7%,0.2
2020-06-17 12:30:00,False,0.7%, ,1.2%,
2020-05-20 12:30:00,False,1.2%, ,1.6%,
2020-04-22 12:30:00,False,1.6%, ,1.8%,
2020-03-18 12:30:00,False,1.8%,1.7%,1.8%,0.1
2020-02-19 13:30:00,False,1.8%,1.8%,1.7%,0.0
2020-01-22 13:30:00,False,1.7%,1.9%,1.9%,-0.2
2019-12-18 13:30:00,False,1.9%, ,1.9%,
2019-11-20 13:30:00,False,1.9%,1.9%,1.9%,0.0
2019-10-16 12:30:00,False,1.9%,1.9%,1.9%,0.0
2019-09-18 12:30:00,False,1.9%,2.2%,2.0%,-0.3
2019-08-21 12:30:00,False,2.0%, ,2.0%,
2019-07-17 12:30:00,False,2.0%,2.6%,2.1%,-0.6
2019-06-19 12:30:00,False,2.1%,1.2%,1.5%,0.9
2019-05-15 12:30:00,False,1.5%,1.8%,1.6%,-0.3
2019-04-17 12:30:00,False,1.6%, ,1.5%,
2019-03-22 12:30:00,False,1.5%, ,1.5%,
2019-02-27 13:30:00,False,1.5%, ,1.7%,
2019-01-18 13:30:00,False,1.7%, ,1.5%,
2018-12-19 13:30:00,False,1.5%, ,1.6%,
2018-11-23 13:30:00,False,1.6%, ,1.5%,
2018-10-19 12:30:00,False,1.5%,1.8%,1.7%,-0.3
2018-09-21 12:30:00,False,1.7%, ,1.6%,
2018-08-17 12:30:00,False,1.6%,1.3%,1.3%,0.3
2018-07-20 12:30:00,False,1.3%,1.4%,1.3%,-0.1
2018-06-22 12:30:00,False,1.3%,1.4%,1.5%,-0.1
2018-05-18 12:30:00,False,1.5%,1.4%,1.4%,0.1
2018-04-20 12:30:00,False,1.4%,1.5%,1.5%,-0.1
2018-03-23 12:30:00,False,1.5%,1.4%,1.2%,0.1
2018-02-23 13:30:00,False,1.2%, ,1.2%,
2018-01-26 13:30:00,False,1.2%, ,1.3%,
2017-12-21 13:30:00,False,1.3%, ,0.9%,
2017-11-17 13:30:00,False,0.9%, ,0.8%,
2017-10-20 12:30:00,False,0.8%, ,0.9%,
2017-09-22 12:30:00,False,0.9%, ,0.9%,
2017-08-18 12:30:00,False,0.9%, ,0.9%,
2017-07-21 12:30:00,False,0.9%, ,0.9%,
2017-06-23 12:30:00,False,0.9%, ,1.1%,
2017-05-19 12:30:00,False,1.1%,1.4%,1.3%,-0.3
2017-04-21 12:30:00,False,1.3%, ,1.7%,
2017-03-24 12:30:00,False,1.7%, ,1.7%,
2017-02-24 13:30:00,False,1.7%, ,1.6%,
2017-01-20 13:30:00,False,1.6%,1.7%,1.5%,-0.1
