Timestamp,Prelim,Actual,Forecast,Previous
2023-01-20 08:30:00,False,-0.1%,-0.5%,1.3%
2022-12-20 08:30:00,False,1.4%,1.5%,-0.6%
2022-11-22 08:30:00,False,-0.5%,-0.5%,0.4%
2022-10-21 07:30:00,False,0.7%,0.2%,-2.2%
2022-09-23 07:30:00,False,-2.5%,-2.0%,1.0%
2022-08-19 07:30:00,False,1.1%,0.3%,2.3%
2022-07-22 07:30:00,False,2.2%,1.6%,0.7%
2022-06-21 07:30:00,False,0.9%,0.8%,0.2%
2022-05-26 07:30:00,False,0.0%,1.4%,0.2%
2022-04-22 07:30:00,False,0.1%,-0.4%,3.3%
2022-03-18 07:30:00,False,3.2%,2.4%,-2.0%
2022-02-18 08:30:00,False,-1.8%,-2.1%,0.8%
2022-01-21 08:30:00,False,0.7%,1.2%,1.5%
2021-12-21 08:30:00,False,1.6%,1.0%,-0.6%
2021-11-19 08:30:00,False,-0.6%,-1.7%,2.1%
2021-10-22 07:30:00,False,2.1%,2.0%,-0.1%
2021-09-23 07:30:00,False,-0.6%,-1.2%,4.2%
2021-08-20 07:30:00,False,4.2%,4.4%,-2.1%
2021-07-23 07:30:00,False,-2.1%,-3.0%,-5.7%
2021-06-23 07:30:00,False,-5.7%,-5.0%,3.6%
2021-05-21 07:30:00,False,3.6%,2.3%,4.8%
2021-04-28 07:30:00,False,4.8%,4.0%,-1.1%
2021-03-19 07:30:00,False,-1.1%,-3.0%,-3.4%
2021-02-19 08:30:00,False,-3.4%,-2.5%,1.8%
2021-01-22 08:30:00,False,1.3%,0.1%,0.4%
2020-12-18 08:30:00,False,0.4%,0.2%,1.1%
2020-11-20 08:30:00,False,1.1%,0.2%,0.4%
2020-10-21 07:30:00,False,0.4%,1.1%,0.6%
2020-09-18 07:30:00,False,0.6%,1.0%,22.7%
2020-08-21 07:30:00,False,23.7%,24.5%,21.2%
2020-07-21 07:30:00,False,18.7%,20.0%,-25.0%
2020-06-19 07:30:00,False,-26.4%,-15.1%,-9.9%
2020-05-22 07:30:00,False,-10.0%,-10.0%,0.4%
2020-04-21 07:30:00,False,0.3%,0.2%,0.6%
2020-03-20 07:30:00,False,0.4%,0.3%,0.2%
2020-02-21 08:30:00,False,0.0%,0.1%,1.1%
2020-01-24 08:30:00,False,0.9%,0.4%,-1.1%
2019-12-20 08:30:00,False,-1.2%,0.5%,-0.1%
2019-11-22 08:30:00,False,-0.1%,-0.1%,0.1%
2019-10-22 07:30:00,False,-0.1%,0.5%,0.6%
2019-09-20 07:30:00,False,0.4%,0.4%,-0.1%
2019-08-23 07:30:00,False,0.0%,-0.1%,-0.2%
2019-07-19 07:30:00,False,-0.1%,0.3%,0.2%
2019-06-21 07:30:00,False,0.1%,0.3%,1.3%
2019-05-22 07:30:00,False,1.1%,1.0%,1.0%
2019-04-18 07:30:00,False,0.8%,0.4%,-0.4%
2019-03-22 07:30:00,False,-0.3%,0.4%,-0.3%
2019-02-22 08:30:00,False,-0.1%,0.0%,-0.9%
2019-01-23 08:30:00,False,-0.9%,-0.6%,0.2%
2018-12-21 08:30:00,False,0.3%,0.4%,0.1%
2018-11-23 08:30:00,False,0.2%,0.1%,-0.1%
2018-10-19 07:30:00,False,-0.1%,0.3%,0.2%
2018-09-21 07:30:00,False,0.3%,0.4%,-0.1%
2018-08-22 07:30:00,False,-0.2%,0.1%,2.2%
2018-07-20 07:30:00,False,2.0%,1.1%,-1.2%
2018-06-22 07:30:00,False,-1.2%,0.0%,0.8%
2018-05-18 07:30:00,False,0.6%,0.3%,0.5%
2018-04-20 07:30:00,False,0.4%,0.3%,0.1%
2018-03-23 07:30:00,False,0.3%,1.1%,-0.7%
2018-02-22 08:30:00,False,-0.8%,0.0%,0.3%
2018-01-25 08:30:00,False,0.2%,0.8%,1.6%
2017-12-21 08:30:00,False,1.5%,0.3%,0.2%
2017-11-23 08:30:00,False,0.1%,0.9%,-0.1%
2017-10-20 07:30:00,False,-0.3%,0.5%,0.4%
2017-09-22 07:30:00,False,0.4%,0.1%,0.1%
2017-08-22 07:30:00,False,0.1%,0.3%,0.5%
2017-07-21 07:30:00,False,0.6%,0.2%,0.7%
2017-06-22 07:30:00,False,0.8%,0.2%,0.5%
2017-05-19 07:30:00,False,0.7%,0.4%,-0.4%
2017-04-26 07:30:00,False,-0.6%,-0.1%,2.3%
2017-03-21 07:30:00,False,2.2%,1.1%,-0.4%
2017-02-22 08:30:00,False,-0.5%,0.1%,0.3%
2017-01-20 08:30:00,False,0.2%,0.5%,1.2%
