Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-11-30 13:30:00,False,0.47%, ,1.20%,
2023-09-01 12:30:00,False,1.12%, ,2.08%,
2023-05-31 12:30:00,False,2.21%,2.80%,2.07%,-0.59
2023-02-28 13:30:00,False,2.07%, ,3.77%,
2023-01-31 13:30:00,False,2.80%,3.50%,3.10%,-0.7
2022-12-23 13:30:00,False,3.10%, ,3.93%,
2022-11-29 13:30:00,False,3.93%, ,4.66%,
2022-09-29 12:30:00,False,4.30%, ,4.56%,
2022-08-31 12:30:00,False,4.56%, ,2.90%,
2022-05-31 12:30:00,False,2.89%, ,3.23%,
2022-03-31 12:30:00,False,3.50%, ,3.70%,
2022-03-01 13:30:00,False,3.26%, ,3.84%,
2022-02-01 13:30:00,False,3.80%, ,3.80%,
2021-12-23 13:30:00,False,3.80%, ,3.97%,
2021-11-30 13:30:00,False,3.97%, ,11.81%,
2021-08-31 12:30:00,False,12.72%, ,0.30%,
2021-06-01 13:30:00,False,6.60%, ,-3.23%,
2021-03-02 13:30:00,False,-3.23%, ,-5.33%,
2020-12-01 13:30:00,False,-5.16%, ,-12.50%,
2020-08-28 12:30:00,False,-13.01%, ,-0.91%,
2020-05-29 12:30:00,False,-0.91%, ,1.51%,
2020-02-28 13:30:00,False,1.47%, ,1.63%,
2019-11-29 13:30:00,False,1.65%, ,1.93%,
2019-08-30 12:30:00,False,1.64%, ,1.35%,
2019-07-31 12:30:00,False,1.40%,1.30%,1.50%,0.1
2019-06-28 12:30:00,False,1.5%,1.5%,1.4%,0.0
2019-05-31 12:30:00,False,1.3%,1.2%,1.1%,0.1
2019-04-30 12:30:00,False,1.1%,1.4%,1.6%,-0.3
2019-03-29 12:30:00,False,1.6%,1.5%,1.1%,0.1
2019-03-01 13:30:00,False,1.1%,1.4%,1.7%,-0.3
2019-01-31 13:30:00,False,1.7%, ,2.2%,
2018-12-21 13:30:00,False,2.2%,2.2%,2.0%,0.0
2018-11-30 13:30:00,False,2.1%, ,2.4%,
2018-10-31 12:30:00,False,2.5%,2.4%,2.4%,0.1
2018-09-28 12:30:00,False,2.4%,2.2%,2.4%,0.2
2018-08-30 12:30:00,False,2.4%,2.3%,2.7%,0.1
2018-07-31 12:30:00,False,2.6%,2.3%,2.5%,0.3
2018-06-29 12:30:00,False,2.5%,2.5%,2.9%,0.0
2018-05-31 12:30:00,False,2.9%,2.9%,3.0%,0.0
2018-05-01 12:30:00,False,3.0%,2.8%,2.7%,0.2
2018-03-29 12:30:00,False,2.7%,2.9%,3.4%,-0.2
2018-03-02 13:30:00,False,3.3%,3.3%,3.5%,0.0
2018-01-31 13:30:00,False,3.5%,3.4%,3.4%,0.1
2017-12-22 13:30:00,False,3.4%,3.5%,3.3%,-0.1
2017-10-31 12:30:00,False,3.5%,3.6%,3.9%,-0.1
