Timestamp,Prelim,Actual,Forecast,Previous
2023-01-06 08:30:00,False,104.0K,8.0K,10.1K
2022-12-02 08:30:00,False,10.1K,5.0K,108.3K
2022-11-04 07:30:00,False,108.3K,10.0K,21.1K
2022-10-07 07:30:00,False,21.1K,20.0K,-39.7K
2022-09-09 07:30:00,False,-39.7K,15.0K,-30.6K
2022-08-05 07:30:00,False,-30.6K,20.0K,-43.2K
2022-07-08 07:30:00,False,-43.2K,23.5K,39.8K
2022-06-10 07:30:00,False,39.8K,30.0K,15.3K
2022-05-06 07:30:00,False,15.3K,55.0K,72.5K
2022-04-08 07:30:00,False,72.5K,80.0K,336.6K
2022-03-11 08:30:00,False,336.6K,160.0K,-200.1K
2022-02-04 08:30:00,False,-200.1K,-117.5K,78.6K
2022-01-07 08:30:00,False,54.7K,27.5K,153.7K
2021-12-03 08:30:00,False,153.7K,35.0K,31.2K
2021-11-05 07:30:00,False,31.2K,50.0K,157.1K
2021-10-08 07:30:00,False,157.1K,65.0K,90.2K
2021-09-10 07:30:00,False,90.2K,100.0K,94.0K
2021-08-06 07:30:00,False,94.0K,177.5K,230.7K
2021-07-09 07:30:00,False,230.7K,195.0K,-68.0K
2021-06-04 07:30:00,False,-68.0K,-20.0K,-207.1K
2021-05-07 07:30:00,False,-207.1K,-175.0K,303.1K
2021-04-09 07:30:00,False,303.1K,100.0K,259.2K
2021-03-12 08:30:00,False,259.2K,75.0K,-212.8K
2021-02-05 08:30:00,False,-212.8K,-47.5K,-68.2K
2021-01-08 08:30:00,False,-62.6K,-27.5K,62.1K
2020-12-04 08:30:00,False,62.1K,20.0K,83.6K
2020-11-06 08:30:00,False,83.6K,100.0K,378.2K
2020-10-09 07:30:00,False,378.2K,156.6K,245.8K
2020-09-04 07:30:00,False,245.8K,275.0K,418.5K
2020-08-07 07:30:00,False,418.5K,400.0K,952.9K
2020-07-10 07:30:00,False,952.9K,700.0K,289.6K
2020-06-05 07:30:00,False,289.6K,-500.0K,"-1,993.8K"
2020-05-08 07:30:00,False,"-1,993.8K","-4,000.0K","-1,010.7K"
2020-04-09 07:30:00,False,"-1,010.7K",-350.0K,30.3K
2020-03-06 08:30:00,False,30.3K,10.0K,34.5K
2020-02-07 08:30:00,False,34.5K,15.0K,-2.8K
2020-01-10 08:30:00,False,35.2K,25.0K,-71.2K
2019-12-06 08:30:00,False,-71.2K,10.0K,-1.8K
2019-11-08 08:30:00,False,-1.8K,15.9K,53.7K
2019-10-11 07:30:00,False,53.7K,10.0K,81.1K
2019-09-06 07:30:00,False,81.1K,18.9K,-24.2K
2019-08-09 07:30:00,False,-24.2K,12.5K,-2.2K
2019-07-05 07:30:00,False,-2.2K,10.0K,27.7K
2019-06-07 07:30:00,False,27.7K,8.0K,106.5K
2019-05-10 07:30:00,False,106.5K,10.0K,-7.2K
2019-04-05 07:30:00,False,-7.2K,-10.0K,55.9K
2019-03-08 08:30:00,False,55.9K,0.3K,66.8K
2019-02-08 08:30:00,False,66.8K,8.0K,-1.3K
2019-01-04 08:30:00,False,9.3K,6.8K,94.1K
2018-12-07 08:30:00,False,94.1K,10.3K,11.2K
2018-11-02 07:30:00,False,11.2K,12.7K,63.3K
2018-10-05 07:30:00,False,63.3K,25.0K,-51.6K
2018-09-07 07:30:00,False,-51.6K,5.1K,54.1K
2018-08-10 07:30:00,False,54.1K,17.5K,31.8K
2018-07-06 07:30:00,False,31.8K,24.0K,-7.5K
2018-06-08 07:30:00,False,-7.5K,17.5K,-1.1K
2018-05-11 07:30:00,False,-1.1K,17.4K,32.3K
2018-04-06 07:30:00,False,32.3K,18.8K,15.4K
2018-03-09 08:30:00,False,15.4K,20.0K,-88.0K
2018-02-09 08:30:00,False,-88.0K,-2.0K,64.8K
2018-01-05 08:30:00,False,78.6K,1.0K,79.5K
2017-12-01 08:30:00,False,79.5K,10.0K,35.3K
2017-11-03 07:30:00,False,35.3K,15.0K,10.0K
2017-10-06 07:30:00,False,10.0K,14.5K,22.2K
2017-09-08 07:30:00,False,22.2K,19.0K,10.9K
2017-08-04 07:30:00,False,10.9K,10.0K,45.3K
2017-07-07 07:30:00,False,45.3K,10.0K,54.5K
2017-06-09 07:30:00,False,54.5K,11.0K,3.2K
2017-05-05 07:30:00,False,3.2K,10.0K,19.4K
2017-04-07 07:30:00,False,19.4K,5.0K,15.3K
2017-03-10 08:30:00,False,15.3K,2.5K,48.3K
2017-02-10 08:30:00,False,48.3K,-5.0K,46.1K
2017-01-06 08:30:00,False,53.7K,-5.0K,10.7K
