Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-02-10 13:30:00,False,5.0%,5.1%,5.0%,-0.1
2023-01-06 13:30:00,False,5.0%,5.2%,5.1%,-0.2
2022-12-02 13:30:00,False,5.1%,5.3%,5.2%,-0.2
2022-11-04 12:30:00,False,5.2%,5.3%,5.2%,-0.1
2022-10-07 12:30:00,False,5.2%,5.4%,5.4%,-0.2
2022-09-09 12:30:00,False,5.4%,5.0%,4.9%,0.4
2022-08-05 12:30:00,False,4.9%,5.0%,4.9%,-0.1
2022-07-08 12:30:00,False,4.9%,5.1%,5.1%,-0.2
2022-06-10 12:30:00,False,5.1%,5.2%,5.2%,-0.1
2022-05-06 12:30:00,False,5.2%,5.2%,5.3%,0.0
2022-04-08 12:30:00,False,5.3%,5.3%,5.5%,0.0
2022-03-11 13:30:00,False,5.5%,6.2%,6.5%,-0.7
2022-02-04 13:30:00,False,6.5%,6.2%,6.0%,0.3
2022-01-07 13:30:00,False,5.9%,6.0%,6.0%,-0.1
2021-12-03 13:30:00,False,6.0%,6.6%,6.7%,-0.6
2021-11-05 12:30:00,False,6.7%,6.8%,6.9%,-0.1
2021-10-08 12:30:00,False,6.9%,6.9%,7.1%,0.0
2021-09-10 12:30:00,False,7.1%,7.3%,7.5%,-0.2
2021-08-06 12:30:00,False,7.5%,7.4%,7.8%,0.1
2021-07-09 12:30:00,False,7.8%,7.7%,8.2%,0.1
2021-06-04 12:30:00,False,8.2%,8.2%,8.1%,0.0
2021-05-07 12:30:00,False,8.1%,7.8%,7.5%,0.3
2021-04-09 12:30:00,False,7.5%,8.0%,8.2%,-0.5
2021-03-12 13:30:00,False,8.2%,9.2%,9.4%,-1.0
2021-02-05 13:30:00,False,9.4%,8.9%,0.2%,0.5
2021-01-08 13:30:00,False,8.6%,8.6%,8.5%,0.0
2020-12-04 13:30:00,False,8.5%,8.9%,8.9%,-0.4
2020-11-06 13:30:00,False,8.9%,8.8%,9.0%,0.1
2020-10-09 12:30:00,False,9.0%,9.7%,10.2%,-0.7
2020-09-04 12:30:00,False,10.2%,10.1%,10.9%,0.1
2020-08-07 12:30:00,False,10.9%,11.0%,12.3%,-0.1
2020-07-10 12:30:00,False,12.3%,12.0%,13.7%,0.3
2020-06-05 12:30:00,False,13.7%,15.0%,13.0%,-1.3
2020-05-08 12:30:00,False,13.0%,18.0%,7.8%,-5.0
2020-04-09 12:30:00,False,7.8%,7.2%,5.6%,0.6
2020-03-06 13:30:00,False,5.6%,5.6%,5.5%,0.0
2020-02-07 13:30:00,False,5.5%,5.6%,5.6%,-0.1
2020-01-10 13:30:00,False,5.6%,5.8%,5.9%,-0.2
2019-12-06 13:30:00,False,5.9%,5.5%,5.5%,0.4
2019-11-08 13:30:00,False,5.5%,5.5%,5.5%,0.0
2019-10-11 12:30:00,False,5.5%,5.7%,5.7%,-0.2
2019-09-06 12:30:00,False,5.7%,5.7%,5.7%,0.0
2019-08-09 12:30:00,False,5.7%,5.5%,5.5%,0.2
2019-07-05 12:30:00,False,5.5%,5.5%,5.4%,0.0
2019-06-07 12:30:00,False,5.4%,5.7%,5.7%,-0.3
2019-05-10 12:30:00,False,5.7%,5.8%,5.8%,-0.1
2019-04-05 12:30:00,False,5.8%,5.8%,5.8%,0.0
2019-03-08 13:30:00,False,5.8%,5.8%,5.8%,0.0
2019-02-08 13:30:00,False,5.8%,5.7%,5.6%,0.1
2019-01-04 13:30:00,False,5.6%,5.7%,5.6%,-0.1
2018-12-07 13:30:00,False,5.6%,5.8%,5.8%,-0.2
2018-11-02 12:30:00,False,5.8%,5.9%,5.9%,-0.1
2018-10-05 12:30:00,False,5.9%,5.9%,6.0%,0.0
2018-09-07 12:30:00,False,6.0%,5.9%,5.8%,0.1
2018-08-10 12:30:00,False,5.8%,5.9%,6.0%,-0.1
2018-07-06 12:30:00,False,6.0%,5.8%,5.8%,0.2
2018-06-08 12:30:00,False,5.8%,5.8%,5.8%,0.0
2018-05-11 12:30:00,False,5.8%,5.8%,5.8%,0.0
2018-04-06 12:30:00,False,5.8%,5.8%,5.8%,0.0
2018-03-09 13:30:00,False,5.8%,5.9%,5.9%,-0.1
2018-02-09 13:30:00,False,5.9%,5.8%,5.8%,0.1
2018-01-05 13:30:00,False,5.7%,6.0%,5.9%,-0.3
2017-12-01 13:30:00,False,5.9%,6.2%,6.3%,-0.3
2017-11-03 12:30:00,False,6.3%,6.2%,6.2%,0.1
2017-10-06 12:30:00,False,6.2%,6.3%,6.2%,-0.1
2017-09-08 12:30:00,False,6.2%,6.3%,6.3%,-0.1
2017-08-04 12:30:00,False,6.3%,6.5%,6.5%,-0.2
2017-07-07 12:30:00,False,6.5%,6.6%,6.6%,-0.1
2017-06-09 12:30:00,False,6.6%,6.6%,6.5%,0.0
2017-05-05 12:30:00,False,6.5%,6.7%,6.7%,-0.2
2017-04-07 12:30:00,False,6.7%,6.7%,6.6%,0.0
2017-03-10 13:30:00,False,6.6%,6.8%,6.8%,-0.2
2017-02-10 13:30:00,False,6.8%,6.9%,6.9%,-0.1
2017-01-06 13:30:00,False,6.9%,6.9%,6.8%,0.0
