,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-01-06 13:30:00,False,84.5K, ,50.7K
1,2022-12-02 13:30:00,False,50.7K, ,119.3K
2,2022-11-04 12:30:00,False,119.3K, ,5.7K
3,2022-10-07 12:30:00,False,5.7K, ,-77.2K
4,2022-09-09 12:30:00,False,-77.2K, ,-13.1K
5,2022-08-05 12:30:00,False,-13.1K, ,-4.0K
6,2022-07-08 12:30:00,False,-4.0K, ,135.4K
7,2022-06-10 12:30:00,False,135.4K, ,-31.6K
8,2022-05-06 12:30:00,False,-31.6K, ,92.7K
9,2022-04-08 12:30:00,False,92.7K, ,121.5K
10,2022-03-11 13:30:00,False,121.5K, ,-82.7K
11,2022-02-04 13:30:00,False,-82.7K, ,142.8K
12,2022-01-07 13:30:00,False,122.5K, ,79.9K
13,2021-12-03 13:30:00,False,79.9K, ,36.4K
14,2021-11-05 12:30:00,False,36.4K, ,193.6K
15,2021-10-08 12:30:00,False,193.6K, ,68.5K
16,2021-09-10 12:30:00,False,68.5K, ,83.0K
17,2021-08-06 12:30:00,False,83.0K, ,-33.2K
18,2021-07-09 12:30:00,False,-33.2K, ,-13.8K
19,2021-06-04 12:30:00,False,0.0K, ,-129.4K
20,2021-05-07 12:30:00,False,-129.4K, ,175.4K
21,2021-04-09 12:30:00,False,175.4K, ,88.2K
22,2021-03-12 13:30:00,False,88.2K, ,12.6K
23,2021-02-05 13:30:00,False,12.6K, ,-68.6K
24,2021-01-08 13:30:00,False,36.5K, ,99.4K
25,2020-12-04 13:30:00,False,99.4K, ,69.1K
26,2020-11-06 13:30:00,False,69.1K, ,334.0K
27,2020-10-09 12:30:00,False,334.0K, ,205.8K
28,2020-09-04 12:30:00,False,205.8K, ,73.2K
29,2020-08-07 12:30:00,False,73.2K, ,488.1K
30,2020-07-10 12:30:00,False,488.1K, ,219.4K
31,2020-06-05 12:30:00,False,219.4K, ,"-1,472.0K"
32,2020-05-08 12:30:00,False,"-1,472.0K", ,-474.0K
33,2020-04-09 12:30:00,False,-474.0K, ,37.6K
34,2020-03-06 13:30:00,False,37.6K, ,35.7K
35,2020-02-07 13:30:00,False,35.7K, ,-0.7K
36,2020-01-10 13:30:00,False,38.4K, ,-38.4K
37,2019-12-06 13:30:00,False,-38.4K, ,-16.1K
38,2019-11-08 13:30:00,False,-16.1K, ,70.0K
39,2019-10-11 12:30:00,False,70.0K, ,23.8K
40,2019-09-06 12:30:00,False,23.8K, ,-11.6K
41,2019-08-09 12:30:00,False,-11.6K, ,24.1K
42,2019-07-05 12:30:00,False,24.1K, ,27.7K
43,2019-06-07 12:30:00,False,27.7K,9.0K,73.0K
44,2019-05-10 12:30:00,False,73.0K, ,-6.4K
45,2019-04-05 12:30:00,False,-6.4K, ,67.4K
46,2019-03-08 13:30:00,False,67.4K, ,30.9K
47,2019-02-08 13:30:00,False,30.9K, ,-6.6K
48,2019-01-04 13:30:00,False,-18.9K, ,89.9K
49,2018-12-07 13:30:00,False,89.9K, ,33.9K
50,2018-11-02 12:30:00,False,33.9K, ,-16.9K
51,2018-10-05 12:30:00,False,-16.9K, ,40.4K
52,2018-09-07 12:30:00,False,40.4K, ,-28.0K
53,2018-08-10 12:30:00,False,-28.0K, ,9.1K
54,2018-07-06 12:30:00,False,9.1K, ,-31.0K
55,2018-06-08 12:30:00,False,-31.0K, ,28.8K
56,2018-05-11 12:30:00,False,28.8K, ,68.3K
57,2018-04-06 12:30:00,False,68.3K, ,-39.3K
58,2018-03-09 13:30:00,False,-39.3K, ,49.0K
59,2018-02-09 13:30:00,False,49.0K, ,23.2K
60,2018-01-05 13:30:00,False,23.7K, ,29.6K
61,2017-12-01 13:30:00,False,29.6K, ,88.7K
62,2017-11-03 12:30:00,False,88.7K, ,112.0K
63,2017-10-06 12:30:00,False,112.0K, ,-88.1K
64,2017-09-08 12:30:00,False,-88.1K, ,35.1K
65,2017-08-04 12:30:00,False,35.1K, ,8.1K
66,2017-07-07 12:30:00,False,8.1K, ,77.0K
67,2017-06-09 12:30:00,False,77.0K, ,-31.2K
68,2017-05-05 12:30:00,False,-31.2K, ,18.4K
69,2017-04-07 12:30:00,False,18.4K, ,105.1K
70,2017-03-10 13:30:00,False,105.1K, ,15.8K
71,2017-02-10 13:30:00,False,15.8K, ,70.9K
72,2017-01-06 13:30:00,False,81.3K, ,-8.7K
