Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-01-06 13:30:00,False,19.5K, ,-40.6K,
2022-12-02 13:30:00,False,-40.6K, ,-11.0K,
2022-11-04 12:30:00,False,-11.0K, ,15.4K,
2022-10-07 12:30:00,False,15.4K, ,37.5K,
2022-09-09 12:30:00,False,37.5K, ,-17.5K,
2022-08-05 12:30:00,False,-17.5K, ,-39.1K,
2022-07-08 12:30:00,False,-39.1K, ,-95.8K,
2022-06-10 12:30:00,False,-95.8K, ,47.1K,
2022-05-06 12:30:00,False,47.1K, ,-20.3K,
2022-04-08 12:30:00,False,-20.3K, ,215.1K,
2022-03-11 13:30:00,False,215.1K, ,-117.4K,
2022-02-04 13:30:00,False,-117.4K, ,-64.3K,
2022-01-07 13:30:00,False,-67.7K, ,73.8K,
2021-12-03 13:30:00,False,73.8K, ,-5.2K,
2021-11-05 12:30:00,False,-5.2K, ,-36.5K,
2021-10-08 12:30:00,False,-36.5K, ,21.7K,
2021-09-10 12:30:00,False,21.7K, ,11.0K,
2021-08-06 12:30:00,False,11.0K, ,263.9K,
2021-07-09 12:30:00,False,263.9K, ,-54.2K,
2021-06-04 12:30:00,False,-54.2K, ,-77.8K,
2021-05-07 12:30:00,False,-77.8K, ,127.8K,
2021-04-09 12:30:00,False,127.8K, ,171.0K,
2021-03-12 13:30:00,False,171.0K, ,-225.4K,
2021-02-05 13:30:00,False,-225.4K, ,0.4K,
2021-01-08 13:30:00,False,-99.0K, ,-37.4K,
2020-12-04 13:30:00,False,-37.4K, ,14.5K,
2020-11-06 13:30:00,False,14.5K, ,44.2K,
2020-10-09 12:30:00,False,44.2K, ,40.0K,
2020-09-04 12:30:00,False,40.0K, ,345.3K,
2020-08-07 12:30:00,False,345.3K, ,464.8K,
2020-07-10 12:30:00,False,464.8K, ,70.3K,
2020-06-05 12:30:00,False,70.3K, ,-521.9K,
2020-05-08 12:30:00,False,-521.9K, ,-536.7K,
2020-04-09 12:30:00,False,-536.7K, ,-7.3K,
2020-03-06 13:30:00,False,-7.3K, ,-1.2K,
2020-02-07 13:30:00,False,-1.2K, ,-2.1K,
2020-01-10 13:30:00,False,-3.2K, ,-32.8K,
2019-12-06 13:30:00,False,-32.8K, ,14.3K,
2019-11-08 13:30:00,False,14.3K, ,-16.3K,
2019-10-11 12:30:00,False,-16.3K, ,57.2K,
2019-09-06 12:30:00,False,57.2K, ,-12.6K,
2019-08-09 12:30:00,False,-12.6K, ,-26.2K,
2019-07-05 12:30:00,False,-26.2K, ,33.6K,
2019-06-07 12:30:00,False,0.0K,0.5K,33.6K,-0.5
2019-05-10 12:30:00,False,33.6K, ,-0.9K,
2019-04-05 12:30:00,False,-0.9K, ,-11.6K,
2019-03-08 13:30:00,False,-11.6K, ,36.0K,
2019-02-08 13:30:00,False,36.0K, ,5.2K,
2019-01-04 13:30:00,False,28.3K, ,4.1K,
2018-12-07 13:30:00,False,4.1K, ,-22.6K,
2018-11-02 12:30:00,False,-22.6K, ,80.2K,
2018-10-05 12:30:00,False,80.2K, ,-92.0K,
2018-09-07 12:30:00,False,-92.0K, ,82.0K,
2018-08-10 12:30:00,False,82.0K, ,22.7K,
2018-07-06 12:30:00,False,22.7K, ,23.6K,
2018-06-08 12:30:00,False,23.6K, ,-30.0K,
2018-05-11 12:30:00,False,-30.0K, ,-35.9K,
2018-04-06 12:30:00,False,-35.9K, ,54.7K,
2018-03-09 13:30:00,False,54.7K, ,-137.0K,
2018-02-09 13:30:00,False,-137.0K, ,41.6K,
2018-01-05 13:30:00,False,54.9K, ,49.9K,
2017-12-01 13:30:00,False,49.9K, ,-53.4K,
2017-11-03 12:30:00,False,-53.4K, ,-102.0K,
2017-10-06 12:30:00,False,-102.0K, ,110.4K,
2017-09-08 12:30:00,False,110.4K, ,-24.3K,
2017-08-04 12:30:00,False,-24.3K, ,37.1K,
2017-07-07 12:30:00,False,37.1K, ,-22.3K,
2017-06-09 12:30:00,False,-22.3K, ,34.3K,
2017-05-05 12:30:00,False,34.3K, ,1.0K,
2017-04-07 12:30:00,False,1.0K, ,-89.8K,
2017-03-10 13:30:00,False,-89.8K, ,32.4K,
2017-02-10 13:30:00,False,32.4K, ,-24.7K,
2017-01-06 13:30:00,False,-27.6K, ,19.4K,
