Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-02-02 13:30:00,False,-7.3%,-5.0%,14.9%,-2.3
2023-01-09 13:30:00,False,14.1%,-0.1%,-5.3%,14.2
2022-12-05 13:30:00,False,-1.4%,3.9%,-18.2%,-5.3
2022-11-03 12:30:00,False,-17.5%,-6.1%,12.0%,-11.4
2022-10-05 12:30:00,False,11.9%,-0.5%,-7.3%,12.4
2022-09-01 12:30:00,False,-6.6%,-0.5%,-0.6%,-6.1
2022-08-04 12:30:00,False,-1.5%,-1.5%,1.6%,0.0
2022-07-05 12:30:00,False,2.3%,2.4%,-1.0%,-0.1
2022-06-02 12:30:00,False,-0.6%,0.7%,-6.3%,-1.3
2022-05-09 12:30:00,False,-9.3%,-8.0%,24.6%,-1.3
2022-04-04 12:30:00,False,21.0%,2.0%,-8.2%,19.0
2022-03-04 13:30:00,False,-8.8%,-1.5%,-2.4%,-7.3
2022-02-02 13:30:00,False,-1.9%,-1.5%,7.6%,-0.4
2022-01-05 13:30:00,False,6.8%,2.3%,2.4%,4.5
2021-12-01 13:30:00,False,1.3%,-1.0%,4.1%,2.3
2021-11-02 12:30:00,False,4.3%,3.1%,-2.0%,1.2
2021-10-04 12:30:00,False,-2.1%, ,-4.1%,
2021-09-02 12:30:00,False,-3.9%,0.3%,7.2%,-4.2
2021-08-04 12:30:00,False,6.9%,5.5%,-12.9%,1.4
2021-07-02 12:30:00,False,-14.8%,-0.3%,0.2%,-14.5
2021-06-02 12:30:00,False,-0.5%,-4.8%,7.6%,4.3
2021-05-04 12:30:00,False,5.7%,2.0%,3.1%,3.7
2021-04-01 12:30:00,False,2.1%,-1.4%,6.9%,3.5
2021-03-03 13:30:00,False,8.2%,3.5%,-4.4%,4.7
2021-01-28 13:30:00,False,-4.1%,-5.0%,12.5%,0.9
2020-12-24 13:30:00,False,12.9%,3.0%,-12.6%,9.9
2020-11-30 13:30:00,False,-14.6%,-5.0%,18.6%,-9.6
2020-10-29 12:30:00,False,17.0%, ,1.4%,
2020-10-01 12:30:00,False,1.7%,5.5%,-1.6%,-3.8
2020-08-31 12:30:00,False,-3.0%,5.5%,5.7%,-8.5
2020-07-31 12:30:00,False,6.2%, ,21.6%,
2020-06-29 12:30:00,False,20.2%,15.0%,-15.4%,5.2
2020-05-27 12:30:00,False,-17.1%, ,-13.4%,
2020-05-08 12:30:00,False,-13.2%,-20.0%,-8.4%,6.8
2020-04-08 12:30:00,False,-7.3%,-4.5%,3.3%,-2.8
2020-03-09 12:30:00,False,4.0%,2.3%,9.9%,1.7
2020-02-10 13:30:00,False,7.4%,1.5%,-3.5%,5.9
2020-01-09 13:30:00,False,-2.4%,1.0%,-1.5%,-3.4
2019-12-09 13:30:00,False,-1.5%,2.9%,-5.9%,-4.4
2019-11-08 13:30:00,False,-6.5%,-2.0%,5.6%,-4.5
2019-10-08 12:30:00,False,6.1%,2.3%,3.2%,3.8
2019-09-10 12:30:00,False,3.0%,2.3%,-3.1%,0.7
2019-08-09 12:30:00,False,-3.7%,1.5%,-12.2%,-5.2
2019-07-09 12:30:00,False,-13.0%,-2.5%,16.0%,-10.5
2019-06-10 12:30:00,False,14.7%,1.3%,2.8%,13.4
2019-05-10 12:30:00,False,2.1%,2.8%,-5.1%,-0.7
2019-04-08 12:30:00,False,-5.7%,1.3%,-6.0%,-7.0
2019-03-07 13:30:00,False,-5.5%,-4.8%,6.4%,-0.7
2019-02-06 13:30:00,False,6.0%,-0.9%,2.1%,6.9
2019-01-10 13:30:00,False,2.6%,-0.5%,-0.4%,3.1
2018-12-10 13:30:00,False,-0.2%,-0.2%,0.4%,0.0
2018-11-06 13:30:00,False,0.4%,0.3%,-1.1%,0.1
2018-10-10 12:30:00,False,0.4%,0.5%,-1.5%,-0.1
2018-09-06 12:30:00,False,-0.1%,0.9%,-1.3%,-1.0
2018-08-08 12:30:00,False,-2.3%,1.0%,4.8%,-3.3
2018-07-10 12:30:00,False,4.7%,1.4%,-4.7%,3.3
2018-06-06 12:30:00,False,-4.6%,-2.0%,1.3%,-2.6
2018-05-09 12:30:00,False,3.1%,2.0%,-2.8%,1.1
2018-04-10 12:30:00,False,-2.6%,-1.5%,5.2%,-1.1
2018-03-08 13:30:00,False,5.6%,-0.3%,2.5%,5.9
2018-02-07 13:30:00,False,4.8%,2.0%,-7.3%,2.8
2018-01-10 13:30:00,False,-7.7%,-0.3%,4.4%,-7.4
2017-12-07 13:30:00,False,3.5%,1.5%,4.9%,2.0
2017-11-08 13:30:00,False,3.8%,-0.2%,-5.1%,4.0
2017-10-10 12:30:00,False,-5.5%,-1.0%,-2.8%,-4.5
2017-09-07 12:30:00,False,-3.5%,-1.5%,4.4%,-2.0
2017-08-09 12:30:00,False,2.5%,-2.0%,10.7%,4.5
2017-07-06 12:30:00,False,8.9%,2.6%,0.5%,6.3
2017-06-07 12:30:00,False,-0.2%,2.4%,-4.9%,-2.6
2017-05-09 12:30:00,False,-5.8%,5.5%,-2.8%,-11.3
2017-04-06 12:30:00,False,-2.5%, ,5.8%,
2017-03-08 13:30:00,False,5.4%,5.0%,-4.4%,0.4
2017-02-07 13:30:00,False,-6.6%,-2.5%,-1.2%,-4.1
2017-01-10 13:30:00,False,-0.1%,2.4%,10.5%,-2.5
