,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-01-23 13:30:00,False,0.0%,-0.2%,-0.2%
1,2022-12-16 13:30:00,False,-0.2%, ,-0.2%
2,2022-11-22 13:30:00,False,-0.2%,0.2%,-0.1%
3,2022-10-21 12:30:00,False,-0.1%,0.2%,0.1%
4,2022-09-22 12:30:00,False,0.1%, ,0.1%
5,2022-08-22 12:30:00,False,0.1%,0.3%,0.2%
6,2022-07-21 12:30:00,False,0.2%,0.3%,0.5%
7,2022-06-21 12:30:00,False,0.5%,0.5%,0.3%
8,2022-05-19 12:30:00,False,0.3%,0.6%,1.2%
9,2022-04-20 12:30:00,False,1.2%, ,1.1%
10,2022-03-18 12:30:00,False,1.1%, ,0.9%
11,2022-02-18 13:30:00,False,0.9%, ,0.2%
12,2022-01-21 13:30:00,False,0.2%,1.0%,0.8%
13,2022-01-05 13:30:00,False,0.8%,0.7%,0.9%
14,2022-01-05 13:30:00,False,0.8%,0.5%,0.9%
15,2021-11-19 13:30:00,False,0.9%,0.5%,0.4%
16,2021-10-21 12:30:00,False,0.4%, ,0.7%
17,2021-09-21 12:30:00,False,0.7%, ,0.4%
18,2021-08-20 12:30:00,False,0.4%, ,0.6%
19,2021-07-21 12:30:00,False,0.6%, ,1.4%
20,2021-06-18 12:30:00,False,1.4%, ,1.9%
21,2021-05-20 12:30:00,False,1.9%, ,1.1%
22,2021-04-22 12:30:00,False,1.1%,1.4%,1.9%
23,2021-03-18 12:30:00,False,1.9%, ,0.7%
24,2021-02-18 13:30:00,False,0.7%, ,0.3%
25,2021-01-21 13:30:00,False,0.3%, ,0.6%
26,2020-12-21 13:30:00,False,0.6%,0.9%,0.8%
27,2020-11-20 13:30:00,False,0.8%, ,1.2%
28,2020-10-21 12:30:00,False,1.2%,0.5%,0.5%
29,2020-09-21 12:30:00,False,0.5%,0.3%,0.4%
30,2020-08-21 12:30:00,False,0.4%,0.1%,0.1%
31,2020-07-21 12:30:00,False,0.1%,0.1%,0.1%
32,2020-06-18 12:30:00,False,0.1%, ,0.0%
33,2020-05-21 12:30:00,False,0.0%, ,0.3%
34,2020-04-22 12:30:00,False,0.3%, ,0.4%
35,2020-03-19 12:30:00,False,0.4%,0.1%,0.0%
36,2020-02-20 13:30:00,False,0.0%,0.2%,0.2%
37,2020-01-22 13:30:00,False,0.2%,0.0%,-0.1%
38,2019-12-20 12:30:00,False,0.1%,0.1%,0.2%
39,2019-11-14 13:30:00,False,0.2%,0.1%,0.1%
40,2019-10-10 12:30:00,False,0.1%,-0.1%,-0.1%
41,2019-09-12 12:30:00,False,-0.1%, ,-0.1%
42,2019-08-08 12:30:00,False,-0.1%,0.1%,-0.1%
43,2019-07-11 12:30:00,False,-0.1%,0.1%,0.0%
44,2019-06-13 12:30:00,False,0.0%,0.1%,0.0%
45,2019-05-09 12:30:00,False,0.0%,0.1%,0.0%
46,2019-04-11 12:30:00,False,0.0%,0.0%,-0.1%
47,2019-03-14 12:30:00,False,-0.1%,0.0%,0.0%
48,2019-02-14 13:30:00,False,0.0%,0.0%,0.0%
49,2019-01-10 13:30:00,False,0.0%,0.0%,0.0%
50,2018-12-13 13:30:00,False,0.0%,0.0%,0.0%
51,2018-11-08 13:30:00,False,0.0%,0.1%,0.0%
52,2018-10-11 12:30:00,False,0.0%,0.1%,0.1%
53,2018-09-13 12:30:00,False,0.1%,0.1%,0.1%
54,2018-08-09 12:30:00,False,0.1%,0.0%,0.0%
55,2018-07-12 12:30:00,False,0.0%,0.1%,0.0%
56,2018-06-14 12:30:00,False,0.0%,0.2%,0.0%
57,2018-05-10 12:30:00,False,0.0%,0.0%,-0.2%
58,2018-04-12 12:30:00,False,-0.2%,0.1%,0.0%
59,2018-03-08 13:30:00,False,0.0%,0.1%,0.1%
60,2018-02-08 13:30:00,False,0.0%,0.1%,0.1%
61,2018-01-11 13:30:00,False,0.1%,0.2%,0.1%
62,2017-12-14 13:30:00,False,0.1%,0.2%,0.2%
63,2017-11-09 13:30:00,False,0.2%,0.2%,0.1%
64,2017-10-12 12:30:00,False,0.1%,0.3%,0.4%
65,2017-09-14 12:30:00,False,0.4%,0.3%,0.2%
66,2017-08-10 12:30:00,False,0.2%,0.4%,0.7%
67,2017-07-13 12:30:00,False,0.7%,0.3%,0.8%
68,2017-06-08 12:30:00,False,0.8%,0.3%,0.2%
69,2017-05-11 12:30:00,False,0.2%,0.2%,0.4%
70,2017-04-13 12:30:00,False,0.4%,0.2%,0.1%
71,2017-03-09 13:30:00,False,0.1%,0.1%,0.1%
72,2017-02-09 13:30:00,False,0.1%,0.2%,0.2%
73,2017-01-12 13:30:00,False,0.2%,0.3%,0.4%
