Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2024-01-25 13:30:00,True,-0.6%, ,1.2%,
2024-01-15 13:30:00,False,1.2%,1.0%,-2.9%,0.2
2023-12-22 13:30:00,True,1.2%, ,-2.8%,
2023-12-14 13:30:00,False,-2.8%,-2.7%,0.7%,-0.1
2023-11-24 13:30:00,True,-2.7%, ,0.4%,
2023-11-15 13:30:00,False,0.4%,-0.1%,1.0%,0.5
2023-10-26 12:30:00,True,-0.1%, ,0.7%,
2023-10-16 12:30:00,False,0.7%,1.0%,1.6%,-0.3
2023-09-26 12:30:00,True,1.0%, ,1.6%,
2023-09-15 12:30:00,False,1.6%,0.7%,-2.0%,0.9
2023-08-24 12:30:00,True,0.7%, ,-1.7%,
2023-08-15 12:30:00,False,-1.7%,-2.0%,1.2%,0.3
2023-07-25 12:30:00,True,-2.1%, ,1.2%,
2023-07-14 12:30:00,False,1.2%,0.8%,-0.1%,0.4
2023-06-26 12:30:00,True,0.8%, ,0.3%,
2023-06-15 12:30:00,False,0.3%,-0.2%,0.8%,0.5
2023-05-25 12:30:00,True,-0.2%, ,0.7%,
2023-05-16 12:30:00,False,0.7%,0.7%,-3.6%,0.0
2023-04-26 12:30:00,True,0.7%, ,-3.6%,
2023-04-14 12:30:00,False,-3.6%,-2.7%,4.5%,-0.9
2023-03-24 13:30:00,True,-2.8%, ,4.1%,
2023-03-14 13:30:00,False,4.1%,3.9%,-2.1%,0.2
2023-02-24 14:30:00,False,3.9%, ,-1.5%,
2023-02-24 13:30:00,False,3.9%, ,-1.5%,
2023-02-15 13:30:00,False,-1.5%,-1.8%,-0.2%,0.3
2023-01-16 13:30:00,False,0.0%,0.5%,2.4%,-0.5
2022-12-14 13:30:00,False,2.8%,2.0%,0.1%,0.8
2022-11-22 13:30:00,True,2.0%,0.2%,0.0%,1.8
2022-11-15 13:30:00,False,0.0%,-0.5%,-2.0%,0.5
2022-10-24 12:30:00,True,-0.5%, ,-2.0%,
2022-10-14 12:30:00,False,-2.0%,-1.8%,-0.6%,-0.2
2022-09-23 12:30:00,True,-1.8%, ,-0.9%,
2022-09-14 12:30:00,False,-0.9%,-0.9%,-0.1%,0.0
2022-08-25 12:30:00,True,-0.9%, ,-0.8%,
2022-08-15 12:30:00,False,-0.8%,-0.9%,-1.1%,0.1
2022-07-14 12:30:00,False,-2.0%,-2.0%,2.6%,0.0
2022-06-23 12:30:00,True,-2.5%, ,1.7%,
2022-06-14 12:30:00,False,1.7%,1.6%,3.5%,0.1
2022-05-24 12:30:00,True,1.6%, ,2.5%,
2022-05-16 12:30:00,False,2.5%,1.7%,5.1%,0.8
2022-04-26 13:30:00,True,1.7%, ,4.2%,
2022-04-14 12:30:00,False,4.2%,3.6%,0.9%,0.6
2022-03-25 12:30:00,True,3.7%, ,0.6%,
2022-03-15 12:30:00,False,0.6%,1.3%,0.8%,-0.7
2022-02-24 13:30:00,True,1.3%, ,0.7%,
2022-02-16 13:30:00,False,0.7%,0.6%,2.6%,0.1
2022-01-24 13:30:00,True,0.8%, ,2.6%,
2022-01-17 13:30:00,False,2.6%,3.1%,4.6%,-0.5
2021-12-15 13:30:00,False,4.3%,4.1%,-2.8%,0.2
2021-11-15 13:30:00,False,-3.0%,-3.2%,0.5%,0.2
2021-10-14 12:30:00,False,0.5%,0.5%,-1.2%,0.0
2021-09-14 12:30:00,False,-1.5%,-1.2%,3.6%,-0.3
2021-08-16 12:30:00,False,2.1%,2.5%,-0.3%,-0.4
2021-07-14 12:30:00,False,-0.6%,1.0%,-2.1%,-1.6
2021-06-24 12:30:00,True,1.0%, ,-2.1%,
2021-06-14 12:30:00,False,-2.1%,-1.0%,3.5%,-1.1
2021-05-25 12:30:00,True,-1.1%, ,3.5%,
2021-05-14 12:30:00,False,3.5%,3.5%,-1.6%,0.0
2021-04-15 12:30:00,False,-1.6%,-1.0%,3.1%,-0.6
2021-03-15 12:30:00,False,3.1%,2.5%,0.9%,0.6
2021-02-15 13:30:00,False,0.9%,0.6%,-0.4%,0.3
2021-01-19 13:30:00,False,-0.6%,-0.1%,0.2%,-0.5
2020-12-15 13:30:00,False,0.3%,0.6%,1.5%,-0.3
2020-11-16 13:30:00,False,1.5%,1.5%,-1.4%,0.0
2020-10-16 12:30:00,False,-2.0%,-1.4%,7.2%,-0.6
2020-09-15 12:30:00,False,7.0%,8.7%,23.0%,-1.7
2020-08-14 12:30:00,False,20.7%,16.4%,11.6%,4.3
2020-07-15 12:30:00,False,10.7%,9.5%,-27.9%,1.2
2020-06-15 12:30:00,False,-28.5%,-18.7%,-9.8%,-9.8
2020-05-14 12:30:00,False,-9.2%,-5.7%,0.5%,-3.5
2020-04-16 12:30:00,False,0.5%,-0.1%,-0.7%,0.6
2020-03-17 12:30:00,False,-0.2%,-0.5%,-0.7%,0.3
2020-02-18 13:30:00,False,-0.7%,0.5%,-1.0%,-1.2
2020-01-21 13:30:00,False,-0.6%,-0.3%,-0.2%,-0.3
2019-12-17 13:30:00,False,-0.7%,0.2%,-0.2%,-0.9
2019-11-19 13:30:00,False,-0.2%,-0.6%,0.8%,0.4
2019-10-17 12:30:00,False,0.8%,0.7%,-1.3%,0.1
2019-09-17 12:30:00,False,-1.3%,-0.3%,-1.4%,-1.0
2019-08-20 12:30:00,False,-1.2%,-1.8%,1.6%,0.6
2019-07-17 12:30:00,False,1.6%,1.6%,-0.4%,0.0
2019-06-18 12:30:00,False,-0.6%,0.6%,2.6%,-1.2
2019-05-16 12:30:00,False,2.1%,1.5%,-0.2%,0.6
2019-04-16 12:30:00,False,-0.2%,0.4%,0.8%,-0.6
2019-03-15 12:30:00,False,1.0%,0.4%,-1.1%,0.6
2019-02-14 13:30:00,False,-1.3%,0.3%,-1.7%,-1.6
2019-01-22 13:30:00,False,-1.4%,-0.9%,-0.1%,-0.5
2018-12-18 13:30:00,False,-0.1%,0.3%,0.2%,-0.4
2018-11-16 13:30:00,False,0.2%,0.1%,-0.5%,0.1
2018-10-17 12:30:00,False,-0.4%,-0.6%,1.2%,0.2
2018-09-18 12:30:00,False,0.9%,0.6%,1.3%,0.3
2018-08-16 12:30:00,False,1.1%,1.0%,1.5%,0.1
2018-07-17 12:30:00,False,1.4%,0.5%,-1.1%,0.9
2018-06-15 12:30:00,False,-1.3%,0.6%,1.4%,-1.9
2018-05-16 12:30:00,False,1.4%,1.2%,2.7%,0.2
2018-04-17 12:30:00,False,1.9%,1.0%,-1.3%,0.9
2018-03-16 12:30:00,False,-1.0%,-0.8%,-0.1%,-0.2
2018-02-16 13:30:00,False,-0.3%,0.2%,3.8%,-0.5
2018-01-19 13:30:00,False,3.4%,2.0%,-0.6%,1.4
2017-12-15 13:30:00,False,-0.4%,0.8%,0.4%,-1.2
2017-11-16 13:30:00,False,0.5%,-0.3%,1.4%,0.8
2017-10-18 12:30:00,False,1.6%,-0.1%,-2.6%,1.7
2017-09-19 12:30:00,False,-2.6%,-1.6%,-1.9%,-1.0
2017-08-17 12:30:00,False,-1.8%,-1.0%,1.3%,-0.8
2017-07-19 12:30:00,False,1.1%,0.8%,0.4%,0.3
2017-06-15 12:30:00,False,1.1%,0.7%,0.8%,0.4
2017-05-17 12:30:00,False,1.0%,0.4%,-0.6%,0.6
2017-04-13 12:30:00,False,-0.2%,-0.7%,0.1%,0.5
2017-03-17 12:30:00,False,0.6%,-0.2%,2.1%,0.8
2017-02-15 13:30:00,False,2.3%,0.2%,2.3%,2.1
2017-01-19 13:30:00,False,1.5%,1.0%,-0.6%,0.5
