Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-01-17 13:30:00,False,12.76B, ,9.09B,
2022-12-16 13:30:00,False,8.46B, ,-22.50B,
2022-11-18 13:30:00,False,-22.27B,6.44B,26.22B,-28.71
2022-10-18 12:30:00,False,22.01B,17.32B,14.73B,4.69
2022-09-16 12:30:00,False,14.83B, ,-17.64B,
2022-08-16 12:30:00,False,-17.54B,23.75B,2.83B,-41.29
2022-07-15 12:30:00,False,2.35B, ,22.17B,
2022-06-17 12:30:00,False,22.23B, ,46.47B,
2022-05-17 12:30:00,False,46.94B, ,7.49B,
2022-04-19 12:30:00,False,7.44B, ,13.54B,
2022-03-18 12:30:00,False,13.49B, ,37.54B,
2022-02-17 13:30:00,False,37.56B, ,30.14B,
2022-01-17 13:30:00,False,30.15B,23.50B,22.30B,6.65
2021-12-17 13:30:00,False,23.92B, ,19.78B,
2021-11-18 13:30:00,False,20.02B, ,22.74B,
2021-10-18 12:30:00,False,26.30B, ,14.06B,
2021-09-16 12:30:00,False,14.19B, ,19.64B,
2021-08-17 12:30:00,False,19.63B, ,20.81B,
2021-07-16 12:30:00,False,20.79B, ,9.90B,
2021-06-17 12:30:00,False,9.95B, ,4.12B,
2021-05-17 12:30:00,False,3.25B, ,8.56B,
2021-04-16 12:30:00,False,8.52B, ,1.11B,
2021-03-16 12:30:00,False,1.27B, ,5.33B,
2021-02-16 13:30:00,False,5.08B, ,11.78B,
2021-01-18 13:30:00,False,11.78B, ,6.93B,
2020-12-16 13:30:00,False,6.92B, ,4.68B,
2020-11-17 13:30:00,False,4.46B, ,15.51B,
2020-10-16 12:30:00,False,15.50B, ,-8.49B,
2020-09-16 12:30:00,False,-8.52B,10.50B,-14.13B,-19.02
2020-08-17 12:30:00,False,-13.52B, ,22.39B,
2020-07-16 12:30:00,False,22.41B, ,49.03B,
2020-06-16 12:30:00,False,49.00B, ,-9.80B,
2020-05-15 12:30:00,False,-9.78B, ,19.42B,
2020-04-29 12:30:00,False,20.61B, ,16.81B,
2020-03-17 12:30:00,False,17.01B, ,-10.22B,
2020-02-17 13:30:00,False,-9.57B, ,-1.77B,
2020-01-17 13:30:00,False,-1.75B, ,11.31B,
2019-12-16 13:30:00,False,11.32B, ,5.02B,
2019-11-15 13:30:00,False,4.76B, ,4.62B,
2019-10-16 12:30:00,False,4.99B, ,-1.87B,
2019-09-16 12:30:00,False,-1.17B, ,-4.06B,
2019-08-16 12:30:00,False,-3.98B, ,10.28B,
2019-07-16 12:30:00,False,10.20B, ,-12.79B,
2019-06-17 12:30:00,False,-12.80B,2.33B,-1.56B,-15.13
2019-05-16 12:30:00,False,-1.49B,11.55B,12.39B,-13.04
2019-04-16 12:30:00,False,12.05B, ,28.59B,
2019-03-18 12:30:00,False,28.40B, ,-20.49B,
2019-02-15 13:30:00,False,-18.96B,7.66B,10.24B,-26.62
2019-01-18 13:30:00,False,9.45B, ,3.97B,
2018-12-17 13:30:00,False,3.98B,6.20B,7.76B,-2.22
2018-11-16 13:30:00,False,7.70B,0.30B,2.63B,7.4
2018-10-16 12:30:00,False,2.82B, ,15.29B,
2018-09-17 12:30:00,False,12.65B,4.35B,10.30B,8.3
2018-08-17 12:30:00,False,11.55B,4.91B,3.01B,6.64
2018-07-16 12:30:00,False,2.18B,7.03B,9.09B,-4.85
2018-06-15 12:30:00,False,9.13B,5.49B,6.40B,3.64
2018-05-17 12:30:00,False,6.15B, ,4.32B,
2018-04-17 12:30:00,False,3.96B,7.24B,5.63B,-3.28
2018-03-16 12:30:00,False,5.68B, ,-1.54B,
2018-02-16 13:30:00,False,-1.97B,19.18B,19.20B,-21.15
2018-01-19 13:30:00,False,19.56B, ,20.77B,
2017-12-18 13:30:00,False,20.81B, ,16.69B,
2017-11-16 13:30:00,False,16.81B, ,9.77B,
2017-10-16 12:30:00,False,9.85B,20.05B,23.97B,-10.2
2017-09-18 12:30:00,False,23.95B,4.46B,-0.86B,19.49
2017-08-16 12:30:00,False,-0.92B,23.45B,29.44B,-24.37
2017-07-17 12:30:00,False,29.46B,9.80B,10.61B,19.66
2017-06-16 12:30:00,False,10.60B,12.14B,15.05B,-1.54
2017-05-18 12:30:00,False,15.13B,17.23B,39.16B,-2.1
2017-04-18 12:30:00,False,38.84B,5.21B,6.35B,33.63
2017-03-16 12:30:00,False,6.20B,9.45B,10.21B,-3.25
2017-02-17 13:30:00,False,10.23B, ,7.26B,
2017-01-19 13:30:00,False,7.24B,10.23B,15.77B,-2.99
