Timestamp,Prelim,Actual,Forecast,Previous
2023-01-17 13:30:00,False,14.13B, ,-1.67B
2022-12-16 13:30:00,False,-1.67B, ,10.40B
2022-11-18 13:30:00,False,9.56B, ,-1.48B
2022-10-18 12:30:00,False,-1.41B, ,4.29B
2022-09-16 12:30:00,False,4.30B, ,-14.57B
2022-08-16 12:30:00,False,-12.30B, ,0.83B
2022-07-15 12:30:00,False,0.57B, ,29.20B
2022-06-17 12:30:00,False,29.20B, ,-25.18B
2022-05-17 12:30:00,False,-23.98B, ,-9.91B
2022-04-19 12:30:00,False,-9.68B, ,-11.44B
2022-03-18 12:30:00,False,-14.42B, ,21.29B
2022-02-17 13:30:00,False,21.29B, ,17.61B
2022-01-17 13:30:00,False,17.52B, ,5.41B
2021-12-17 13:30:00,False,5.41B, ,17.16B
2021-11-18 13:30:00,False,17.19B, ,15.16B
2021-10-18 12:30:00,False,15.17B, ,-4.69B
2021-09-16 12:30:00,False,-4.69B, ,28.00B
2021-08-17 12:30:00,False,28.10B, ,10.53B
2021-07-16 12:30:00,False,10.65B, ,18.63B
2021-06-17 12:30:00,False,18.63B, ,20.76B
2021-05-17 12:30:00,False,21.22B, ,13.12B
2021-04-16 12:30:00,False,10.54B, ,3.35B
2021-03-16 12:30:00,False,3.54B, ,26.92B
2021-02-16 13:30:00,False,26.94B, ,7.56B
2021-01-18 13:30:00,False,7.58B, ,7.98B
2020-12-16 13:30:00,False,7.96B, ,11.34B
2020-11-17 13:30:00,False,11.17B, ,5.87B
2020-10-16 12:30:00,False,5.74B, ,1.31B
2020-09-16 12:30:00,False,1.29B, ,10.62B
2020-08-17 12:30:00,False,10.60B, ,13.52B
2020-07-16 12:30:00,False,13.37B, ,-0.13B
2020-06-16 12:30:00,False,-0.13B, ,-42.00B
2020-05-15 12:30:00,False,-42.24B, ,6.14B
2020-04-29 12:30:00,False,6.14B, ,-9.10B
2020-03-17 12:30:00,False,-9.10B, ,13.80B
2020-02-17 13:30:00,False,13.80B, ,5.74B
2020-01-17 13:30:00,False,5.55B, ,2.03B
2019-12-16 13:30:00,False,2.03B, ,-2.58B
2019-11-15 13:30:00,False,-2.40B, ,-4.45B
2019-10-16 12:30:00,False,-4.71B, ,12.45B
2019-09-16 12:30:00,False,12.45B, ,6.61B
2019-08-16 12:30:00,False,6.61B, ,4.12B
2019-07-16 12:30:00,False,4.11B, ,-0.19B
2019-06-17 12:30:00,False,-0.19B, ,1.31B
2019-05-16 12:30:00,False,1.54B, ,5.97B
2019-04-16 12:30:00,False,5.30B, ,-8.78B
2019-03-18 12:30:00,False,-8.80B, ,-0.43B
2019-02-15 13:30:00,False,-0.43B, ,-4.98B
2019-01-18 13:30:00,False,-4.09B, ,14.92B
2018-12-17 13:30:00,False,14.93B, ,10.56B
2018-11-16 13:30:00,False,10.59B, ,-0.29B
2018-10-16 12:30:00,False,-0.19B, ,13.06B
2018-09-17 12:30:00,False,13.13B, ,11.25B
2018-08-17 12:30:00,False,11.29B, ,5.40B
2018-07-16 12:30:00,False,5.69B, ,-0.71B
2018-06-15 12:30:00,False,-0.65B, ,-2.14B
2018-05-17 12:30:00,False,-1.90B, ,5.59B
2018-04-17 12:30:00,False,6.35B, ,13.18B
2018-03-16 12:30:00,False,13.25B, ,21.99B
2018-02-16 13:30:00,False,21.99B, ,-4.62B
2018-01-19 13:30:00,False,-4.59B, ,16.56B
2017-12-18 13:30:00,False,16.49B, ,1.75B
2017-11-16 13:30:00,False,2.41B, ,12.07B
2017-10-16 12:30:00,False,12.04B, ,-1.78B
2017-09-18 12:30:00,False,-1.83B, ,13.32B
2017-08-16 12:30:00,False,13.22B, ,4.30B
2017-07-17 12:30:00,False,4.37B, ,-9.87B
2017-06-16 12:30:00,False,-9.87B, ,15.42B
2017-05-18 12:30:00,False,15.41B, ,7.11B
2017-04-18 12:30:00,False,6.33B, ,8.63B
2017-03-16 12:30:00,False,8.63B, ,6.66B
2017-02-17 13:30:00,False,6.66B, ,-7.97B
2017-01-19 13:30:00,False,-7.87B, ,2.07B
