Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-02-24 13:30:00,True,3.0%, ,-0.8%,
2023-02-15 13:30:00,False,-0.8%,-1.8%,-0.7%,1.0
2023-01-26 13:30:00,False,-1.8%, ,0.5%,
2023-01-19 13:30:00,False,0.5%,1.9%,1.9%,-1.4
2022-12-22 13:30:00,True,1.9%, ,2.1%,
2022-12-16 13:30:00,False,2.1%,1.3%,-0.2%,0.8
2022-11-22 13:30:00,True,1.3%,0.4%,0.1%,0.9
2022-11-15 13:30:00,False,0.1%,-0.2%,1.9%,0.3
2022-10-21 12:30:00,True,-0.2%, ,1.4%,
2022-10-14 12:30:00,False,1.4%,0.8%,-0.6%,0.6
2022-09-26 12:30:00,True,0.8%, ,-0.6%,
2022-09-16 12:30:00,False,-0.6%,-0.6%,0.2%,0.0
2022-08-24 12:30:00,True,-0.6%, ,0.1%,
2022-08-15 12:30:00,False,0.1%,0.5%,0.9%,-0.4
2022-07-26 12:30:00,False,0.5%,2.0%,1.6%,-1.5
2022-07-15 12:30:00,False,1.6%,2.0%,-0.5%,-0.4
2022-06-23 12:30:00,True,2.0%, ,-0.5%,
2022-06-16 12:30:00,False,-0.5%,0.2%,0.6%,-0.7
2022-05-24 12:30:00,True,0.2%,0.9%,-0.4%,-0.7
2022-05-16 12:30:00,False,0.3%,-0.3%,-0.3%,0.6
2022-04-25 12:30:00,True,-0.3%, ,-0.4%,
2022-04-14 12:30:00,False,-0.4%,0.9%,3.0%,-1.3
2022-03-23 12:30:00,True,0.9%, ,4.2%,
2022-03-16 12:30:00,False,4.2%,3.9%,1.0%,0.3
2022-02-25 13:30:00,True,3.9%, ,0.6%,
2022-02-16 13:30:00,False,0.6%,2.7%,3.5%,-2.1
2022-01-26 13:30:00,False,0.0%, ,1.4%,
2022-01-19 13:30:00,False,3.5%,2.7%,2.2%,0.8
2021-12-16 13:30:00,False,1.4%,1.4%,1.0%,0.0
2021-11-22 13:30:00,True,1.4%, ,1.0%,
2021-11-15 13:30:00,False,1.0%,1.1%,0.3%,-0.1
2021-10-25 12:30:00,True,1.1%, ,0.3%,
2021-10-15 12:30:00,False,0.3%,0.5%,-2.1%,-0.2
2021-09-16 12:30:00,False,-2.1%,-2.0%,-0.8%,-0.1
2021-08-25 12:30:00,True,-2.0%, ,-0.8%,
2021-08-16 12:30:00,False,-0.8%,-2.0%,0.5%,1.2
2021-07-16 12:30:00,False,0.5%,1.1%,0.6%,-0.6
2021-06-24 12:30:00,True,1.1%, ,0.4%,
2021-06-16 12:30:00,False,0.4%,-0.9%,2.8%,1.3
2021-05-14 12:30:00,False,2.8%,1.0%,-0.9%,1.8
2021-04-16 12:30:00,False,-0.7%,-0.4%,4.0%,-0.3
2021-03-12 13:30:00,False,4.0%,5.0%,-1.3%,-1.0
2021-02-12 13:30:00,False,-1.3%,-1.5%,0.7%,0.2
2021-01-19 13:30:00,False,0.7%,1.0%,1.0%,-0.3
2020-12-16 13:30:00,False,1.0%,0.9%,-0.1%,0.1
2020-11-17 13:30:00,False,0.9%,0.4%,0.3%,0.5
2020-10-19 12:30:00,False,0.3%,0.3%,5.2%,0.0
2020-09-18 12:30:00,False,4.3%,3.5%,18.5%,0.8
2020-08-19 12:30:00,False,18.5%,10.0%,5.8%,8.5
2020-07-17 12:30:00,False,5.7%,8.5%,-21.4%,-2.8
2020-06-18 12:30:00,False,-21.6%,-12.6%,-2.7%,-9.0
2020-05-20 12:30:00,False,-2.2%,-3.8%,0.7%,1.6
2020-04-20 12:30:00,False,0.7%,-0.4%,1.8%,1.1
2020-03-23 12:30:00,False,1.8%,-0.2%,1.0%,2.0
2020-02-24 13:30:00,False,0.9%,0.5%,-1.1%,0.4
2020-01-22 13:30:00,False,-1.2%,-0.3%,-1.2%,-0.9
2019-12-19 13:30:00,False,-1.1%,-0.1%,0.8%,-1.0
2019-11-25 13:30:00,False,1.0%,0.3%,-1.2%,0.7
2019-10-23 12:30:00,False,-1.2%,0.3%,1.4%,-1.5
2019-09-23 12:30:00,False,1.7%,-0.1%,0.7%,1.8
2019-08-22 12:30:00,False,0.6%,-0.2%,-1.9%,0.8
2019-07-22 12:30:00,False,-1.8%,0.5%,1.6%,-2.3
2019-06-25 12:30:00,False,1.7%,0.2%,1.4%,1.5
2019-05-23 12:30:00,False,1.4%,0.9%,0.2%,0.5
2019-04-23 12:30:00,False,0.3%,0.1%,0.4%,0.2
2019-03-21 12:30:00,False,0.6%,0.5%,0.3%,0.1
2019-02-21 13:30:00,False,0.3%,-0.1%,-1.1%,0.4
2019-01-22 13:30:00,False,-1.0%,0.1%,0.7%,-1.1
2018-12-20 13:30:00,False,1.0%,0.2%,-0.7%,0.8
2018-11-21 13:30:00,False,-0.5%,0.1%,-0.1%,-0.6
2018-10-22 12:30:00,False,-0.1%,0.1%,1.1%,-0.2
2018-09-24 12:30:00,False,1.5%,0.4%,-0.8%,1.1
2018-08-21 12:30:00,False,-0.8%,0.8%,0.9%,-1.6
2018-07-23 12:30:00,False,1.2%,0.6%,-0.1%,0.6
2018-06-21 12:30:00,False,0.1%,0.4%,1.4%,-0.3
2018-05-22 12:30:00,False,1.1%,0.8%,-0.4%,0.3
2018-04-23 12:30:00,False,-0.8%,0.3%,0.3%,-1.1
2018-03-20 12:30:00,False,0.1%,0.1%,-0.2%,0.0
2018-02-20 13:30:00,False,-0.5%,0.4%,0.3%,-0.9
2018-01-22 13:30:00,False,0.7%,1.0%,1.6%,-0.3
2017-12-20 13:30:00,False,1.5%,0.5%,-1.1%,1.0
2017-11-21 13:30:00,False,-1.2%,0.3%,0.4%,-1.5
