Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-11-29 13:30:00,False,-3.2B,1.0B,-7.3B,-4.2
2023-08-31 12:30:00,False,-6.6B,-11.2B,-3.2B,4.6
2023-05-30 12:30:00,False,-6.2B,-10.9B,-8.1B,4.7
2023-02-27 13:30:00,False,-10.6B,-11.0B,-8.4B,0.4
2022-11-28 13:30:00,False,-11.1B,6.6B,2.7B,-17.7
2022-08-30 12:30:00,False,2.7B,6.6B,2.7B,-3.9
2022-05-30 12:30:00,False,5.0B,3.2B,-0.1B,1.8
2022-02-28 13:30:00,False,-0.8B,4.8B,0.8B,-5.6
2021-11-29 13:30:00,False,1.4B,4.6B,1.4B,-3.2
2021-08-30 12:30:00,False,3.6B,3.4B,1.8B,0.2
2021-05-31 12:30:00,False,1.2B,-8.3B,-5.3B,9.5
2021-03-01 13:30:00,False,-7.3B,-8.3B,-10.5B,1.0
2020-11-30 13:30:00,False,-7.5B,-9.1B,-7.0B,1.6
2020-08-27 12:30:00,False,-8.6B,-12.2B,-13.2B,3.6
2020-05-28 12:30:00,False,-11.1B,-10.0B,-9.3B,-1.1
2020-02-27 13:30:00,False,-8.8B,-9.0B,-10.9B,0.2
2019-11-28 13:30:00,False,-9.9B,-9.0B,-6.7B,-0.9
2019-08-29 12:30:00,False,-6.4B,-9.8B,-16.6B,3.4
2019-05-30 12:30:00,False,-17.4B,-18.1B,-16.6B,0.7
2019-02-28 13:30:00,False,-15.5B,-13.5B,-10.1B,-2.0
2018-11-29 13:30:00,False,-10.3B,-11.5B,-16.7B,1.2
2018-08-29 12:30:00,False,-15.9B,-15.2B,-17.5B,-0.7
2018-05-30 12:30:00,False,-19.5B,-18.2B,-16.5B,-1.3
2018-03-01 13:30:00,False,-16.4B,-17.8B,-18.6B,1.4
2017-11-30 13:30:00,False,-19.4B,-19.5B,-15.6B,0.1
2017-08-30 12:30:00,False,-16.3B,-17.4B,-12.9B,1.1
2017-05-30 12:30:00,False,-14.1B,-12.0B,-11.8B,-2.1
2017-03-01 13:30:00,False,-10.7B,-9.8B,-19.8B,-0.9
