Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-02-17 13:30:00,False,0.4%,-0.1%,-0.9%,0.5
2023-01-18 13:30:00,False,-1.1%,-0.3%,-0.5%,-0.8
2022-12-19 13:30:00,False,-0.4%,0.4%,2.4%,-0.8
2022-11-18 13:30:00,False,2.4%,0.4%,0.1%,2.0
2022-10-19 12:30:00,False,0.1%,-0.9%,-1.6%,1.0
2022-09-19 12:30:00,False,-1.2%,0.2%,-2.5%,-1.4
2022-08-18 12:30:00,False,-2.1%, ,-0.8%,
2022-07-20 12:30:00,False,-1.1%, ,1.8%,
2022-06-17 12:30:00,False,1.7%,0.5%,0.8%,1.2
2022-05-19 12:30:00,False,0.8%,0.5%,3.4%,0.3
2022-04-22 12:30:00,False,4.0%, ,2.6%,
2022-03-22 12:30:00,False,3.1%, ,2.5%,
2022-02-28 13:30:00,False,3.0%,0.9%,0.5%,2.1
2022-01-31 13:30:00,False,0.7%,0.8%,0.1%,-0.1
2022-01-04 13:30:00,False,0.8%,0.8%,1.6%,0.0
2021-11-29 13:30:00,False,1.3%, ,1.0%,
2021-10-29 12:30:00,False,1.0%, ,-0.3%,
2021-09-29 12:30:00,False,-0.3%,0.1%,-0.2%,-0.4
2021-08-27 12:30:00,False,-0.4%,0.1%, ,-0.5
2021-07-30 12:30:00,False,0.0%, ,2.7%,
2021-06-30 12:30:00,False,2.7%, ,1.6%,
2021-05-31 12:30:00,False,1.6%, ,1.6%,
2021-04-30 12:30:00,False,1.6%, ,2.6%,
2021-03-31 12:30:00,False,2.6%, ,2.0%,
2021-02-26 13:30:00,False,2.0%, ,1.5%,
2021-01-29 13:30:00,False,1.5%, ,-0.6%,
2021-01-05 13:30:00,False,-0.6%, ,-0.4%,
2020-11-30 13:30:00,False,-0.4%,0.1%,-0.1%,-0.5
2020-10-30 12:30:00,False,-0.1%,0.1%,0.3%,-0.2
2020-09-29 12:30:00,False,0.3%,0.7%,0.7%,-0.4
2020-08-31 12:30:00,False,0.7%,0.5%,0.2%,0.2
2020-07-31 12:30:00,False,0.4%,0.5%,1.2%,-0.1
2020-06-29 12:30:00,False,1.2%, ,-2.3%,
2020-05-29 12:30:00,False,-2.3%,-1.7%,-1.5%,-0.6
2020-04-30 12:30:00,False,-0.9%,-1.7%,-0.6%,0.8
2020-03-31 12:30:00,False,-0.5%,0.1%,-0.3%,-0.6
2020-02-28 13:30:00,False,-0.3%,0.1%,0.3%,-0.4
2020-01-31 13:30:00,False,0.1%,0.2%,-0.1%,-0.1
2020-01-06 13:30:00,False,0.1%,0.2%,0.1%,-0.1
2019-11-29 13:30:00,False,0.1%, ,-0.1%,
2019-10-31 12:30:00,False,-0.1%,0.2%,0.2%,-0.3
2019-09-30 12:30:00,False,0.2%,0.3%,-0.3%,-0.1
2019-08-30 12:30:00,False,-0.3%,0.4%,-1.4%,-0.7
2019-07-31 12:30:00,False,-1.4%,-0.1%,-0.1%,-1.3
2019-06-28 12:30:00,False,0.1%,0.1%,0.8%,0.0
2019-05-31 12:30:00,False,0.8%,0.7%,1.3%,0.1
2019-04-30 12:30:00,False,1.3%,0.7%,0.3%,0.6
2019-03-29 12:30:00,False,0.3%, ,-0.3%,
2019-02-28 13:30:00,False,-0.3%,0.3%,-0.8%,-0.6
2019-01-31 13:30:00,False,-0.7%,0.2%,-0.8%,-0.9
2019-01-04 13:30:00,False,-0.8%, ,0.2%,
2018-11-30 13:30:00,False,0.2%,-0.5%,0.2%,0.7
2018-10-31 12:30:00,False,0.1%, ,-0.5%,
2018-09-28 12:30:00,False,-0.5%,0.6%,-0.2%,-1.1
2018-08-31 12:30:00,False,-0.2%,-0.3%,0.7%,0.1
2018-07-31 12:30:00,False,0.5%,0.3%,1.2%,0.2
2018-06-29 12:30:00,False,1.0%,0.9%,0.4%,0.1
2018-05-30 12:30:00,False,0.5%,0.7%,0.9%,-0.2
2018-04-30 12:30:00,False,0.8%,0.7%,0.3%,0.1
2018-03-29 12:30:00,False,0.1%,0.4%,0.4%,-0.3
2018-02-28 13:30:00,False,0.3%,0.5%,-0.1%,-0.2
2018-01-31 13:30:00,False,-0.1%,-0.2%,1.4%,0.1
2018-01-04 13:30:00,False,1.4%,0.8%,1.1%,0.6
2017-11-28 13:30:00,False,1.0%,0.5%,-0.3%,0.5
2017-10-31 12:30:00,False,-0.3%,0.4%,0.4%,-0.7
2017-09-29 12:30:00,False,0.3%,0.5%,-1.6%,-0.2
2017-08-29 12:30:00,False,-1.5%,-0.2%,-1.1%,-1.3
2017-07-31 12:30:00,False,-1.0%,-0.3%,0.1%,-0.7
2017-06-30 12:30:00,False,-0.2%,0.3%,0.6%,-0.5
2017-05-30 12:30:00,False,0.6%, ,0.8%,
2017-04-28 12:30:00,False,0.8%, ,0.3%,
2017-03-30 12:30:00,False,0.1%,0.3%,0.6%,-0.2
2017-02-28 13:30:00,False,0.4%,0.5%,0.3%,-0.1
2017-01-31 13:30:00,False,0.4%,0.6%,0.4%,-0.2
2017-01-05 13:30:00,False,0.3%,0.2%,0.7%,0.1
